"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.056202764438082	0.093387187805502	0.547290488490309	4	"pan"
"AGRP_CVDI"	"AGRP"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.456975594856835	0.207498026516558	0.0276432087147756	2	"pan"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.0408678001775314	0.0430731675372316	0.342722592049553	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.0640647045816605	0.129715762273902	0.621387206275643	1	"pan"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.183640596170901	0.25665698756878	0.474294072241259	2	"pan"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"Inverse variance weighted"	-0.0362178786693986	0.151419498168245	0.81095903022658	3	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.0558444066032666	0.0594375103821096	0.347449351207753	4	"pan"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"Inverse variance weighted"	-0.141911722314408	0.0371743093433945	0.0001348284742482	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.882158795628949	0.286649214659686	0.00208755009211391	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"Inverse variance weighted"	-0.0360074126708982	0.0705808583415292	0.609940544342108	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.27649490926767	0.096921322690992	0.00433390380303218	1	"pan"
"CSTB_CVDI"	"CSTB"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.0274093883652352	0.0461052717514124	0.552180580304326	2	"pan"
"CTSD_CVDI"	"CTSD"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.071399591489607	0.105624305888373	0.499055307694897	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.168574835172338	0.138816877609873	0.224607061275245	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.0764612726347427	0.115081074300489	0.506426510581964	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Inflammatory bowel disease"	"Inverse variance weighted"	-0.0341558718187612	0.0806693378937591	0.671999157191352	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Inflammatory bowel disease"	"Inverse variance weighted"	-0.0932491485272181	0.164863281024047	0.5716555129022	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.00852730798728863	0.0352472996020466	0.808835969237896	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Inflammatory bowel disease"	"Inverse variance weighted"	0.150486777331025	0.154870358315269	0.331202226215188	5	"pan"
