"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"Inverse variance weighted"	-0.0716305355908648	0.105143239580439	0.495703064455697	4	"pan"
"AGRP_CVDI"	"AGRP"	"Insulin secretion"	"Inverse variance weighted"	-0.21021021021021	0.315315315315315	0.504985075093846	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Insulin secretion"	"Inverse variance weighted"	-0.00295336787564767	0.16580310880829	0.98578843278456	1	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"Inverse variance weighted"	-0.348567651640541	0.225535779095997	0.122223113042438	2	"pan"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"Inverse variance weighted"	-0.0178650227021849	0.0578858181378181	0.757606642625909	3	"pan"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"Inverse variance weighted"	-0.0424337140260589	0.070921882561282	0.549628943268555	2	"pan"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"Inverse variance weighted"	-0.00932396963409979	0.0431163251399292	0.828791718289325	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"Inverse variance weighted"	0.0430920972035275	0.0350707817277514	0.219177593313734	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Insulin secretion"	"Inverse variance weighted"	-0.0048460661345496	0.119726339794755	0.967713488729813	1	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"Inverse variance weighted"	-0.0718163445346425	0.116513046693876	0.537643564301108	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"Inverse variance weighted"	0.130618823449031	0.0703800906281624	0.0634669759146588	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Insulin secretion"	"Inverse variance weighted"	0.22029997414016	0.207604751346535	0.288621317262248	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"Inverse variance weighted"	0.0115442362341578	0.285857813808286	0.967786555715731	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"Inverse variance weighted"	0.141630176115551	0.112540410599084	0.208217187481988	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"Inverse variance weighted"	-0.249325296341146	0.0885960836726479	0.00489018900003918	5	"pan"
"EGF_CVDI"	"EGF"	"Insulin secretion"	"Inverse variance weighted"	-0.137404580152672	0.16030534351145	0.391365938307552	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Insulin secretion"	"Inverse variance weighted"	-0.0856954515491101	0.14502307185234	0.554581334468169	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Insulin secretion"	"Inverse variance weighted"	-0.090702947845805	0.18140589569161	0.617075077451974	1	"pan"
"FABP4_CVDI"	"FABP4"	"Insulin secretion"	"Inverse variance weighted"	-0.0903225806451613	0.258064516129032	0.726338697648762	1	"pan"
"FAS_CVDI"	"FAS"	"Insulin secretion"	"Inverse variance weighted"	0.00897226753670473	0.0856443719412724	0.916564739252532	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"Inverse variance weighted"	-0.0832595837467778	0.128642743167426	0.517492448807576	7	"pan"
"FS_CVDI"	"FS"	"Insulin secretion"	"Inverse variance weighted"	0.098830153757773	0.103734146427041	0.340729232102327	3	"pan"
"GAL_CVDI"	"GAL"	"Insulin secretion"	"Inverse variance weighted"	-0.0474998852371784	0.0885522590253491	0.591678592784806	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Insulin secretion"	"Inverse variance weighted"	0.0872885979268958	0.0927441352973268	0.346614432503051	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"Inverse variance weighted"	0.0319859593626579	0.0874269098198776	0.71446997105445	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Insulin secretion"	"Inverse variance weighted"	-0.359223105334184	0.122823103754622	0.00344767028786175	3	"pan"
"HGF_CVDI"	"HGF"	"Insulin secretion"	"Inverse variance weighted"	0.026973026973027	0.224775224775225	0.904483147958832	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Insulin secretion"	"Inverse variance weighted"	0.0904053659959172	0.0699912510936133	0.19647260583939	1	"pan"
"IL-18_CVDI"	"IL-18"	"Insulin secretion"	"Inverse variance weighted"	-0.00301793619702635	0.0764541070422261	0.968512620253601	4	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Insulin secretion"	"Inverse variance weighted"	-0.105234691979005	0.100324005560421	0.294201928070468	2	"pan"
"IL-27_CVDI"	"IL-27"	"Insulin secretion"	"Inverse variance weighted"	-0.0415581712502673	0.0353512679260182	0.239763569153102	9	"pan"
"IL-6_CVDI"	"IL-6"	"Insulin secretion"	"Inverse variance weighted"	0.154394299287411	0.118764845605701	0.193600969171221	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Insulin secretion"	"Inverse variance weighted"	0.0271994978554242	0.0209226906580186	0.193600969171221	1	"pan"
"IL-8_CVDI"	"IL-8"	"Insulin secretion"	"Inverse variance weighted"	-0.341151385927505	0.282515991471215	0.227221490790263	1	"pan"
"IL16_CVDI"	"IL16"	"Insulin secretion"	"Inverse variance weighted"	-0.0323354542609784	0.0438093251277772	0.46045657725458	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Insulin secretion"	"Inverse variance weighted"	0.00551426978412213	0.0414539836529858	0.894176401906861	6	"pan"
