"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"Inverse variance weighted"	-0.167489892446076	0.0759656841395364	0.0274674370580914	3	"pan"
"AGRP_CVDI"	"AGRP"	"Ischemic stroke"	"Inverse variance weighted"	0.121621621621622	0.159159159159159	0.444777296742768	1	"pan"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"Inverse variance weighted"	-0.0023502439715703	0.0240241744456838	0.922068640742632	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Ischemic stroke"	"Inverse variance weighted"	0.0351421188630491	0.0744186046511628	0.636768179585686	1	"pan"
"CCL20_CVDI"	"CCL20"	"Ischemic stroke"	"Inverse variance weighted"	-0.0570525905144832	0.0832883288192685	0.49334327490527	2	"pan"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"Inverse variance weighted"	0.0273969775655462	0.159217588635293	0.863380487431592	3	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"Inverse variance weighted"	-0.0238466611809171	0.0492350751694876	0.628142504606751	4	"pan"
"CD40_CVDI"	"CD40"	"Ischemic stroke"	"Inverse variance weighted"	-0.074005651088071	0.0222981128767903	0.000903663389434959	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Ischemic stroke"	"Inverse variance weighted"	0.172774869109948	0.181937172774869	0.34229506014596	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"Inverse variance weighted"	0.0152289693240989	0.0178273644015001	0.392968246976918	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Ischemic stroke"	"Inverse variance weighted"	0.080957810718358	0.0581527936145952	0.163874902280053	1	"pan"
"CSTB_CVDI"	"CSTB"	"Ischemic stroke"	"Inverse variance weighted"	-0.0156151784228277	0.0197581348082069	0.429342998117976	2	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"Inverse variance weighted"	-0.0452349859406361	0.0328621475554178	0.168664629411697	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"Inverse variance weighted"	-0.0166247947401641	0.043200304239108	0.700362999366148	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"Inverse variance weighted"	0.0335572977779424	0.14718041406438	0.819645377588146	4	"pan"
"CXCL1_CVDI"	"CXCL1"	"Ischemic stroke"	"Inverse variance weighted"	-0.0293029585714541	0.0370945408777337	0.429554985412329	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Ischemic stroke"	"Inverse variance weighted"	-0.0695340725580218	0.102654771722447	0.498178581862427	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Ischemic stroke"	"Inverse variance weighted"	0.00132651127534584	0.0206556755732424	0.948794906468399	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Ischemic stroke"	"Inverse variance weighted"	0.0109133607345866	0.0428649829422178	0.799033211086714	5	"pan"
"ECP_CVDI"	"ECP"	"Ischemic stroke"	"Inverse variance weighted"	0	0.0503194888178914	1	1	"pan"
"EGF_CVDI"	"EGF"	"Ischemic stroke"	"Inverse variance weighted"	-0.109857035364936	0.0782543265613243	0.160364666866555	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Ischemic stroke"	"Inverse variance weighted"	-0.0319469559975889	0.0729355033152502	0.661374301555698	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Ischemic stroke"	"Inverse variance weighted"	0.0573584905660377	0.0867924528301887	0.508695965504407	1	"pan"
"FABP4_CVDI"	"FABP4"	"Ischemic stroke"	"Inverse variance weighted"	0.0938159706390943	0.14307636790025	0.512013587604395	2	"pan"
"FAS_CVDI"	"FAS"	"Ischemic stroke"	"Inverse variance weighted"	0.0290126876343349	0.0881003710683649	0.741918345813142	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Ischemic stroke"	"Inverse variance weighted"	0.0114683403453442	0.102712630204243	0.911097257221858	7	"pan"
"FS_CVDI"	"FS"	"Ischemic stroke"	"Inverse variance weighted"	0.0722552332579488	0.0523347779115451	0.16739117409493	4	"pan"
"GAL_CVDI"	"GAL"	"Ischemic stroke"	"Inverse variance weighted"	0.0616953587510391	0.0373182178886764	0.0982853638860632	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Ischemic stroke"	"Inverse variance weighted"	0.0458118731363513	0.040119273515858	0.253498959315101	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Ischemic stroke"	"Inverse variance weighted"	0.0480387832639932	0.0281703251807741	0.0881389658043076	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Ischemic stroke"	"Inverse variance weighted"	0.0274606356412237	0.0866432615067356	0.751289827479253	4	"pan"
"HGF_CVDI"	"HGF"	"Ischemic stroke"	"Inverse variance weighted"	0.14379328965907	0.0649459700078009	0.0268256946427143	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Ischemic stroke"	"Inverse variance weighted"	-0.0250801983085448	0.0341207349081365	0.462313468026068	1	"pan"
"IL-18_CVDI"	"IL-18"	"Ischemic stroke"	"Inverse variance weighted"	0.0450624771400245	0.0481072607433318	0.348908553858795	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Ischemic stroke"	"Inverse variance weighted"	-0.0840668567609136	0.0379988413427434	0.0269422725673458	3	"pan"
"IL-27_CVDI"	"IL-27"	"Ischemic stroke"	"Inverse variance weighted"	0.000817118174890198	0.041737344671319	0.984380311309714	11	"pan"
"IL-6_CVDI"	"IL-6"	"Ischemic stroke"	"Inverse variance weighted"	-0.126502575844305	0.0595306239267315	0.0335866128968976	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Ischemic stroke"	"Inverse variance weighted"	-0.0234456772032656	0.0105714883818296	0.0265669863255511	1	"pan"
"IL-8_CVDI"	"IL-8"	"Ischemic stroke"	"Inverse variance weighted"	-0.0341151385927505	0.133262260127932	0.797950837314868	1	"pan"
"IL16_CVDI"	"IL16"	"Ischemic stroke"	"Inverse variance weighted"	-0.0115640648752328	0.0189368473598711	0.541421556865013	2	"pan"
"ITGB1BP2_CVDI"	"ITGB1BP2"	"Ischemic stroke"	"Inverse variance weighted"	0.0649006622516556	0.0754966887417219	0.389982487998485	1	"pan"
