"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"LDL cholesterol"	"Inverse variance weighted"	-0.01058167924807	0.0840250345508548	0.899783504202069	4	"pan"
"AGRP_CVDI"	"AGRP"	"LDL cholesterol"	"Inverse variance weighted"	0.0840840840840841	0.0825825825825826	0.308591558357	1	"pan"
"CA-125_CVDI"	"CA-125"	"LDL cholesterol"	"Inverse variance weighted"	-0.0589622641509434	0.0660377358490566	0.371933680494178	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"LDL cholesterol"	"Inverse variance weighted"	-0.1	0.0398963730569948	0.0121935297371503	1	"pan"
"CCL20_CVDI"	"CCL20"	"LDL cholesterol"	"Inverse variance weighted"	0.141669766523595	0.0633255700868757	0.0252755398882024	2	"pan"
"CCL3_CVDI"	"CCL3"	"LDL cholesterol"	"Inverse variance weighted"	-0.027604933388605	0.072017218475807	0.701489787853352	3	"pan"
"CCL4_CVDI"	"CCL4"	"LDL cholesterol"	"Inverse variance weighted"	0.0296907081239999	0.0130082011445044	0.022462154120962	2	"pan"
"CD40_CVDI"	"CD40"	"LDL cholesterol"	"Inverse variance weighted"	0.0111046206745234	0.00829766178056298	0.180804163126415	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"LDL cholesterol"	"Inverse variance weighted"	0.0181857718031455	0.0412566503898678	0.659360595922356	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"LDL cholesterol"	"Inverse variance weighted"	0.0347776510832383	0.0307867730900798	0.258632320510385	1	"pan"
"CTSD_CVDI"	"CTSD"	"LDL cholesterol"	"Inverse variance weighted"	-0.0102648154778412	0.248412132851649	0.967039421396209	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"LDL cholesterol"	"Inverse variance weighted"	-0.0294725058381725	0.0185567166385312	0.112232247295059	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"LDL cholesterol"	"Inverse variance weighted"	-0.30942386723369	0.295690969157166	0.295356357578351	3	"pan"
