"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"Inverse variance weighted"	-0.093483687089658	0.0568454113032704	0.100067851582584	4	"pan"
"AGRP_CVDI"	"AGRP"	"Major depressive disorder"	"Inverse variance weighted"	0.023928585858081	0.100859996984064	0.812466297951294	2	"pan"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"Inverse variance weighted"	0.00507625869893789	0.0218476474417427	0.816267680008299	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Major depressive disorder"	"Inverse variance weighted"	0.0522007347774134	0.0604651162790698	0.387961636400452	1	"pan"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"Inverse variance weighted"	0.0511544519785292	0.0625772699929895	0.41366526289292	2	"pan"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"Inverse variance weighted"	0.015118663818227	0.0258930317555474	0.559294802071608	3	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"Inverse variance weighted"	0.0279256970318858	0.0176037759245595	0.112660617303113	4	"pan"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"Inverse variance weighted"	-0.0403289618891809	0.0270494956343191	0.135979317204813	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Major depressive disorder"	"Inverse variance weighted"	-0.0510155200093384	0.134816753926702	0.705128728337272	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0149947005564314	0.0142431465999947	0.29244824862231	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0405057111170566	0.0450399087799316	0.368477267648047	1	"pan"
"CSTB_CVDI"	"CSTB"	"Major depressive disorder"	"Inverse variance weighted"	0.000720345203415008	0.0162163354308853	0.964568853692554	2	"pan"
"CTSD_CVDI"	"CTSD"	"Major depressive disorder"	"Inverse variance weighted"	0.0345694261010543	0.0378186346180579	0.360672468836595	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Major depressive disorder"	"Inverse variance weighted"	-0.00590856027681852	0.0258585060969482	0.819260813689277	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0349129068877906	0.0382345056938275	0.361176474907746	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Major depressive disorder"	"Inverse variance weighted"	-0.026235364801059	0.0440011623769553	0.551013210999114	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Major depressive disorder"	"Inverse variance weighted"	-0.0608703917014866	0.0512175228656026	0.234649043412594	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Major depressive disorder"	"Inverse variance weighted"	-0.00776650924040817	0.0161076369149138	0.629690039479109	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0111499002492541	0.0461025357391952	0.808896360995477	5	"pan"
"ECP_CVDI"	"ECP"	"Major depressive disorder"	"Inverse variance weighted"	0.0205607138126362	0.0373402555910543	0.581886441720925	1	"pan"
"EGF_CVDI"	"EGF"	"Major depressive disorder"	"Inverse variance weighted"	-0.0112782251597889	0.0632054176072235	0.858379296045439	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Major depressive disorder"	"Inverse variance weighted"	0.0801568905605172	0.0596745027124774	0.1791958380807	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0181349782363043	0.0686792452830189	0.791738883287157	1	"pan"
"FABP4_CVDI"	"FABP4"	"Major depressive disorder"	"Inverse variance weighted"	0.0832784210840761	0.075631146654695	0.27084758163763	2	"pan"
"FAS_CVDI"	"FAS"	"Major depressive disorder"	"Inverse variance weighted"	-0.0418278296541245	0.0330735575850371	0.205982127890767	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Major depressive disorder"	"Inverse variance weighted"	0.0108316141945639	0.0431806442419595	0.801934566538015	7	"pan"
"FS_CVDI"	"FS"	"Major depressive disorder"	"Inverse variance weighted"	-0.0176083268809032	0.0375724067824286	0.639319480796661	4	"pan"
"GAL_CVDI"	"GAL"	"Major depressive disorder"	"Inverse variance weighted"	0.0214569241436918	0.0554541789066742	0.698807514240891	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Major depressive disorder"	"Inverse variance weighted"	-0.0107649432101776	0.145657260445684	0.941085194055794	2	"pan"
"Gal-3_CVDI"	"Gal-3"	"Major depressive disorder"	"Inverse variance weighted"	0.0305436359673492	0.0208673939276548	0.14327552320293	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Major depressive disorder"	"Inverse variance weighted"	-0.132128485156124	0.0902746892282632	0.143295853057952	6	"pan"
"HGF_CVDI"	"HGF"	"Major depressive disorder"	"Inverse variance weighted"	0.00953742819784793	0.0523378353420167	0.855403663011759	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Major depressive disorder"	"Inverse variance weighted"	0.00103903022867464	0.070123193800813	0.98817800789846	2	"pan"
"IL-18_CVDI"	"IL-18"	"Major depressive disorder"	"Inverse variance weighted"	0.00635070489568246	0.0329004548036322	0.846937137072045	6	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Major depressive disorder"	"Inverse variance weighted"	-0.0240593744532495	0.0497908928057149	0.628947817154323	3	"pan"
"IL-27_CVDI"	"IL-27"	"Major depressive disorder"	"Inverse variance weighted"	0.00292269899744527	0.0117382040797225	0.803368281877078	11	"pan"
"IL-6_CVDI"	"IL-6"	"Major depressive disorder"	"Inverse variance weighted"	0.0961278354636898	0.042308000478733	0.0230807172185827	2	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Major depressive disorder"	"Inverse variance weighted"	0.0179013061541368	0.00837345614402345	0.0325278244245614	1	"pan"
"IL-8_CVDI"	"IL-8"	"Major depressive disorder"	"Inverse variance weighted"	-0.0111822925487533	0.0922174840085288	0.903485097782548	1	"pan"
"IL16_CVDI"	"IL16"	"Major depressive disorder"	"Inverse variance weighted"	0.00842372623583769	0.0149932555248799	0.574228874149388	2	"pan"
"ITGB1BP2_CVDI"	"ITGB1BP2"	"Major depressive disorder"	"Inverse variance weighted"	-0.0132582958322721	0.056953642384106	0.815923695534721	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Major depressive disorder"	"Inverse variance weighted"	0.0123706031278353	0.0152142146186189	0.416163544237667	8	"pan"
"KLK6_CVDI"	"KLK6"	"Major depressive disorder"	"Inverse variance weighted"	0.0473160599075466	0.0975894521452625	0.627784103965451	2	"pan"
"LEP_CVDI"	"LEP"	"Major depressive disorder"	"Inverse variance weighted"	0.137535460869203	0.194259930490394	0.478947079367274	2	"pan"
"LOX-1_CVDI"	"LOX-1"	"Major depressive disorder"	"Inverse variance weighted"	0.036506624127211	0.0373222291627522	0.32800165639612	7	"pan"
"MB_CVDI"	"MB"	"Major depressive disorder"	"Inverse variance weighted"	0.112469804940421	0.178633935436053	0.528949439137884	2	"pan"
"MCP-1_CVDI"	"MCP-1"	"Major depressive disorder"	"Inverse variance weighted"	0.0235474749436838	0.062174424567882	0.704886520297079	4	"pan"
"MMP-1_CVDI"	"MMP-1"	"Major depressive disorder"	"Inverse variance weighted"	-0.0067016989403004	0.0208506534053127	0.747896419700891	5	"pan"
"MMP-10_CVDI"	"MMP-10"	"Major depressive disorder"	"Inverse variance weighted"	0.0147803095227736	0.0249140145660748	0.553011964915062	2	"pan"
