"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.00217548952991792	0.174594973382373	0.990058450366467	3	"pan"
"AGRP_CVDI"	"AGRP"	"Primary biliary cirrhosis"	"Inverse variance weighted"	1.20899970162532	0.49740260409004	0.01507276424542	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.0712722155804056	0.246922259731876	0.772855101368212	1	"pan"
"CCL20_CVDI"	"CCL20"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.884594307869654	0.246603787116828	0.000334366429121027	2	"pan"
"CCL3_CVDI"	"CCL3"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.011633163454423	0.30960907250547	0.970027564472553	3	"pan"
"CCL4_CVDI"	"CCL4"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.0276537092301505	0.112380939140667	0.805627139673946	2	"pan"
"CD40_CVDI"	"CD40"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.166152607529885	0.0834449301713712	0.0464627725322766	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.117652447587825	0.175877428723075	0.503530124184807	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.223607258570589	0.189124055205337	0.237074336782325	1	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.257123494651579	0.352510605940407	0.465753099538531	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.289871356048611	0.422209894669498	0.492361638656371	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.753568954810067	0.479796822218006	0.116275558084946	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.141723988097985	0.124671214223459	0.255629443804332	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.649522997656908	0.403647957620625	0.107587398920466	6	"pan"
"CXCL6_CVDI"	"CXCL6"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.0534275807670684	0.072009104339549	0.458114047354795	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.185765545082507	0.138793196605639	0.180754974064687	4	"pan"
"EGF_CVDI"	"EGF"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.115909429962138	0.262095440450399	0.658314598457557	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.183140283536266	0.230271870543838	0.426426222117306	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.0562300490135139	0.284910477331128	0.843545507419117	1	"pan"
"FABP4_CVDI"	"FABP4"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.182512693974006	0.469695888527898	0.697589596014635	1	"pan"
"FAS_CVDI"	"FAS"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.10325370303544	0.145567541877277	0.478127052673389	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.22616077666852	0.30178322847201	0.453607315481281	5	"pan"
"FS_CVDI"	"FS"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.459430133903412	0.288225948720704	0.110937611131039	3	"pan"
"GAL_CVDI"	"GAL"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.0249877059352856	0.237563674529167	0.916230446422148	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.0838057082456097	0.128834787682738	0.515375923480298	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.109774599785132	0.136398379458503	0.42093009173003	5	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.056049329091061	0.540192298496496	0.917361314520555	3	"pan"
"HSP_27_CVDI"	"HSP_27"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.0136745100207975	0.110369609739796	0.901396494835422	1	"pan"
"IL-18_CVDI"	"IL-18"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.201296565776219	0.197176703059548	0.307304535526506	5	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.0966518683761108	0.288656138728648	0.737750366519739	3	"pan"
"IL-27_CVDI"	"IL-27"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.0299388159814943	0.120010508874624	0.802998569450869	7	"pan"
"IL-6_CVDI"	"IL-6"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.110971458501374	0.186042248649381	0.550851099955128	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.0201744548717095	0.0339586997237	0.55245327878037	1	"pan"
"IL-8_CVDI"	"IL-8"	"Primary biliary cirrhosis"	"Inverse variance weighted"	1.08265243731158	0.356812276348164	0.00241146193828204	1	"pan"
"IL16_CVDI"	"IL16"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.00114675648618031	0.0604315513280343	0.984860153922701	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.098604001817611	0.0761707857153459	0.195488601377211	5	"pan"
"LEP_CVDI"	"LEP"	"Primary biliary cirrhosis"	"Inverse variance weighted"	0.366959540519936	0.517241682268083	0.478042355778221	1	"pan"
"LOX-1_CVDI"	"LOX-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.167463864702098	0.241205216135842	0.487506872092106	6	"pan"
"MCP-1_CVDI"	"MCP-1"	"Primary biliary cirrhosis"	"Inverse variance weighted"	-0.135146878557614	0.395576851700223	0.732618019913819	3	"pan"
