"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Sleep duration"	"Inverse variance weighted"	0.0140131990965291	0.0207528162229583	0.499521231827797	4	"pan"
"AGRP_CVDI"	"AGRP"	"Sleep duration"	"Inverse variance weighted"	-0.0103616787888076	0.0586191543041594	0.859694804770554	2	"pan"
"CA-125_CVDI"	"CA-125"	"Sleep duration"	"Inverse variance weighted"	-0.0111186526817959	0.00734607885341053	0.130140182264026	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Sleep duration"	"Inverse variance weighted"	-0.026136330749354	0.0297831007751938	0.380184862562092	1	"pan"
"CCL20_CVDI"	"CCL20"	"Sleep duration"	"Inverse variance weighted"	-0.00467611461638665	0.082210146474849	0.954640771815142	2	"pan"
"CCL3_CVDI"	"CCL3"	"Sleep duration"	"Inverse variance weighted"	-0.00393709639428834	0.0171483510207913	0.818410084352804	3	"pan"
"CCL4_CVDI"	"CCL4"	"Sleep duration"	"Inverse variance weighted"	-0.00255873103400839	0.0106258042880607	0.809707404344361	4	"pan"
"CD40_CVDI"	"CD40"	"Sleep duration"	"Inverse variance weighted"	0.0107820165074382	0.00898838847153479	0.230314366207935	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Sleep duration"	"Inverse variance weighted"	0.159261780104712	0.0607489528795812	0.00875082551697074	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Sleep duration"	"Inverse variance weighted"	-0.00522198776534145	0.00693213975663857	0.451269061972749	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Sleep duration"	"Inverse variance weighted"	0.00180219498289624	0.0227058722919042	0.936737282524758	1	"pan"
"CSTB_CVDI"	"CSTB"	"Sleep duration"	"Inverse variance weighted"	0.00138737246102597	0.0175131458818959	0.936858497787633	2	"pan"
"CTSD_CVDI"	"CTSD"	"Sleep duration"	"Inverse variance weighted"	0.0188106492890265	0.0129235730829534	0.145522570607405	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Sleep duration"	"Inverse variance weighted"	0.0156148116383851	0.0163386813905629	0.339225869096183	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Sleep duration"	"Inverse variance weighted"	0.027774270465748	0.0168757630022737	0.0998032372278174	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Sleep duration"	"Inverse variance weighted"	-0.0108779269249229	0.0146602686285503	0.458087021394246	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Sleep duration"	"Inverse variance weighted"	0.0223523760072326	0.0148631224180391	0.132611860979225	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Sleep duration"	"Inverse variance weighted"	0.00368176246578806	0.0110503726029789	0.738998460493493	2	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Sleep duration"	"Inverse variance weighted"	0.0219909919690466	0.0287440910330449	0.444235036608566	5	"pan"
"ECP_CVDI"	"ECP"	"Sleep duration"	"Inverse variance weighted"	0.0298634185303514	0.0176550119808307	0.0907417178311828	1	"pan"
"EGF_CVDI"	"EGF"	"Sleep duration"	"Inverse variance weighted"	0.03726230248307	0.0313775771256584	0.235012495773571	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Sleep duration"	"Inverse variance weighted"	-0.00375336347197107	0.0269975286317059	0.889429455528561	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Sleep duration"	"Inverse variance weighted"	-0.0191824150943396	0.0337097358490566	0.569324424927866	1	"pan"
"FABP4_CVDI"	"FABP4"	"Sleep duration"	"Inverse variance weighted"	0.00345389992684583	0.0730514986409979	0.962289794415823	2	"pan"
"FAS_CVDI"	"FAS"	"Sleep duration"	"Inverse variance weighted"	-0.0250470826041299	0.0169024047708293	0.138376210741669	2	"pan"
"FGF-23_CVDI"	"FGF-23"	"Sleep duration"	"Inverse variance weighted"	-0.035204144798082	0.0206999693014412	0.0890019943876929	7	"pan"
"FS_CVDI"	"FS"	"Sleep duration"	"Inverse variance weighted"	0.0200555960039768	0.0190713101485657	0.292978143930469	4	"pan"
"GAL_CVDI"	"GAL"	"Sleep duration"	"Inverse variance weighted"	-0.0085485982357729	0.0141413077126908	0.545502916191783	4	"pan"
"GDF-15_CVDI"	"GDF-15"	"Sleep duration"	"Inverse variance weighted"	-0.0323924449885599	0.0148365290946361	0.0290144635772956	2	"pan"
"Gal-3_CVDI"	"Gal-3"	"Sleep duration"	"Inverse variance weighted"	-0.0136902821090057	0.0104211980173333	0.188948658159998	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Sleep duration"	"Inverse variance weighted"	-0.0126715835948328	0.0177313829369435	0.474830542174403	6	"pan"
"HGF_CVDI"	"HGF"	"Sleep duration"	"Inverse variance weighted"	-0.00977520738760395	0.0252449572717199	0.698597595849876	2	"pan"
"HSP_27_CVDI"	"HSP_27"	"Sleep duration"	"Inverse variance weighted"	0.00719743164132565	0.0131408108128673	0.583886960377651	2	"pan"
"IL-18_CVDI"	"IL-18"	"Sleep duration"	"Inverse variance weighted"	-0.0200308894310068	0.0170935598305491	0.241261951104427	5	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Sleep duration"	"Inverse variance weighted"	-0.00395337487209047	0.015659736287906	0.800689582714482	3	"pan"
"IL-27_CVDI"	"IL-27"	"Sleep duration"	"Inverse variance weighted"	-0.00342718609275351	0.00748630300646758	0.647100303440168	11	"pan"
"IL-6_CVDI"	"IL-6"	"Sleep duration"	"Inverse variance weighted"	0.00893577561534058	0.0228696622781912	0.695999650625105	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Sleep duration"	"Inverse variance weighted"	0.00148048984718443	0.00419209755076408	0.723966942062567	1	"pan"
"IL-8_CVDI"	"IL-8"	"Sleep duration"	"Inverse variance weighted"	0.085680170575693	0.0468755330490405	0.0675761421937141	1	"pan"
"IL16_CVDI"	"IL16"	"Sleep duration"	"Inverse variance weighted"	-0.00447869440000071	0.00702151033899014	0.523569100119541	2	"pan"
"ITGB1BP2_CVDI"	"ITGB1BP2"	"Sleep duration"	"Inverse variance weighted"	-0.0160894701986755	0.0278960927152318	0.564098693641531	1	"pan"
