"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Triglycerides"	"Inverse variance weighted"	-0.0532979309864208	0.0910608708062866	0.558345990476328	4	"pan"
"AGRP_CVDI"	"AGRP"	"Triglycerides"	"Inverse variance weighted"	-0.205705705705706	0.0735735735735736	0.00517524705571358	1	"pan"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"Inverse variance weighted"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"Inverse variance weighted"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"pan"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"Inverse variance weighted"	-0.0827133994718922	0.102471130604607	0.419558557714018	2	"pan"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"Inverse variance weighted"	0.013902935095847	0.0254923614200901	0.58549459288357	3	"pan"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"Inverse variance weighted"	0.0112577538147782	0.0118809503240831	0.343360333791512	2	"pan"
"CD40_CVDI"	"CD40"	"Triglycerides"	"Inverse variance weighted"	0.0137512512073775	0.0101053887163023	0.173581961904569	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"Inverse variance weighted"	0.051951953551222	0.210420623910443	0.804988921004308	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"Inverse variance weighted"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"Inverse variance weighted"	0.287490738343103	0.50203939506616	0.566884559543378	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"Inverse variance weighted"	0.00248013106399298	0.0216482196418216	0.90878982112961	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Triglycerides"	"Inverse variance weighted"	-0.00408652769919931	0.0829484423988305	0.960707413280269	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"Inverse variance weighted"	-0.064301142431353	0.102860637208615	0.53188655450409	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Triglycerides"	"Inverse variance weighted"	-0.0484513948121334	0.03021027844131	0.108757047995726	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Triglycerides"	"Inverse variance weighted"	-0.0799038219706187	0.0507366828258537	0.115285807158056	5	"pan"
"EGF_CVDI"	"EGF"	"Triglycerides"	"Inverse variance weighted"	-0.0236641221374046	0.0374045801526718	0.526960228463328	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Triglycerides"	"Inverse variance weighted"	-0.00593276203032301	0.034278180619644	0.862590963908731	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Triglycerides"	"Inverse variance weighted"	0.0166288737717309	0.0423280423280423	0.694424996831734	1	"pan"
"FABP4_CVDI"	"FABP4"	"Triglycerides"	"Inverse variance weighted"	-0.0880149812734082	0.0646067415730337	0.173097284263863	1	"pan"
"FAS_CVDI"	"FAS"	"Triglycerides"	"Inverse variance weighted"	0.016721044045677	0.0207993474714519	0.421442272706332	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Triglycerides"	"Inverse variance weighted"	-0.0460020312204841	0.0325824784521645	0.15798998365682	7	"pan"
"FS_CVDI"	"FS"	"Triglycerides"	"Inverse variance weighted"	0.500016477274716	0.334320438049794	0.134752596194183	3	"pan"
"GAL_CVDI"	"GAL"	"Triglycerides"	"Inverse variance weighted"	0.047595709075134	0.0330876770201437	0.150300072499952	3	"pan"
