"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"Inverse variance weighted"	-0.00389905748953604	0.07934775738607	0.960808643553265	4	"pan"
"AGRP_CVDI"	"AGRP"	"Waist-hip ratio"	"Inverse variance weighted"	0.0239286706422206	0.0159822238578517	0.13433984060325	3	"pan"
"CA-125_CVDI"	"CA-125"	"Waist-hip ratio"	"Inverse variance weighted"	0.00936240610373353	0.00487701812347826	0.0548959490679765	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Waist-hip ratio"	"Inverse variance weighted"	-0.0377260981912145	0.0149870801033592	0.0118277767109761	1	"pan"
"CCL20_CVDI"	"CCL20"	"Waist-hip ratio"	"Inverse variance weighted"	0.0283481725711879	0.0148390212936972	0.0560842774101813	2	"pan"
"CCL3_CVDI"	"CCL3"	"Waist-hip ratio"	"Inverse variance weighted"	0.00716868467092161	0.0176307639562315	0.684301128678681	3	"pan"
"CCL4_CVDI"	"CCL4"	"Waist-hip ratio"	"Inverse variance weighted"	0.00761365329496646	0.0051428730550488	0.13875906098267	4	"pan"
"CD40_CVDI"	"CD40"	"Waist-hip ratio"	"Inverse variance weighted"	-0.00207348999723712	0.00661615021990006	0.753978102515334	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Waist-hip ratio"	"Inverse variance weighted"	0.00649866912247608	0.0182172798019953	0.721293167770684	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Waist-hip ratio"	"Inverse variance weighted"	0.056442417331813	0.0102622576966933	3.79791249317754e-08	1	"pan"
"CSTB_CVDI"	"CSTB"	"Waist-hip ratio"	"Inverse variance weighted"	-0.00302228938420854	0.00396675481677371	0.446116847721283	1	"pan"
"CTSD_CVDI"	"CTSD"	"Waist-hip ratio"	"Inverse variance weighted"	0.0211540235306066	0.0250201481755283	0.397843147813229	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Waist-hip ratio"	"Inverse variance weighted"	-0.00931790832376265	0.0139307775798649	0.503577075003905	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Waist-hip ratio"	"Inverse variance weighted"	-0.0184640829160375	0.0302459441932667	0.541553983760594	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Waist-hip ratio"	"Inverse variance weighted"	-0.0120318049048142	0.0263540215505801	0.647997897250237	2	"pan"
