"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"eGFR (cystatin C)"	"ADM_CVDI"	"rs1064039"	0.00630591630591631	0.0411544011544012	0.878220207363686	4
"eGFR (cystatin C)"	"ADM_CVDI"	"rs143918894"	-0.116831517183571	0.12010896898575	0.330696121154402	4
"eGFR (cystatin C)"	"ADM_CVDI"	"rs60136849"	-0.19875	0.16625	0.231896140080648	4
"eGFR (cystatin C)"	"ADM_CVDI"	"rs653178"	0.0338759689922481	0.19968992248062	0.865291015895293	4
"eGFR (cystatin C)"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0148636439173455	0.0372418033940901	0.689810813563218	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"rs1064039"	-0.0315295815295815	0.0418181818181818	0.450868284383603	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"rs143918894"	-0.204744341994971	0.119337803855826	0.0862223786910669	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"rs60136849"	-0.09625	0.16875	0.568426521417451	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"rs653178"	-0.743488372093023	0.201472868217054	0.000224020129672782	4
"eGFR (cystatin C)"	"AGRP_CVDI"	"All - Inverse variance weighted"	-0.0770909360074633	0.079433750848703	0.331794309258317	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"rs1064039"	0.083968253968254	0.0600721500721501	0.162176121584165	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"rs143918894"	-0.471374685666387	0.302489522212909	0.119158026329897	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"rs60136849"	-0.17375	0.2425	0.473685849222724	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"rs653178"	0.224651162790698	0.322713178294574	0.486345794384951	4
"eGFR (cystatin C)"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.0550438631946038	0.0684814582695186	0.421525419969146	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"rs1064039"	0.000331890331890332	0.0497835497835498	0.994680808996092	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"rs143918894"	0.217854149203688	0.128013411567477	0.0887915109345805	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"rs60136849"	-0.2975	0.2025	0.141795958594924	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"rs653178"	-0.531317829457364	0.251395348837209	0.0345601174217748	4
"eGFR (cystatin C)"	"CASP-8_CVDI"	"All - Inverse variance weighted"	-0.00442639719629387	0.0792571226570975	0.955462439682035	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"rs1064039"	-0.00265512265512266	0.0444733044733045	0.952393382984619	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"rs143918894"	-0.00829002514668902	0.127820620284996	0.948288086875883	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"rs60136849"	0.2775	0.17875	0.120555172853402	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"rs653178"	-0.0713178294573643	0.215736434108527	0.740962879116256	4
"eGFR (cystatin C)"	"CCL20_CVDI"	"All - Inverse variance weighted"	0.00855878769713934	0.0401744788182708	0.831295438462861	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"rs1064039"	0.0341847041847042	0.0418181818181818	0.413665417939882	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"rs143918894"	-0.123000838222967	0.122036881810562	0.313503002588503	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"rs60136849"	-0.23	0.1675	0.169710590866295	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"rs653178"	-1.20705426356589	0.19968992248062	1.49741324620953e-09	4
"eGFR (cystatin C)"	"CCL3_CVDI"	"All - Inverse variance weighted"	-0.0388437616470401	0.136396368370355	0.775808180209743	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"rs1064039"	0.0209090909090909	0.0448051948051948	0.640738381802541	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"rs143918894"	-0.0312321877619447	0.128398994132439	0.8078169693465	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"rs60136849"	0.1725	0.18	0.33789470042481	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"rs653178"	-0.42968992248062	0.215736434108527	0.0464000823956146	4
"eGFR (cystatin C)"	"CCL4_CVDI"	"All - Inverse variance weighted"	0.00754795766513958	0.0528840366987995	0.886506124260727	4
"eGFR (cystatin C)"	"CD40_CVDI"	"rs1064039"	-0.103881673881674	0.0444733044733045	0.019500578107138	4
"eGFR (cystatin C)"	"CD40_CVDI"	"rs143918894"	0.0183151718357083	0.127242246437552	0.88554832771377	4
"eGFR (cystatin C)"	"CD40_CVDI"	"rs60136849"	0.005	0.17875	0.97768446085877	4
"eGFR (cystatin C)"	"CD40_CVDI"	"rs653178"	-0.524186046511628	0.215736434108527	0.0151091545860142	4
"eGFR (cystatin C)"	"CD40_CVDI"	"All - Inverse variance weighted"	-0.100778340146089	0.0522698922723082	0.0538503959830753	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"rs1064039"	-0.0972438672438672	0.0418181818181818	0.0200507510816793	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"rs143918894"	0.177753562447611	0.120687342833194	0.140793253152401	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"rs60136849"	0.1475	0.16875	0.382077915328567	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"rs653178"	-0.547364341085271	0.201472868217054	0.0065913606723034	4
"eGFR (cystatin C)"	"CD40-L_CVDI"	"All - Inverse variance weighted"	-0.0738439085890122	0.0752752066574806	0.326599745652986	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"rs1064039"	-0.0617316017316017	0.0371717171717172	0.0967708428904494	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"rs143918894"	0.0958172673931266	0.119337803855826	0.422027960319116	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"rs60136849"	-0.3475	0.14875	0.0194842351345354	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"rs653178"	-0.201472868217054	0.180077519379845	0.263220401905623	4
"eGFR (cystatin C)"	"CHI3L1_CVDI"	"All - Inverse variance weighted"	-0.0688143367554221	0.0479158035646493	0.150959333745906	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"rs1064039"	0.0594083694083694	0.0444733044733045	0.181607821460526	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"rs143918894"	-0.192405699916178	0.127242246437552	0.13050302949327	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"rs60136849"	0.01875	0.17875	0.916459043268617	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"rs653178"	-0.525968992248062	0.215736434108527	0.0147680987228912	4
"eGFR (cystatin C)"	"CSF-1_CVDI"	"All - Inverse variance weighted"	0.0119950041400024	0.0730825697364861	0.869629215115325	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"rs1064039"	-0.0159307359307359	0.0378354978354978	0.673716649749524	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"rs143918894"	0.0323889354568315	0.121072925398156	0.789071955559645	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"rs60136849"	-0.40375	0.15125	0.00759820347420621	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"rs653178"	-0.392248062015504	0.185426356589147	0.0343971799432385	4
"eGFR (cystatin C)"	"CSTB_CVDI"	"All - Inverse variance weighted"	-0.0452328738499677	0.0634238201470795	0.475731709609362	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"rs1064039"	0.0295382395382395	0.0375036075036075	0.430924501119537	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"rs143918894"	0.226915339480302	0.119916177703269	0.0584532903022946	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"rs60136849"	0.0925	0.15	0.537454611880879	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"rs653178"	-0.752403100775194	0.181860465116279	3.51485575016687e-05	4
"eGFR (cystatin C)"	"CTSD_CVDI"	"All - Inverse variance weighted"	0.0212144014006808	0.0911448695760143	0.815951851585963	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"rs1064039"	0.157647907647908	0.0418181818181818	0.000163351404803772	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"rs143918894"	-0.0861777032690696	0.121458507963118	0.477999481602805	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"rs60136849"	0.185	0.16875	0.272949129697726	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"rs653178"	-0.306666666666667	0.19968992248062	0.124608469802929	4
"eGFR (cystatin C)"	"CTSL1_CVDI"	"All - Inverse variance weighted"	0.118763967679044	0.0632712871457745	0.0605099457635681	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"rs1064039"	-0.000995670995670996	0.0444733044733045	0.982138404943953	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"rs143918894"	-0.134953897736798	0.126663872590109	0.286672788078517	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"rs60136849"	-0.29	0.17875	0.104722517576426	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"rs653178"	0.158682170542636	0.215736434108527	0.462012399107231	4
"eGFR (cystatin C)"	"CX3CL1_CVDI"	"All - Inverse variance weighted"	-0.0234923491985415	0.046151536660853	0.610733740093575	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"rs1064039"	-0.066046176046176	0.0428138528138528	0.122919201004459	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"rs143918894"	0.108927074601844	0.120880134115675	0.367526419458546	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"rs60136849"	0.14875	0.1725	0.38851208777314	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"rs653178"	-0.0998449612403101	0.205038759689922	0.626289142687671	4
"eGFR (cystatin C)"	"CXCL1_CVDI"	"All - Inverse variance weighted"	-0.0386558542311009	0.0396674142954172	0.329808852088081	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"rs1064039"	0.0504473304473304	0.0375036075036075	0.178582370901966	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"rs143918894"	0.0746102263202012	0.118952221290863	0.530509447505486	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"rs60136849"	-0.24125	0.15	0.107762193948406	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"rs653178"	1.30511627906977	0.181860465116279	7.15340318600293e-13	4
"eGFR (cystatin C)"	"CXCL16_CVDI"	"All - Inverse variance weighted"	0.0816029571766957	0.14032889691238	0.560895338524521	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"rs1064039"	-0.0693650793650794	0.0448051948051948	0.121586632048592	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"rs143918894"	0.110662196144174	0.128013411567477	0.387336435648803	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"rs60136849"	0.06875	0.18	0.702502572979201	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"rs653178"	-0.937829457364341	0.217519379844961	1.62168811638368e-05	4
"eGFR (cystatin C)"	"CXCL6_CVDI"	"All - Inverse variance weighted"	-0.0744482156651878	0.100426829404915	0.458500654237865	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"rs1064039"	-0.0876190476190476	0.0418181818181818	0.0361498323768589	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"rs143918894"	-0.0545599329421626	0.120880134115675	0.651733233656133	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"rs60136849"	0.05375	0.16875	0.750091649800551	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"rs653178"	-0.593720930232558	0.201472868217054	0.0032097422970933	4
"eGFR (cystatin C)"	"Dkk-1_CVDI"	"All - Inverse variance weighted"	-0.0951064708673421	0.0579298720554655	0.100641454813637	4
"eGFR (cystatin C)"	"ECP_CVDI"	"rs1064039"	-0.0564213564213564	0.0594083694083694	0.342254203882382	4
"eGFR (cystatin C)"	"ECP_CVDI"	"rs143918894"	0.15905280804694	0.304995808885163	0.602024228554893	4
"eGFR (cystatin C)"	"ECP_CVDI"	"rs60136849"	-0.2775	0.23875	0.245112138462317	4
"eGFR (cystatin C)"	"ECP_CVDI"	"rs653178"	-0.784496124031008	0.313798449612403	0.0124193306515523	4
"eGFR (cystatin C)"	"ECP_CVDI"	"All - Inverse variance weighted"	-0.084253484850069	0.0819970720420114	0.304176514310859	4
"eGFR (cystatin C)"	"EGF_CVDI"	"rs1064039"	-0.105541125541126	0.0580808080808081	0.0691952419535269	4
"eGFR (cystatin C)"	"EGF_CVDI"	"rs143918894"	0.0279547359597653	0.279740150880134	0.920399039975925	4
"eGFR (cystatin C)"	"EGF_CVDI"	"rs60136849"	0.1575	0.2325	0.49813992156856	4
"eGFR (cystatin C)"	"EGF_CVDI"	"rs653178"	-0.395813953488372	0.303100775193798	0.191592568658513	4
"eGFR (cystatin C)"	"EGF_CVDI"	"All - Inverse variance weighted"	-0.0954632629964615	0.0543444908328687	0.0789805819880952	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"rs1064039"	0.00962481962481962	0.0497835497835498	0.846697922528681	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"rs143918894"	0.135725062866723	0.13013411567477	0.29696544659665	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"rs60136849"	-0.32875	0.2025	0.104491793155625	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"rs653178"	0.19077519379845	0.249612403100775	0.444696996708976	4
"eGFR (cystatin C)"	"EN-RAGE_CVDI"	"All - Inverse variance weighted"	0.0138036005237584	0.0530657009636618	0.794769025034771	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"rs1064039"	0.0165945165945166	0.0577489177489177	0.773839501564727	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"rs143918894"	0.421634534786253	0.281282481139983	0.1338809223981	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"rs60136849"	0.52375	0.2325	0.0242788172447053	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"rs653178"	-0.973488372093023	0.303100775193798	0.00131922374212084	4
"eGFR (cystatin C)"	"ESM-1_CVDI"	"All - Inverse variance weighted"	0.0274882242445773	0.130478896196051	0.833143379152248	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"rs1064039"	0.0371717171717172	0.0371717171717172	0.317310507862914	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"rs143918894"	-0.0437636211232188	0.118759430008382	0.7124956041769	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"rs60136849"	-0.26375	0.1475	0.0737541343508223	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"rs653178"	0.0303100775193798	0.180077519379845	0.86633403299876	4
"eGFR (cystatin C)"	"FABP4_CVDI"	"All - Inverse variance weighted"	0.0144715321806226	0.0399817630619706	0.717386908211419	4
"eGFR (cystatin C)"	"FAS_CVDI"	"rs1064039"	0.0394949494949495	0.0375036075036075	0.292296379510135	4
"eGFR (cystatin C)"	"FAS_CVDI"	"rs143918894"	-0.0202430846605197	0.12010896898575	0.866159008582015	4
"eGFR (cystatin C)"	"FAS_CVDI"	"rs60136849"	-0.29625	0.14875	0.046415332486255	4
"eGFR (cystatin C)"	"FAS_CVDI"	"rs653178"	0.147984496124031	0.181860465116279	0.415802228083757	4
"eGFR (cystatin C)"	"FAS_CVDI"	"All - Inverse variance weighted"	0.0207569891763442	0.0458524339678599	0.650771182775767	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"rs1064039"	-0.0146031746031746	0.0418181818181818	0.726934399917106	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"rs143918894"	-0.075766974015088	0.121458507963118	0.532752684299715	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"rs60136849"	-0.25125	0.16875	0.136516629910147	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"rs653178"	-0.098062015503876	0.19968992248062	0.623375928599064	4
"eGFR (cystatin C)"	"FGF-23_CVDI"	"All - Inverse variance weighted"	-0.0353933610594603	0.0378014539525392	0.349120658256034	4
"eGFR (cystatin C)"	"FS_CVDI"	"rs1064039"	-0.0102886002886003	0.0424819624819625	0.808634880340731	4
"eGFR (cystatin C)"	"FS_CVDI"	"rs143918894"	-0.169463537300922	0.121265716680637	0.162276405149083	4
"eGFR (cystatin C)"	"FS_CVDI"	"rs60136849"	-0.1025	0.17125	0.549479579923082	4
"eGFR (cystatin C)"	"FS_CVDI"	"rs653178"	0.131937984496124	0.205038759689922	0.519913816292725	4
"eGFR (cystatin C)"	"FS_CVDI"	"All - Inverse variance weighted"	-0.0258557379350772	0.0383485046435279	0.500164674352468	4
"eGFR (cystatin C)"	"GAL_CVDI"	"rs1064039"	-0.0414862914862915	0.0590764790764791	0.482525020371479	4
"eGFR (cystatin C)"	"GAL_CVDI"	"rs143918894"	0.0208214585079631	0.296705783738474	0.944054023280193	4
"eGFR (cystatin C)"	"GAL_CVDI"	"rs60136849"	-0.195	0.23625	0.409146336658874	4
"eGFR (cystatin C)"	"GAL_CVDI"	"rs653178"	-0.233565891472868	0.313798449612403	0.456684004152933	4
"eGFR (cystatin C)"	"GAL_CVDI"	"All - Inverse variance weighted"	-0.0537372186258102	0.0553881289924661	0.331949907013601	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"rs1064039"	0.0736796536796537	0.0375036075036075	0.0494603469691582	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"rs143918894"	-0.134375523889355	0.118759430008382	0.257847434976107	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"rs60136849"	-0.30625	0.14875	0.0395111467775621	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"rs653178"	0.0552713178294574	0.181860465116279	0.761187645183173	4
"eGFR (cystatin C)"	"Gal-3_CVDI"	"All - Inverse variance weighted"	0.035794712033372	0.0570560684234977	0.530423086871357	4
"eGFR (cystatin C)"	"GDF-15_CVDI"	"rs1064039"	0.0229004329004329	0.0368398268398268	0.53419070026645	4
"eGFR (cystatin C)"	"GDF-15_CVDI"	"rs143918894"	0.030268231349539	0.117024308466052	0.795906000331137	4
