"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"eGFR (creatinine)"	"ADM_CVDI"	"rs10127790"	-0.87344262295082	0.440655737704918	0.0474632540591226	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10254101"	-0.632307692307692	0.265384615384615	0.0171904562144963	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs1047891"	0.388314606741573	0.304719101123595	0.202544262973587	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10746942"	-0.027906976744186	0.290232558139535	0.92339838633312	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10754894"	-0.630967741935484	0.441290322580645	0.152767377863766	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10851885"	-0.497777777777778	0.388148148148148	0.199687376497569	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10874312"	0.244210526315789	0.471578947368421	0.604557945714291	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs10994856"	-0.544	0.4768	0.25389505987722	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs1111571"	-0.0747540983606557	0.448524590163934	0.867632334778193	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs111366116"	-1.02127659574468	0.411063829787234	0.0129743692866979	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs113246091"	-0.133894736842105	0.447157894736842	0.764608138806271	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs11604462"	-0.388	0.42	0.355585495745078	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs11770844"	-0.36	0.4275	0.399729035501385	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs12458009"	-0.00375	0.46875	0.993616991599073	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs13146355"	-0.610909090909091	0.200330578512397	0.00229218855271108	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs1317983"	-0.306	0.363	0.399242310235437	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs13298297"	-0.976	0.4256	0.0218345894592851	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs2279463"	0.164745762711864	0.313220338983051	0.598906253884576	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs2453533"	-0.378666666666667	0.208	0.0686809456631793	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs267738"	-0.622417582417582	0.334945054945055	0.0631310059282089	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs36071802"	-0.0972151898734177	0.379746835443038	0.797950837314868	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs3812036"	-0.390588235294118	0.282352941176471	0.166562681737386	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs3850625"	0.548181818181818	0.425454545454545	0.197585349051169	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs3925584"	-0.789873417721519	0.334177215189873	0.0180965654136911	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs4500972"	-0.82	0.291111111111111	0.00485056420576535	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs56376587"	0.209302325581395	0.368372093023256	0.569911515965334	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs6059934"	0.190588235294118	0.356470588235294	0.592889505397408	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs62435145"	0.317922077922078	0.38961038961039	0.414500135712891	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs67551338"	-0.0561290322580645	0.464516129032258	0.903823047354492	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs6809651"	-0.204444444444444	0.459259259259259	0.656203198778014	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs700236"	-0.765714285714286	0.308571428571429	0.0130837508606254	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs7247977"	-0.534857142857143	0.353142857142857	0.129883081095494	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs7640665"	0.406666666666667	0.443333333333333	0.358989002383361	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs7764488"	0.121967213114754	0.432786885245902	0.778082928698548	42
"eGFR (creatinine)"	"ADM_CVDI"	"rs77924615"	-0.384545454545455	0.185454545454545	0.0381230368265114	42
