"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"rs12465701"	0.124729574223245	0.120136555427695	0.299162220758689	4	"pan"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"rs148339496"	-0.144364925854288	0.0728949065119278	0.0476526656456614	4	"pan"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"rs4862669"	0.181091417910448	0.0858992537313433	0.035015091230539	4	"pan"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"rs9264664"	-0.313287671232877	0.178995433789954	0.0800743045121104	4	"pan"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"All - Inverse variance weighted"	-0.00886856460994072	0.0990051987450717	0.928623555524103	4	"pan"
"AGRP_CVDI"	"AGRP"	"Coronary heart disease"	"rs4894192"	0.0945045045045045	0.151801801801802	0.53357900913962	1	"pan"
"AGRP_CVDI"	"AGRP"	"Coronary heart disease"	"All - Wald ratio"	0.0945045045045045	0.151801801801802	0.53357900913962	1	"pan"
"CA-125_CVDI"	"CA-125"	"Coronary heart disease"	"rs11672713"	0.0565487735310896	0.0780969766115231	0.469014148554537	1	"pan"
"CA-125_CVDI"	"CA-125"	"Coronary heart disease"	"All - Wald ratio"	0.0565487735310896	0.0780969766115231	0.469014148554537	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Coronary heart disease"	"rs35550815"	-0.0304909560723514	0.0804072351421189	0.704534434060861	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Coronary heart disease"	"All - Wald ratio"	-0.0304909560723514	0.0804072351421189	0.704534434060861	1	"pan"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"rs4973334"	-0.131308840413318	0.110036739380023	0.232744789250859	2	"pan"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"rs742493"	0.462407152682256	0.105378266850069	1.14361264376079e-05	2	"pan"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"All - Inverse variance weighted"	0.17838260178979	0.296580465956505	0.54753069429893	2	"pan"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"rs1634517"	-0.0129130326439073	0.0269768253177174	0.632172470438441	3	"pan"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"rs3184504"	0.930550724637681	0.152424637681159	1.02807811531028e-09	3	"pan"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"rs4543123"	-0.092059620596206	0.142570460704607	0.518465145857047	3	"pan"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"All - Inverse variance weighted"	0.0121251839354122	0.113382608885893	0.914836245672009	3	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"rs113010081"	0.0521532091097308	0.0310533126293996	0.0930598402736125	4	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"rs5743604"	0.00609223300970874	0.126609223300971	0.961621883626679	4	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"rs62257806"	0.229143769968051	0.162615335463259	0.158801054258955	4	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"rs8064426"	0.0160565306587645	0.03025096877137	0.595573040448218	4	"pan"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"All - Inverse variance weighted"	0.0361775936869483	0.021176348778337	0.0875628527220897	4	"pan"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"rs4801216"	0.00428730512249443	0.104599109131403	0.967305486540526	2	"pan"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"rs4810485"	-0.00924426719840479	0.0208179461615155	0.65700441341405	2	"pan"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"All - Inverse variance weighted"	-0.008728686042439	0.0204174909663624	0.669007743308554	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Coronary heart disease"	"rs4602861"	0.405837696335079	0.151083769633508	0.00722748630606245	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Coronary heart disease"	"All - Wald ratio"	0.405837696335079	0.151083769633508	0.00722748630606245	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"rs1260326"	-0.0460678925035361	0.136069306930693	0.734939736404256	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"rs28601761"	0.400645973154362	0.0819177852348993	1.00411588371458e-06	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"rs339969"	0.059	0.130556	0.651331402916639	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"rs4950931"	-0.0118114438185591	0.0174325526237771	0.498056410373105	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"All - Inverse variance weighted"	0.00613976689327487	0.0480103492212925	0.898240585415531	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Coronary heart disease"	"rs11579145"	0.125530216647662	0.0538124287343216	0.0196619792691871	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Coronary heart disease"	"All - Wald ratio"	0.125530216647662	0.0538124287343216	0.0196619792691871	1	"pan"
"CSTB_CVDI"	"CSTB"	"Coronary heart disease"	"rs35285321"	0.02159425765017	0.0184590102002267	0.242061674708296	2	"pan"
"CSTB_CVDI"	"CSTB"	"Coronary heart disease"	"rs62143212"	-0.063693215339233	0.0991492625368731	0.520615273374279	2	"pan"
"CSTB_CVDI"	"CSTB"	"Coronary heart disease"	"All - Inverse variance weighted"	0.0187371597689531	0.0181471915965313	0.301833188764769	2	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"rs10860794"	0.081253164556962	0.0619177215189873	0.189426892710016	5	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"rs1260326"	-0.0515348101265823	0.152216772151899	0.734939736404256	5	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"rs55861089"	-0.0347245017584994	0.040083939038687	0.386328601902246	5	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"rs73001065"	-0.551666666666667	0.173045454545455	0.00143266956946304	5	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"rs838133"	-0.00266666666666667	0.183701587301587	0.988418078089614	5	"pan"
"CTSD_CVDI"	"CTSD"	"Coronary heart disease"	"All - Inverse variance weighted"	-0.0213705188942278	0.0557458749627794	0.701455779541357	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs1031153"	-0.22990574929312	0.0959934024505184	0.0166196331591331	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs1133330"	0.0110365853658537	0.157510670731707	0.944138891148092	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs150370599"	0.0528224776500639	0.15660153256705	0.735887001921644	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs2274611"	-0.0511789652247668	0.0781586089906701	0.512590697189454	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs3129757"	-0.249252336448598	0.142556074766355	0.0803859330528846	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs35049778"	0.089887482419128	0.144393811533052	0.533602515033562	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs6575449"	0.0863907933398629	0.0646072477962782	0.181167557131657	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs76904798"	-0.0287579908675799	0.120889497716895	0.811969053488642	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs8176396"	-0.162947742262811	0.175000507356672	0.351787740996417	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs887945"	0.141900479616307	0.0688950839328537	0.0394310128087007	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"rs9497486"	0.17980686695279	0.127913447782546	0.159815704077104	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Coronary heart disease"	"All - Inverse variance weighted"	0.014686483591612	0.0416385946789777	0.724303433280376	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"rs2519093"	-0.914036697247706	0.134775229357798	1.18577726845809e-11	5	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"rs28771425"	-0.14183908045977	0.119263322884013	0.234324239200389	5	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"rs3732378"	-0.0694880174291939	0.1455348583878	0.633029980189665	5	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"rs3775298"	-0.268447121820616	0.123227576974565	0.0293713396601498	5	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"rs683544"	0.0436792452830189	0.0475069513406157	0.3578714849834	5	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Coronary heart disease"	"All - Inverse variance weighted"	-0.0908247969195553	0.132149635217938	0.491901552814151	5	"pan"
"CXCL1_CVDI"	"CXCL1"	"Coronary heart disease"	"rs3117604"	0.0383697953422724	0.0351986591390261	0.275672387153279	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Coronary heart disease"	"rs7896518"	0.073020594965675	0.105843249427918	0.490261014215732	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Coronary heart disease"	"All - Inverse variance weighted"	0.0418203142545416	0.0334001748145822	0.210533914557787	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs10774624"	-0.898045007032349	0.151711673699015	3.23080348917931e-09	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs113120414"	0.214640692640693	0.230055411255411	0.350822226270587	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs1250559"	-0.210762829403606	0.135912621359223	0.120968077606954	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs1602580"	-0.121137487636004	0.112259149357072	0.280548553085613	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs2009581"	0.0612043512043512	0.0827583527583528	0.459570072627618	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs35087390"	0.28940044411547	0.121685788304959	0.0173945556678153	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs35186877"	0.0934197828709288	0.0872822677925211	0.28447619199711	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs6031303"	-0.00421836228287841	0.130461538461538	0.974205579774658	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs6512104"	0.0841437308868501	0.1605	0.600097710218569	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"rs748113"	0.280320197044335	0.151355911330049	0.0640172380022162	10	"pan"
"CXCL16_CVDI"	"CXCL16"	"Coronary heart disease"	"All - Inverse variance weighted"	2.07166662222988e-05	0.0907449218643517	0.999817846468465	10	"pan"
"CXCL6_CVDI"	"CXCL6"	"Coronary heart disease"	"rs16850073"	0.0316069736592761	0.0198563577790411	0.111433913756335	1	"pan"
"CXCL6_CVDI"	"CXCL6"	"Coronary heart disease"	"All - Wald ratio"	0.0316069736592761	0.0198563577790411	0.111433913756335	1	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"rs11594179"	0.432116788321168	0.177674452554745	0.0150127863398554	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"rs4541868"	0.212713987473904	0.0801746694502436	0.00797486584025694	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"rs7896518"	0.0518440292445166	0.0751478472786353	0.490261014215732	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"rs7898709"	0.0226992514310876	0.0617661822985469	0.713243925268966	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"rs8045833"	0.076796875	0.159604166666667	0.630395065646723	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Coronary heart disease"	"All - Inverse variance weighted"	0.0975292832956592	0.0529456208803309	0.0654656200658227	5	"pan"
"ECP_CVDI"	"ECP"	"Coronary heart disease"	"rs147307766"	-0.0571126198083067	0.0475073881789137	0.229292264411639	1	"pan"
"ECP_CVDI"	"ECP"	"Coronary heart disease"	"All - Wald ratio"	-0.0571126198083067	0.0475073881789137	0.229292264411639	1	"pan"
"EGF_CVDI"	"EGF"	"Coronary heart disease"	"rs2237045"	-0.110361173814898	0.0740699774266366	0.136235214347578	1	"pan"
"EGF_CVDI"	"EGF"	"Coronary heart disease"	"All - Wald ratio"	-0.110361173814898	0.0740699774266366	0.136235214347578	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Coronary heart disease"	"rs3014874"	0.00452079566003617	0.0718161543098252	0.949806666066931	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Coronary heart disease"	"All - Wald ratio"	0.00452079566003617	0.0718161543098252	0.949806666066931	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Coronary heart disease"	"rs4865884"	0.0168528301886792	0.078908679245283	0.830879395882029	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Coronary heart disease"	"All - Wald ratio"	0.0168528301886792	0.078908679245283	0.830879395882029	1	"pan"
"FABP4_CVDI"	"FABP4"	"Coronary heart disease"	"rs2012444"	-0.0418411214953271	0.132860747663551	0.752818882117944	2	"pan"
"FABP4_CVDI"	"FABP4"	"Coronary heart disease"	"rs77878271"	0.156751347190146	0.123454195535027	0.204187024085149	2	"pan"
