"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Breast cancer"	"rs12465701"	-0.546221710778673	0.338319907940161	0.106416313868153	4	"pan"
"ADM_CVDI"	"ADM"	"Breast cancer"	"rs148339496"	0.243713733075435	0.127659574468085	0.0562503652819669	4	"pan"
"ADM_CVDI"	"ADM"	"Breast cancer"	"rs4862669"	0.0531716417910448	0.163246268656716	0.744640534722819	4	"pan"
"ADM_CVDI"	"ADM"	"Breast cancer"	"rs9264664"	-0.0410958904109589	0.28158295281583	0.883964060263888	4	"pan"
"ADM_CVDI"	"ADM"	"Breast cancer"	"All - Inverse variance weighted"	0.0969717622146003	0.12062130165329	0.421434151035832	4	"pan"
"AGRP_CVDI"	"AGRP"	"Breast cancer"	"rs11451130"	-0.207055214723926	0.297546012269939	0.486506307796287	2	"pan"
"AGRP_CVDI"	"AGRP"	"Breast cancer"	"rs4894192"	0.252252252252252	0.279279279279279	0.366406064176293	2	"pan"
"AGRP_CVDI"	"AGRP"	"Breast cancer"	"All - Inverse variance weighted"	0.0371291600309595	0.229193581431492	0.871306541600099	2	"pan"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"rs114590746"	0.0777431285807528	0.0776706070055842	0.316858859385457	3	"pan"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"rs11672713"	0.00570450656018254	0.144894466628637	0.968595335113122	3	"pan"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"rs62193063"	0.0559028397928202	0.0735845686729773	0.447428704574076	3	"pan"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"All - Inverse variance weighted"	0.0589908585512356	0.050120611465846	0.239204275313747	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Breast cancer"	"rs35550815"	-0.488372093023256	0.135400516795866	0.000309912555019679	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Breast cancer"	"All - Wald ratio"	-0.488372093023256	0.135400516795866	0.000309912555019679	1	"pan"
"CCL20_CVDI"	"CCL20"	"Breast cancer"	"rs4973334"	-0.291618828932262	0.205510907003444	0.155900644795184	2	"pan"
"CCL20_CVDI"	"CCL20"	"Breast cancer"	"rs742493"	0.0612104539202201	0.19050894085282	0.747983329968353	2	"pan"
