"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Age at menarche"	"ADM_CVDI"	"rs10011174"	0.507060384615385	0.700768846153846	0.469325321137345	113
"Age at menarche"	"ADM_CVDI"	"rs10049090"	-0.387752058823529	0.461817058823529	0.401120000287487	113
"Age at menarche"	"ADM_CVDI"	"rs10076858"	-0.893136764705882	0.505384705882353	0.0771878125142148	113
"Age at menarche"	"ADM_CVDI"	"rs10134333"	-0.02083078125	0.63186703125	0.973700877224893	113
"Age at menarche"	"ADM_CVDI"	"rs10138913"	-0.337407222222222	0.301746296296296	0.263489347975161	113
"Age at menarche"	"ADM_CVDI"	"rs10182181"	-1.04788259259259	0.565088518518519	0.0636863964182167	113
"Age at menarche"	"ADM_CVDI"	"rs10237306"	0.00510793103448276	0.531224827586207	0.992328151286975	113
"Age at menarche"	"ADM_CVDI"	"rs107068"	-0.29626	0.521008965517241	0.569608991540106	113
"Age at menarche"	"ADM_CVDI"	"rs10746733"	0.176345238095238	0.377378809523809	0.6402926105915	113
"Age at menarche"	"ADM_CVDI"	"rs10750766"	0.526116896551724	0.566980344827586	0.35344495638198	113
"Age at menarche"	"ADM_CVDI"	"rs10767659"	-0.692725588235294	0.466173823529412	0.13728406511438	113
"Age at menarche"	"ADM_CVDI"	"rs10832021"	0.206764791666667	0.357980833333333	0.563543521428436	113
"Age at menarche"	"ADM_CVDI"	"rs10885077"	0.883489642857143	0.624262142857143	0.156993967332667	113
"Age at menarche"	"ADM_CVDI"	"rs10895141"	0.22377085106383	0.365597446808511	0.54049212953513	113
"Age at menarche"	"ADM_CVDI"	"rs10931078"	0.044439	0.5110485	0.930706071768414	113
"Age at menarche"	"ADM_CVDI"	"rs10931831"	0.0167694339622642	0.29626	0.954860828480677	113
"Age at menarche"	"ADM_CVDI"	"rs10934420"	0.475133962264151	0.287875283018868	0.0988436894887821	113
"Age at menarche"	"ADM_CVDI"	"rs10938397"	-0.469680487804878	0.408260731707317	0.249961673154301	113
"Age at menarche"	"ADM_CVDI"	"rs10948864"	0.198917428571429	0.440157714285714	0.651324399083018	113
"Age at menarche"	"ADM_CVDI"	"rs11062204"	-0.31477625	0.715961666666667	0.660186874458378	113
"Age at menarche"	"ADM_CVDI"	"rs11070591"	0.212319666666667	0.557956333333333	0.703551309218297	113
"Age at menarche"	"ADM_CVDI"	"rs113115898"	-0.181988285714286	0.342815142857143	0.595512889285081	113
"Age at menarche"	"ADM_CVDI"	"rs11575886"	-0.0757874418604651	0.564960930232558	0.893286855587621	113
"Age at menarche"	"ADM_CVDI"	"rs11703376"	0.406299428571428	0.537500285714286	0.449705849059691	113
"Age at menarche"	"ADM_CVDI"	"rs11873906"	0.162652549019608	0.354350196078431	0.646222393819314	113
"Age at menarche"	"ADM_CVDI"	"rs12091368"	0.0573406451612903	0.530400967741936	0.913909936512377	113
"Age at menarche"	"ADM_CVDI"	"rs12125335"	-0.679655294117647	0.476339607843137	0.153629112624213	113
"Age at menarche"	"ADM_CVDI"	"rs12168307"	-0.466833939393939	0.552120909090909	0.397815852119185	113
"Age at menarche"	"ADM_CVDI"	"rs12566985"	-0.0493766666666667	0.311690208333333	0.874129131617549	113
"Age at menarche"	"ADM_CVDI"	"rs12603280"	-0.571358571428571	0.558661714285714	0.306436812734698	113
"Age at menarche"	"ADM_CVDI"	"rs12663002"	-0.73359619047619	0.51140119047619	0.151434545793166	113
"Age at menarche"	"ADM_CVDI"	"rs13120031"	1.6472056	0.6991736	0.0184762894494206	113
