"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Asthma"	"rs11042731"	0.0254058441558442	0.0931827922077922	0.785125937281713	4	"pan"
"ADM_CVDI"	"ADM"	"Asthma"	"rs12465701"	0.379671001150748	0.309622823168393	0.220109453592812	4	"pan"
"ADM_CVDI"	"ADM"	"Asthma"	"rs2048"	-0.0280005602240896	0.116176844070962	0.809542168933971	4	"pan"
"ADM_CVDI"	"ADM"	"Asthma"	"rs9264664"	0.132036834094368	0.2033400304414	0.516118577038195	4	"pan"
"ADM_CVDI"	"ADM"	"Asthma"	"All - Inverse variance weighted"	0.0357573627807226	0.0668341106858501	0.592638335968785	4	"pan"
"AGRP_CVDI"	"AGRP"	"Asthma"	"rs6740315"	-0.175722852760736	0.208601226993865	0.399571659804056	1	"pan"
"AGRP_CVDI"	"AGRP"	"Asthma"	"All - Wald ratio"	-0.175722852760736	0.208601226993865	0.399571659804056	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Asthma"	"rs17468277"	0.323890275611024	0.0945335413416537	0.00061210246485195	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Asthma"	"All - Wald ratio"	0.323890275611024	0.0945335413416537	0.00061210246485195	1	"pan"
"CCL20_CVDI"	"CCL20"	"Asthma"	"rs2268189"	-0.0949566171266808	0.149835668789809	0.526251559563242	2	"pan"
"CCL20_CVDI"	"CCL20"	"Asthma"	"rs4973334"	-0.285301262916188	0.163768656716418	0.0814910693362891	2	"pan"
"CCL20_CVDI"	"CCL20"	"Asthma"	"All - Inverse variance weighted"	-0.181688861752277	0.110547963716381	0.100273385385826	2	"pan"
"CCL3_CVDI"	"CCL3"	"Asthma"	"rs1634517"	0.0118614253675554	0.0390916521305756	0.761565200231599	3	"pan"
"CCL3_CVDI"	"CCL3"	"Asthma"	"rs3184504"	-0.727845797101449	0.185219275362319	8.5071750805948e-05	3	"pan"
"CCL3_CVDI"	"CCL3"	"Asthma"	"rs4543123"	-0.78439918699187	0.198962059620596	8.06514137065267e-05	3	"pan"
"CCL3_CVDI"	"CCL3"	"Asthma"	"All - Inverse variance weighted"	-0.0469380196894042	0.144294698153458	0.744959514715319	3	"pan"
"CCL4_CVDI"	"CCL4"	"Asthma"	"rs5743604"	-0.738524878640777	0.181497087378641	4.72005795855295e-05	2	"pan"
"CCL4_CVDI"	"CCL4"	"Asthma"	"rs8064426"	0.0506751994529291	0.0479167084568042	0.29025222918644	2	"pan"
"CCL4_CVDI"	"CCL4"	"Asthma"	"All - Inverse variance weighted"	-0.00074806435557945	0.194779084484933	0.996935669278464	2	"pan"
"CD40_CVDI"	"CD40"	"Asthma"	"rs4801216"	0.335855345211581	0.150937082405345	0.0260721944013211	2	"pan"
"CD40_CVDI"	"CD40"	"Asthma"	"rs4810485"	-0.0115203788634098	0.0291663010967099	0.692850733798652	2	"pan"
"CD40_CVDI"	"CD40"	"Asthma"	"All - Inverse variance weighted"	0.000983630049324453	0.064708878146754	0.987871942319062	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Asthma"	"rs1260326"	-0.0121110325318246	0.18333125884017	0.94732932023386	3	"pan"
