"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"rs12465701"	-0.143466636570774	0.297276563099348	0.629377468491218	4	"pan"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"rs148339496"	-0.00966393374426789	0.121856866537718	0.936789540236872	4	"pan"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"rs4862669"	0.278942736514118	0.155783582089552	0.07336095586314	4	"pan"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"rs9264664"	-0.190282027746198	0.315068493150685	0.545884457975123	4	"pan"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	0.056202764438082	0.093387187805502	0.547290488490309	4	"pan"
"AGRP_CVDI"	"AGRP"	"Inflammatory bowel disease"	"rs4894192"	0.355810738387066	0.265765765765766	0.180631464215067	2	"pan"
"AGRP_CVDI"	"AGRP"	"Inflammatory bowel disease"	"rs77315662"	0.61492797091039	0.332083489563805	0.0640650318046136	2	"pan"
"AGRP_CVDI"	"AGRP"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	0.456975594856835	0.207498026516558	0.0276432087147756	2	"pan"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"rs114590746"	0.0839094213168003	0.067590108057147	0.2144412969642	3	"pan"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"rs11672713"	0.0370854896883056	0.127780946948089	0.771642529031718	3	"pan"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"rs62193063"	0.00536615292069784	0.0621539560635828	0.931198950930999	3	"pan"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	0.0408678001775314	0.0430731675372316	0.342722592049553	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Inflammatory bowel disease"	"rs35550815"	0.0640647045816605	0.129715762273902	0.621387206275643	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0640647045816605	0.129715762273902	0.621387206275643	1	"pan"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"rs4973334"	0.458040650554024	0.196326061997704	0.0196449514627434	2	"pan"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"rs742493"	-0.0564206145164259	0.18363136176066	0.758653593419615	2	"pan"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	0.183640596170901	0.25665698756878	0.474294072241259	2	"pan"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"rs1634517"	-0.074745570733618	0.0490904560179417	0.127856553780512	3	"pan"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"rs3184504"	1.05216945528034	0.246376811594203	1.94973886937595e-05	3	"pan"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"rs4543123"	-0.178895158235176	0.2710027100271	0.509174814138408	3	"pan"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	-0.0362178786693986	0.151419498168245	0.81095903022658	3	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"rs113010081"	0.143035649412981	0.0481366459627329	0.00296396876343782	4	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"rs5743604"	-0.126162332307286	0.242718446601942	0.603210780066291	4	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"rs62257806"	0.0817748129703559	0.311182108626198	0.792714260106721	4	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"rs8064426"	-0.062681624576726	0.0583542284020971	0.282752154716846	4	"pan"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	0.0558444066032666	0.0594375103821096	0.347449351207753	4	"pan"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"rs4801216"	-0.114663758099869	0.192650334075724	0.551715760102282	2	"pan"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"rs4810485"	-0.14296552634303	0.0378863409770688	0.000160949049146682	2	"pan"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	-0.141911722314408	0.0371743093433945	0.0001348284742482	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Inflammatory bowel disease"	"rs4602861"	0.882158795628949	0.286649214659686	0.00208755009211391	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Inflammatory bowel disease"	"All - Wald ratio"	0.882158795628949	0.286649214659686	0.00208755009211391	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"rs1260326"	0.920848461556516	0.24045261669024	0.000128327599525454	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"rs28601761"	-0.10314830615899	0.145134228187919	0.477264137329901	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"rs339969"	0.0772902512956993	0.232	0.739022843652573	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"rs4950931"	-0.051138869563588	0.0312777942484435	0.10205121938791	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"All - Inverse variance weighted"	-0.0360074126708982	0.0705808583415292	0.609940544342108	4	"pan"
