"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"LDL cholesterol"	"ADM_CVDI"	"rs10195252"	-0.222689075630252	0.441176470588235	0.613726075493516	52
"LDL cholesterol"	"ADM_CVDI"	"rs10490626"	0.00590551181102362	0.383858267716535	0.987725337120244	52
"LDL cholesterol"	"ADM_CVDI"	"rs10832962"	-0.40625	0.346875	0.241529980712954	52
"LDL cholesterol"	"ADM_CVDI"	"rs10903129"	-0.0914634146341463	0.310975609756098	0.768668006560809	52
"LDL cholesterol"	"ADM_CVDI"	"rs10947332"	-0.5	0.313492063492064	0.110726389709909	52
"LDL cholesterol"	"ADM_CVDI"	"rs11563251"	-0.469565217391304	0.478260869565217	0.326189429199069	52
"LDL cholesterol"	"ADM_CVDI"	"rs11591147"	-0.0428571428571429	0.0790744466800805	0.587829023334691	52
"LDL cholesterol"	"ADM_CVDI"	"rs1169288"	0.533333333333333	0.285333333333333	0.0616007134550936	52
"LDL cholesterol"	"ADM_CVDI"	"rs1250229"	-0.547325102880658	0.481481481481482	0.255641917254699	52
"LDL cholesterol"	"ADM_CVDI"	"rs12916"	-0.0313778990450205	0.141882673942701	0.824972644890565	52
"LDL cholesterol"	"ADM_CVDI"	"rs13277801"	-0.488165680473373	0.319526627218935	0.126567721473707	52
"LDL cholesterol"	"ADM_CVDI"	"rs1367117"	-0.09106239460371	0.0919055649241147	0.321770703576164	52
"LDL cholesterol"	"ADM_CVDI"	"rs1564348"	0.0623700623700624	0.284823284823285	0.826667105730448	52
"LDL cholesterol"	"ADM_CVDI"	"rs16831243"	-0.505291005291005	0.357142857142857	0.157122799252091	52
"LDL cholesterol"	"ADM_CVDI"	"rs17404153"	0.0803571428571429	0.443452380952381	0.856204273321554	52
"LDL cholesterol"	"ADM_CVDI"	"rs174583"	0.486590038314176	0.201149425287356	0.0155612029548328	52
"LDL cholesterol"	"ADM_CVDI"	"rs1801689"	-0.207198443579767	0.307392996108949	0.500279123695903	52
"LDL cholesterol"	"ADM_CVDI"	"rs1883025"	0.695945945945946	0.398648648648649	0.0808521928418444	52
"LDL cholesterol"	"ADM_CVDI"	"rs2000999"	-0.184615384615385	0.189230769230769	0.329257888010891	52
"LDL cholesterol"	"ADM_CVDI"	"rs2073547"	0.404123711340206	0.25360824742268	0.111048979533399	52
"LDL cholesterol"	"ADM_CVDI"	"rs2419604"	0.0298013245033113	0.370860927152318	0.935953211674779	52
"LDL cholesterol"	"ADM_CVDI"	"rs247616"	-0.228519195612431	0.197440585009141	0.247105949099061	52
"LDL cholesterol"	"ADM_CVDI"	"rs2587534"	-0.805626598465473	0.265984654731458	0.00245489661823238	52
"LDL cholesterol"	"ADM_CVDI"	"rs2642438"	-0.258522727272727	0.323863636363636	0.424727971873664	52
"LDL cholesterol"	"ADM_CVDI"	"rs267733"	0.344410876132931	0.43202416918429	0.425333261763563	52
"LDL cholesterol"	"ADM_CVDI"	"rs2710642"	0.690376569037657	0.443514644351464	0.119564587327678	52
"LDL cholesterol"	"ADM_CVDI"	"rs2980860"	-0.184158415841584	0.198019801980198	0.352371084490516	52
