"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"eGFR (cystatin C)"	"rs12465701"	0.161771818348593	0.148429812711596	0.275762641649248	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (cystatin C)"	"rs148339496"	0.0953101785664228	0.0700810136517815	0.17382992389417	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (cystatin C)"	"rs4862669"	-0.0446138870863076	0.0892277741726152	0.617075077451974	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.0564471444298752	0.0528656917687639	0.285634987206148	3	"pan"
"AGRP_CVDI"	"AGRP"	"eGFR (cystatin C)"	"rs4894192"	-0.182791487139313	0.156678417547983	0.243345009148762	1	"pan"
"AGRP_CVDI"	"AGRP"	"eGFR (cystatin C)"	"All - Wald ratio"	-0.182791487139313	0.156678417547983	0.243345009148762	1	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (cystatin C)"	"rs114590746"	0.053287592189111	0.0548641481710374	0.331416647760662	3	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (cystatin C)"	"rs11672713"	-0.019841761948461	0.0892879287680746	0.824140895741885	3	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (cystatin C)"	"rs62193063"	0.0225195492983996	0.0364972005870614	0.537220691970024	3	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.0265813199040059	0.0287672846980133	0.355480002246873	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"eGFR (cystatin C)"	"rs35550815"	-0.128075497135153	0.0741489720256151	0.0841186947979136	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"eGFR (cystatin C)"	"All - Wald ratio"	-0.128075497135153	0.0741489720256151	0.0841186947979136	1	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (cystatin C)"	"rs4973334"	-0.179703489242749	0.114810562571757	0.117531945029355	2	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (cystatin C)"	"rs742493"	-0.0568147838047964	0.107649064051193	0.597653582632867	2	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	-0.114307155734127	0.0785291639128485	0.1455028591161	2	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (cystatin C)"	"rs1634517"	0.0281693192775653	0.0281693192775653	0.317310507862914	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (cystatin C)"	"rs3184504"	-0.781348456206679	0.144927536231884	6.99480897814499e-08	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (cystatin C)"	"rs4543123"	-0.0471309060916696	0.153175444797926	0.75831647352629	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	-0.00274658994547181	0.105655843461066	0.979260826056194	3	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"rs113010081"	0.0217541332853242	0.0277552735019654	0.43316699063013	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"rs5743604"	-0.0527648796960743	0.137188687209793	0.700522394103849	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"rs62257806"	-0.133351854424226	0.15557716349493	0.391365938307552	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"rs8064426"	-0.0118928454623839	0.0366696068423504	0.745692505957826	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.00518745221240818	0.0216359371558656	0.810515604148521	4	"pan"
"CD40_CVDI"	"CD40"	"eGFR (cystatin C)"	"rs4801216"	0.130725283238114	0.111358574610245	0.240429857397095	2	"pan"
"CD40_CVDI"	"CD40"	"eGFR (cystatin C)"	"rs4810485"	0.0494169664918289	0.0216741081104513	0.0226076884771056	2	"pan"
"CD40_CVDI"	"CD40"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.0523846805387258	0.021274884172531	0.0138057587598584	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"eGFR (cystatin C)"	"rs4602861"	-0.0398361028909629	0.165035283405418	0.809261146695181	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"eGFR (cystatin C)"	"All - Wald ratio"	-0.0398361028909629	0.165035283405418	0.809261146695181	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"rs1260326"	0.356681630896009	0.141442715700141	0.0116776273732625	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"rs28601761"	0.098482637875693	0.0838926174496644	0.240429857397095	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"rs339969"	0.220289855072464	0.133333333333333	0.0984991027915989	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"rs4950931"	-0.0193351293520154	0.0174016164168138	0.266520525805011	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	-0.00553080802753864	0.0329898797525596	0.866857329341867	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"eGFR (cystatin C)"	"rs11579145"	-0.0421397055178226	0.0545337365524763	0.439683802605572	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"eGFR (cystatin C)"	"All - Wald ratio"	-0.0421397055178226	0.0545337365524763	0.439683802605572	1	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (cystatin C)"	"rs35285321"	0.0279233258323615	0.0197105829404905	0.156580407089635	2	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (cystatin C)"	"rs62143212"	-0.0769526741054252	0.12312427856868	0.531971058097401	2	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.0253027431600835	0.0194627665766264	0.193580778259859	2	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"rs10860794"	0.0110071546505228	0.066042927903137	0.867632334778193	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"rs1260326"	0.399009356081453	0.158227848101266	0.0116776273732625	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"rs55861089"	0.100922575054794	0.0428156379020337	0.0184161605763039	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"rs73001065"	0.047577221490265	0.161030595813205	0.767646670678346	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"rs838133"	-0.234644582470669	0.20703933747412	0.25707429868483	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (cystatin C)"	"All - Inverse variance weighted"	0.0797109453717274	0.0469978951654014	0.089875745530677	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (cystatin C)"	"rs1031153"	-0.00819571364176536	0.102446420522067	0.936237255972025	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (cystatin C)"	"rs1133330"	-0.0198833510074231	0.159066808059385	0.900523550339774	11	"pan"
