"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"2-h glucose"	"ADM_CVDI"	"rs1019503"	-0.0945974222222222	0.201271111111111	0.638355017565112	7
"2-h glucose"	"ADM_CVDI"	"rs11672660"	-0.293755186666667	0.13314084	0.0273595585508691	7
"2-h glucose"	"ADM_CVDI"	"rs11717195"	0.0239512622222222	0.174703324444444	0.890954302215031	7
"2-h glucose"	"ADM_CVDI"	"rs11782386"	-0.149855490909091	0.204930585858586	0.464626464775814	7
"2-h glucose"	"ADM_CVDI"	"rs12255372"	-0.18468812173913	0.158501	0.243931007649852	7
"2-h glucose"	"ADM_CVDI"	"rs6547829"	0.102593374545455	0.208644952727273	0.62292245386036	7
"2-h glucose"	"ADM_CVDI"	"rs6975024"	-0.324610048	0.17118108	0.0579208757574049	7
"2-h glucose"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.160983112899022	0.0652917555529568	0.0136785389305133	7
"2-h glucose"	"AGRP_CVDI"	"rs1019503"	0.146927911111111	0.205296533333333	0.474185087802326	7
"2-h glucose"	"AGRP_CVDI"	"rs11672660"	-0.2219014	0.135254186666667	0.100875282164828	7
"2-h glucose"	"AGRP_CVDI"	"rs11717195"	0.150752062222222	0.176112222222222	0.391997779445376	7
"2-h glucose"	"AGRP_CVDI"	"rs11782386"	-0.0499518303030303	0.207492218181818	0.809756060860832	7
"2-h glucose"	"AGRP_CVDI"	"rs12255372"	-0.25911467826087	0.161257539130435	0.108089996218436	7
"2-h glucose"	"AGRP_CVDI"	"rs6547829"	-0.161382836363636	0.212103156363636	0.446734978558603	7
"2-h glucose"	"AGRP_CVDI"	"rs6975024"	-0.382938416	0.174985104	0.0286400563883851	7
"2-h glucose"	"AGRP_CVDI"	"All - Inverse variance weighted"	-0.136448890302269	0.0752262785725297	0.0697014263678852	7
"2-h glucose"	"CA-125_CVDI"	"rs1019503"	-0.221398222222222	0.295868533333333	0.454279634755323	7
"2-h glucose"	"CA-125_CVDI"	"rs11672660"	-0.36772232	0.188087853333333	0.05057643965219	7
"2-h glucose"	"CA-125_CVDI"	"rs11717195"	-0.370540115555556	0.257828293333333	0.150672970467006	7
"2-h glucose"	"CA-125_CVDI"	"rs11782386"	-0.470059531313131	0.295868533333333	0.112118067840442	7
"2-h glucose"	"CA-125_CVDI"	"rs12255372"	-0.0537525130434783	0.228792747826087	0.814255489838803	7
"2-h glucose"	"CA-125_CVDI"	"rs6547829"	-0.493370385454545	0.293947309090909	0.0932629173767831	7
"2-h glucose"	"CA-125_CVDI"	"rs6975024"	0.292909848	0.257405624	0.255149281100581	7
"2-h glucose"	"CA-125_CVDI"	"All - Inverse variance weighted"	-0.233933733696733	0.102195638823664	0.0220748519870679	7
"2-h glucose"	"CASP-8_CVDI"	"rs1019503"	-0.285804977777778	0.245550755555556	0.244450586869445	7
"2-h glucose"	"CASP-8_CVDI"	"rs11672660"	-0.0739671333333333	0.162727693333333	0.649436283726755	7
"2-h glucose"	"CASP-8_CVDI"	"rs11717195"	0.211334666666667	0.209925768888889	0.314073477684262	7
"2-h glucose"	"CASP-8_CVDI"	"rs11782386"	0.0666024404040404	0.248478335353535	0.788667577080722	7
"2-h glucose"	"CASP-8_CVDI"	"rs12255372"	-0.024808852173913	0.192957739130435	0.897696775323655	7
"2-h glucose"	"CASP-8_CVDI"	"rs6547829"	-0.379249665454545	0.257059803636364	0.14012214564135	7
"2-h glucose"	"CASP-8_CVDI"	"rs6975024"	0	0.206685304	1	7
"2-h glucose"	"CASP-8_CVDI"	"All - Inverse variance weighted"	-0.050837186254379	0.0793956972516043	0.521976587655465	7
"2-h glucose"	"CCL20_CVDI"	"rs1019503"	0	0.219385511111111	1	7
"2-h glucose"	"CCL20_CVDI"	"rs11672660"	-0.15533098	0.144764246666667	0.283274391145723	7
"2-h glucose"	"CCL20_CVDI"	"rs11717195"	-0.0915783555555555	0.188792302222222	0.627623409779307	7
"2-h glucose"	"CCL20_CVDI"	"rs11782386"	0.113992638383838	0.221581195959596	0.606936803307297	7
"2-h glucose"	"CCL20_CVDI"	"rs12255372"	-0.232927556521739	0.170905426086957	0.172913011947113	7
