"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"rs11042731"	-0.103896103896104	0.149350649350649	0.486646683566024	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"rs12465701"	0.15343306482547	0.352896049098581	0.663720229645602	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"rs2048"	-0.0354808590102708	0.186741363211951	0.849309130530409	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"rs9264664"	-0.228310502283105	0.334855403348554	0.495353925990435	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0716305355908648	0.105143239580439	0.495703064455697	4	"pan"
"AGRP_CVDI"	"AGRP"	"Insulin secretion"	"rs4894192"	-0.21021021021021	0.315315315315315	0.504985075093846	1	"pan"
"AGRP_CVDI"	"AGRP"	"Insulin secretion"	"All - Wald ratio"	-0.21021021021021	0.315315315315315	0.504985075093846	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Insulin secretion"	"rs1045485"	-0.00295336787564767	0.16580310880829	0.98578843278456	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Insulin secretion"	"All - Wald ratio"	-0.00295336787564767	0.16580310880829	0.98578843278456	1	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"rs2268189"	-0.56617126680821	0.254777070063694	0.0262682913820422	2	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"rs4973334"	-0.114810562571757	0.26406429391504	0.663720229645602	2	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"All - Inverse variance weighted"	-0.348567651640541	0.225535779095997	0.122223113042438	2	"pan"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"rs1634517"	-0.0244206329429355	0.0598056316969848	0.683028970338516	3	"pan"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"rs3184504"	-0.0333333333333333	0.304347826086957	0.912787038093182	3	"pan"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"rs4543123"	0.230352303523035	0.35230352303523	0.513210927875975	3	"pan"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0178650227021849	0.0578858181378181	0.757606642625909	3	"pan"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"rs5743604"	0.169902912621359	0.303398058252427	0.575479437698054	2	"pan"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"rs8064426"	-0.054707089126966	0.0729427855026214	0.453254704753736	2	"pan"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0424337140260589	0.070921882561282	0.549628943268555	2	"pan"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"rs4801216"	0.0657015590200445	0.233853006681514	0.778746923762281	2	"pan"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"rs4810485"	-0.0119641076769691	0.0438683948155533	0.785062868547559	2	"pan"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"All - Inverse variance weighted"	-0.00932396963409979	0.0431163251399292	0.828791718289325	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"rs1260326"	0.0353606789250354	0.297029702970297	0.905237629455841	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"rs339969"	0.36	0.293333333333333	0.219720102570242	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"rs7541061"	0.038541357841684	0.0355766380077083	0.278660494899244	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"All - Inverse variance weighted"	0.0430920972035275	0.0350707817277514	0.219177593313734	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Insulin secretion"	"rs11579145"	-0.0048460661345496	0.119726339794755	0.967713488729813	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Insulin secretion"	"All - Wald ratio"	-0.0048460661345496	0.119726339794755	0.967713488729813	1	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"rs10401969"	0.284403669724771	0.403669724770642	0.481093153359666	4	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"rs10860794"	-0.164556962025316	0.139240506329114	0.237277851868278	4	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"rs1260326"	0.0395569620253165	0.332278481012658	0.905237629455841	4	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"rs838133"	0.158730158730159	0.380952380952381	0.676922239021379	4	"pan"
"CTSD_CVDI"	"CTSD"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0718163445346425	0.116513046693876	0.537643564301108	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs10812614"	0.104463437796771	0.218423551756885	0.632464543594736	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs1133330"	-0.335365853658537	0.365853658536585	0.359317338329571	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs17685390"	0.114568599717115	0.311173974540311	0.712737666594528	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs2241090"	0.0120772946859903	0.144927536231884	0.933586496294755	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs2274611"	0.322307039864292	0.169635284139101	0.0574331196320036	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs6575449"	0.205680705190989	0.132223310479922	0.119813814205544	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs9271366"	-0.132325141776938	0.274102079395085	0.629267134854082	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs987037"	0.363108206245461	0.312273057371097	0.244914432269935	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"All - Inverse variance weighted"	0.130618823449031	0.0703800906281624	0.0634669759146588	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Insulin secretion"	"rs1511801"	0.0524193548387097	0.268817204301075	0.84539294762131	2	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Insulin secretion"	"rs3732378"	0.468409586056645	0.326797385620915	0.151762600344516	2	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Insulin secretion"	"All - Inverse variance weighted"	0.22029997414016	0.207604751346535	0.288621317262248	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"rs3117604"	0.130557515878617	0.0952717007762879	0.170571316384161	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"rs7896518"	-0.675057208237986	0.22883295194508	0.00317773929472974	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"All - Inverse variance weighted"	0.0115442362341578	0.285857813808286	0.967786555715731	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs10510747"	0.44044044044044	0.26026026026026	0.0905873219215137	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs1250559"	0.402219140083218	0.360610263522885	0.264685639371351	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs1794529"	-0.437898089171975	0.314490445859873	0.163799772081997	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs2009581"	0.170940170940171	0.186480186480186	0.359317338329571	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs3184504"	0.0310391363022942	0.283400809716599	0.912787038093182	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"rs6103572"	0.139771283354511	0.292249047013977	0.632464543594736	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Insulin secretion"	"All - Inverse variance weighted"	0.141630176115551	0.112540410599084	0.208217187481988	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs11594179"	0.218978102189781	0.394160583941606	0.578514721507944	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs2343592"	-0.10806916426513	0.172910662824208	0.531971058097401	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs7896518"	-0.479285134037368	0.16246953696182	0.00317773929472974	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs7898709"	-0.215763980625275	0.145310435931308	0.137583964946946	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs8045833"	-0.325520833333333	0.3515625	0.354484476873312	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"All - Inverse variance weighted"	-0.249325296341146	0.0885960836726479	0.00489018900003918	5	"pan"
"EGF_CVDI"	"EGF"	"Insulin secretion"	"rs10029654"	-0.137404580152672	0.16030534351145	0.391365938307552	1	"pan"
"EGF_CVDI"	"EGF"	"Insulin secretion"	"All - Wald ratio"	-0.137404580152672	0.16030534351145	0.391365938307552	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Insulin secretion"	"rs1560832"	-0.0856954515491101	0.14502307185234	0.554581334468169	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Insulin secretion"	"All - Wald ratio"	-0.0856954515491101	0.14502307185234	0.554581334468169	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Insulin secretion"	"rs4451015"	-0.090702947845805	0.18140589569161	0.617075077451974	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Insulin secretion"	"All - Wald ratio"	-0.090702947845805	0.18140589569161	0.617075077451974	1	"pan"
"FABP4_CVDI"	"FABP4"	"Insulin secretion"	"rs13064760"	-0.0903225806451613	0.258064516129032	0.726338697648762	1	"pan"
"FABP4_CVDI"	"FABP4"	"Insulin secretion"	"All - Wald ratio"	-0.0903225806451613	0.258064516129032	0.726338697648762	1	"pan"
"FAS_CVDI"	"FAS"	"Insulin secretion"	"rs982764"	0.00897226753670473	0.0856443719412724	0.916564739252532	1	"pan"
"FAS_CVDI"	"FAS"	"Insulin secretion"	"All - Wald ratio"	0.00897226753670473	0.0856443719412724	0.916564739252532	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs1370593"	0.343601895734597	0.23696682464455	0.147058519219297	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs209956"	-0.201912858660999	0.24442082890542	0.408754766219334	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs4074995"	-0.102777777777778	0.305555555555556	0.73659666753243	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs4744712"	-0.520134228187919	0.352348993288591	0.139892765510505	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs6489536"	0.0797720797720798	0.313390313390313	0.799074192526507	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs6561643"	0.261136712749616	0.414746543778802	0.52893693322248	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs687289"	-0.489690721649485	0.270618556701031	0.0703696646097912	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0832595837467778	0.128642743167426	0.517492448807576	7	"pan"
"FS_CVDI"	"FS"	"Insulin secretion"	"rs1260326"	0.018896447467876	0.158730158730159	0.905237629455841	3	"pan"
"FS_CVDI"	"FS"	"Insulin secretion"	"rs31226"	0.124127230411171	0.155159038013964	0.423710797166793	3	"pan"
"FS_CVDI"	"FS"	"Insulin secretion"	"rs7964492"	0.280146163215591	0.292326431181486	0.33789470042481	3	"pan"
"FS_CVDI"	"FS"	"Insulin secretion"	"All - Inverse variance weighted"	0.098830153757773	0.103734146427041	0.340729232102327	3	"pan"
"GAL_CVDI"	"GAL"	"Insulin secretion"	"rs10174860"	-0.0430701270016565	0.110436223081171	0.696536546928035	3	"pan"
"GAL_CVDI"	"GAL"	"Insulin secretion"	"rs308966"	-0.203045685279188	0.194585448392555	0.296726844041481	3	"pan"
"GAL_CVDI"	"GAL"	"Insulin secretion"	"rs4959146"	0.148331273176761	0.228677379480841	0.516565503095008	3	"pan"
"GAL_CVDI"	"GAL"	"Insulin secretion"	"All - Inverse variance weighted"	-0.0474998852371784	0.0885522590253491	0.591678592784806	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Insulin secretion"	"rs1054564"	0.0872885979268958	0.0927441352973268	0.346614432503051	1	"pan"
"GDF-15_CVDI"	"GDF-15"	"Insulin secretion"	"All - Wald ratio"	0.0872885979268958	0.0927441352973268	0.346614432503051	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs17741681"	0.05005005005005	0.0583917250583917	0.391365938307552	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs2287921"	0.238095238095238	0.261904761904762	0.363302140886898	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs3735080"	-0.222693531283139	0.24390243902439	0.361219675214084	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs4937122"	0.465686274509804	0.343137254901961	0.174735823215247	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs7979473"	-0.726895119418484	0.259605399792316	0.00511026066085587	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs812936"	0.494845360824742	0.360824742268041	0.170241395909614	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"All - Inverse variance weighted"	0.0319859593626579	0.0874269098198776	0.71446997105445	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Insulin secretion"	"rs10761741"	-0.435097897026831	0.145032632342277	0.00269979606326019	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Insulin secretion"	"rs1354034"	-0.21656050955414	0.305732484076433	0.4787382817329	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Insulin secretion"	"rs2517622"	-0.100704934541793	0.352467270896274	0.775096962195985	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Insulin secretion"	"All - Inverse variance weighted"	-0.359223105334184	0.122823103754622	0.00344767028786175	3	"pan"
"HGF_CVDI"	"HGF"	"Insulin secretion"	"rs5745687"	0.026973026973027	0.224775224775225	0.904483147958832	1	"pan"
"HGF_CVDI"	"HGF"	"Insulin secretion"	"All - Wald ratio"	0.026973026973027	0.224775224775225	0.904483147958832	1	"pan"
