"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Triglycerides"	"ADM_CVDI"	"rs10401969"	0.251239669421488	0.156198347107438	0.107733242555753	47
"Triglycerides"	"ADM_CVDI"	"rs10440120"	-0.0522875816993464	0.444444444444444	0.906347316282193	47
"Triglycerides"	"ADM_CVDI"	"rs10501321"	0.532407407407407	0.49537037037037	0.282479347206273	47
"Triglycerides"	"ADM_CVDI"	"rs10761762"	-0.177777777777778	0.374074074074074	0.634610556736476	47
"Triglycerides"	"ADM_CVDI"	"rs10790162"	-0.0425162689804772	0.0785249457700651	0.588206779534402	47
"Triglycerides"	"ADM_CVDI"	"rs11057408"	-0.689922480620155	0.410852713178295	0.0931042500058538	47
"Triglycerides"	"ADM_CVDI"	"rs11613352"	-0.335714285714286	0.425	0.429576846221722	47
"Triglycerides"	"ADM_CVDI"	"rs11974409"	-0.0622914349276974	0.145717463848721	0.66902908227071	47
"Triglycerides"	"ADM_CVDI"	"rs1260326"	-0.0156794425087108	0.0897212543554007	0.861270356084478	47
"Triglycerides"	"ADM_CVDI"	"rs12678919"	-0.0170387779083431	0.103995299647474	0.869855678421281	47
"Triglycerides"	"ADM_CVDI"	"rs12748152"	0.354838709677419	0.491935483870968	0.47071789818971	47
"Triglycerides"	"ADM_CVDI"	"rs1321257"	-0.109452736318408	0.253731343283582	0.666197506589673	47
"Triglycerides"	"ADM_CVDI"	"rs13389219"	-0.616236162361624	0.383763837638376	0.108324623558236	47
"Triglycerides"	"ADM_CVDI"	"rs16948098"	0.1775	0.305	0.560588765569158	47
"Triglycerides"	"ADM_CVDI"	"rs174535"	-0.51063829787234	0.227659574468085	0.0248974171782245	47
"Triglycerides"	"ADM_CVDI"	"rs17513135"	0.659090909090909	0.554545454545455	0.234626797760756	47
"Triglycerides"	"ADM_CVDI"	"rs1800775"	-0.371212121212121	0.255050505050505	0.14554595547627	47
"Triglycerides"	"ADM_CVDI"	"rs1832007"	-0.256880733944954	0.431192660550459	0.551345804442167	47
"Triglycerides"	"ADM_CVDI"	"rs2068888"	-0.734439834024896	0.4149377593361	0.0767271407257425	47
"Triglycerides"	"ADM_CVDI"	"rs2247056"	-1.42328042328042	0.30952380952381	4.2597156334591e-06	47
"Triglycerides"	"ADM_CVDI"	"rs2250802"	-0.0391304347826087	0.48695652173913	0.935953211674779	47
"Triglycerides"	"ADM_CVDI"	"rs2665357"	-0.358490566037736	0.481132075471698	0.456212454393706	47
"Triglycerides"	"ADM_CVDI"	"rs287621"	0.0855855855855856	0.504504504504504	0.865291015895293	47
"Triglycerides"	"ADM_CVDI"	"rs2954022"	-0.194871794871795	0.134615384615385	0.147723621101674	47
"Triglycerides"	"ADM_CVDI"	"rs2972146"	0.0854092526690391	0.373665480427046	0.819202033401184	47
"Triglycerides"	"ADM_CVDI"	"rs2976940"	0.64390243902439	0.497560975609756	0.195624786869267	47
"Triglycerides"	"ADM_CVDI"	"rs3198697"	-0.0202020202020202	0.525252525252525	0.969319696640591	47
"Triglycerides"	"ADM_CVDI"	"rs3761445"	-0.323275862068966	0.448275862068966	0.470814864748665	47
"Triglycerides"	"ADM_CVDI"	"rs38855"	1.05882352941176	0.53475935828877	0.047703528683017	47
"Triglycerides"	"ADM_CVDI"	"rs439401"	-0.150227617602428	0.159332321699545	0.345753978677278	47
"Triglycerides"	"ADM_CVDI"	"rs442177"	0.252427184466019	0.330097087378641	0.444446702634924	47
"Triglycerides"	"ADM_CVDI"	"rs4587594"	0.069164265129683	0.157060518731988	0.659671341714375	47
"Triglycerides"	"ADM_CVDI"	"rs4719841"	0.629310344827586	0.443965517241379	0.156343885804245	47
"Triglycerides"	"ADM_CVDI"	"rs4738684"	-1.02439024390244	0.517073170731707	0.0475764640579081	47
"Triglycerides"	"ADM_CVDI"	"rs4810479"	0.175105485232068	0.240506329113924	0.466570629728125	47
"Triglycerides"	"ADM_CVDI"	"rs588136"	0.105050505050505	0.254545454545455	0.679827587935345	47
"Triglycerides"	"ADM_CVDI"	"rs634869"	-0.0992647058823529	0.375	0.791236045636806	47
"Triglycerides"	"ADM_CVDI"	"rs645040"	0.532423208191126	0.42320819112628	0.208368424819709	47
"Triglycerides"	"ADM_CVDI"	"rs6831256"	-0.13953488372093	0.430232558139535	0.745692505957826	47
"Triglycerides"	"ADM_CVDI"	"rs6882076"	-0.548951048951049	0.367132867132867	0.134852314630141	47
"Triglycerides"	"ADM_CVDI"	"rs719726"	-0.391959798994975	0.512562814070352	0.444446702634924	47
"Triglycerides"	"ADM_CVDI"	"rs7248104"	-0.0540540540540541	0.459459459459459	0.906347316282193	47
"Triglycerides"	"ADM_CVDI"	"rs731839"	-0.821428571428571	0.46875	0.079708324477467	47
"Triglycerides"	"ADM_CVDI"	"rs749671"	0.312796208530806	0.492890995260663	0.525679291821419	47
"Triglycerides"	"ADM_CVDI"	"rs8077889"	0.186507936507937	0.488095238095238	0.702376940513078	47
"Triglycerides"	"ADM_CVDI"	"rs9686661"	0.282321899736148	0.348284960422164	0.417591935312964	47
"Triglycerides"	"ADM_CVDI"	"rs998584"	-0.399317406143345	0.348122866894198	0.251357310325029	47
"Triglycerides"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0632361037554211	0.04125374932373	0.125311060844732	47
"Triglycerides"	"AGRP_CVDI"	"rs10401969"	0.302479338842975	0.158677685950413	0.0566177779438487	47
"Triglycerides"	"AGRP_CVDI"	"rs10440120"	-0.34640522875817	0.450980392156863	0.442418306507578	47
"Triglycerides"	"AGRP_CVDI"	"rs10501321"	0.875	0.5	0.0801183137276342	47
"Triglycerides"	"AGRP_CVDI"	"rs10761762"	-0.218518518518519	0.381481481481481	0.566769600078964	47
"Triglycerides"	"AGRP_CVDI"	"rs10790162"	0.168329718004338	0.0802603036876356	0.0359672659742604	47
"Triglycerides"	"AGRP_CVDI"	"rs11057408"	-0.267441860465116	0.418604651162791	0.522895216724075	47
"Triglycerides"	"AGRP_CVDI"	"rs11613352"	1.50357142857143	0.428571428571429	0.000450923674329471	47
"Triglycerides"	"AGRP_CVDI"	"rs11974409"	0.162402669632925	0.147942157953281	0.272316133095894	47
"Triglycerides"	"AGRP_CVDI"	"rs1260326"	0.181184668989547	0.0914634146341464	0.0475966140277269	47
"Triglycerides"	"AGRP_CVDI"	"rs12678919"	0.128672150411281	0.105757931844888	0.223731066451697	47
"Triglycerides"	"AGRP_CVDI"	"rs12748152"	0.763440860215054	0.5	0.126790425805587	47
"Triglycerides"	"AGRP_CVDI"	"rs1321257"	0.0199004975124378	0.258706467661692	0.938684739206775	47
"Triglycerides"	"AGRP_CVDI"	"rs13389219"	0.597785977859779	0.391143911439114	0.126437601681579	47
"Triglycerides"	"AGRP_CVDI"	"rs16948098"	0.29625	0.31125	0.341194755206439	47
"Triglycerides"	"AGRP_CVDI"	"rs174535"	-0.0340425531914894	0.231914893617021	0.883298574600365	47
"Triglycerides"	"AGRP_CVDI"	"rs17513135"	0.0227272727272727	0.563636363636364	0.967835951664958	47
"Triglycerides"	"AGRP_CVDI"	"rs1800775"	0.0151515151515151	0.257575757575758	0.95309266714744	47
"Triglycerides"	"AGRP_CVDI"	"rs1832007"	0.180428134556575	0.437308868501529	0.679908925077196	47
"Triglycerides"	"AGRP_CVDI"	"rs2068888"	-0.161825726141079	0.423236514522822	0.702199590874297	47
"Triglycerides"	"AGRP_CVDI"	"rs2247056"	-0.489417989417989	0.314814814814815	0.120036157097942	47
"Triglycerides"	"AGRP_CVDI"	"rs2250802"	0.334782608695652	0.495652173913044	0.499397150771563	47
"Triglycerides"	"AGRP_CVDI"	"rs2665357"	1.51415094339623	0.490566037735849	0.00202501747201706	47
"Triglycerides"	"AGRP_CVDI"	"rs287621"	0.211711711711712	0.513513513513513	0.680133691807476	47
"Triglycerides"	"AGRP_CVDI"	"rs2954022"	0.162820512820513	0.135897435897436	0.230872947759818	47
"Triglycerides"	"AGRP_CVDI"	"rs2972146"	0.128113879003559	0.380782918149466	0.736532607191453	47
"Triglycerides"	"AGRP_CVDI"	"rs2976940"	0.565853658536585	0.507317073170732	0.264685639371351	47
"Triglycerides"	"AGRP_CVDI"	"rs3198697"	1.78787878787879	0.535353535353535	0.000838922994390532	47
"Triglycerides"	"AGRP_CVDI"	"rs3761445"	-0.405172413793103	0.456896551724138	0.375190651667034	47
"Triglycerides"	"AGRP_CVDI"	"rs38855"	0.101604278074866	0.545454545454545	0.852229495843322	47
"Triglycerides"	"AGRP_CVDI"	"rs439401"	0.342943854324734	0.16236722306525	0.0346736256107565	47
"Triglycerides"	"AGRP_CVDI"	"rs442177"	0.029126213592233	0.336569579288026	0.931038382848813	47
"Triglycerides"	"AGRP_CVDI"	"rs4587594"	0.325648414985591	0.159942363112392	0.0417467368288123	47
"Triglycerides"	"AGRP_CVDI"	"rs4719841"	-0.607758620689655	0.448275862068966	0.175172604127127	47
"Triglycerides"	"AGRP_CVDI"	"rs4738684"	1.12682926829268	0.526829268292683	0.0324446681305199	47
"Triglycerides"	"AGRP_CVDI"	"rs4810479"	-0.0843881856540084	0.244725738396624	0.730223992825289	47
"Triglycerides"	"AGRP_CVDI"	"rs588136"	0.745454545454545	0.258585858585859	0.00394141970826782	47
"Triglycerides"	"AGRP_CVDI"	"rs634869"	0.136029411764706	0.382352941176471	0.722013393707254	47
"Triglycerides"	"AGRP_CVDI"	"rs645040"	0.00341296928327645	0.430034129692833	0.993667649328025	47
"Triglycerides"	"AGRP_CVDI"	"rs6831256"	0.310077519379845	0.441860465116279	0.48283234964991	47
"Triglycerides"	"AGRP_CVDI"	"rs6882076"	0.545454545454545	0.374125874125874	0.144855999884004	47
"Triglycerides"	"AGRP_CVDI"	"rs719726"	-0.0552763819095477	0.522613065326633	0.915765450104955	47
"Triglycerides"	"AGRP_CVDI"	"rs7248104"	0.603603603603604	0.468468468468468	0.197585349051169	47
"Triglycerides"	"AGRP_CVDI"	"rs731839"	-0.392857142857143	0.477678571428571	0.410832264237204	47
"Triglycerides"	"AGRP_CVDI"	"rs749671"	-0.194312796208531	0.502369668246445	0.698909864967033	47
"Triglycerides"	"AGRP_CVDI"	"rs8077889"	0.408730158730159	0.496031746031746	0.409939557961196	47
"Triglycerides"	"AGRP_CVDI"	"rs9686661"	0.699208443271768	0.356200527704485	0.0496504777510878	47
"Triglycerides"	"AGRP_CVDI"	"rs998584"	0.539249146757679	0.354948805460751	0.128704418897112	47
"Triglycerides"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.201585015836357	0.0411186252310199	9.46134169997147e-07	47
"Triglycerides"	"CA-125_CVDI"	"rs10401969"	-0.0140495867768595	0.228925619834711	0.951063077577347	47
"Triglycerides"	"CA-125_CVDI"	"rs10440120"	0.0130718954248366	0.647058823529412	0.983882216327235	47
"Triglycerides"	"CA-125_CVDI"	"rs10501321"	-0.972222222222222	0.712962962962963	0.172682041418748	47
"Triglycerides"	"CA-125_CVDI"	"rs10761762"	-0.285185185185185	0.548148148148148	0.602875214001499	47
"Triglycerides"	"CA-125_CVDI"	"rs10790162"	0.0885032537960954	0.111930585683297	0.429120433490312	47
"Triglycerides"	"CA-125_CVDI"	"rs11057408"	0.686046511627907	0.604651162790698	0.256536504257498	47
"Triglycerides"	"CA-125_CVDI"	"rs11613352"	-0.582142857142857	0.621428571428571	0.348870907199578	47
"Triglycerides"	"CA-125_CVDI"	"rs11974409"	0.395995550611791	0.21579532814238	0.0664980522566784	47
"Triglycerides"	"CA-125_CVDI"	"rs1260326"	0.054006968641115	0.128919860627178	0.675275389995957	47
"Triglycerides"	"CA-125_CVDI"	"rs12678919"	0.0616921269095182	0.153349001175088	0.687464100464675	47
"Triglycerides"	"CA-125_CVDI"	"rs12748152"	0.473118279569893	0.731182795698925	0.517593873457392	47
"Triglycerides"	"CA-125_CVDI"	"rs1321257"	0.201492537313433	0.3681592039801	0.584174500355557	47
"Triglycerides"	"CA-125_CVDI"	"rs13389219"	0.966789667896679	0.55719557195572	0.0827232116029878	47
"Triglycerides"	"CA-125_CVDI"	"rs16948098"	0.235	0.43625	0.590106331546034	47
"Triglycerides"	"CA-125_CVDI"	"rs174535"	1.04893617021277	0.323404255319149	0.00118103535771754	47
"Triglycerides"	"CA-125_CVDI"	"rs17513135"	-0.590909090909091	0.790909090909091	0.454987243557409	47
"Triglycerides"	"CA-125_CVDI"	"rs1800775"	-0.111111111111111	0.368686868686869	0.763132472499926	47
"Triglycerides"	"CA-125_CVDI"	"rs1832007"	0.0825688073394495	0.636085626911315	0.896718576830592	47
"Triglycerides"	"CA-125_CVDI"	"rs2068888"	0.896265560165975	0.601659751037344	0.13631492711058	47
"Triglycerides"	"CA-125_CVDI"	"rs2247056"	0.322751322751323	0.462962962962963	0.485713395703866	47
"Triglycerides"	"CA-125_CVDI"	"rs2250802"	0.682608695652174	0.704347826086956	0.332477436516215	47
"Triglycerides"	"CA-125_CVDI"	"rs2665357"	1.62264150943396	0.688679245283019	0.0184647445867234	47
"Triglycerides"	"CA-125_CVDI"	"rs287621"	-0.153153153153153	0.725225225225225	0.832746719586185	47
"Triglycerides"	"CA-125_CVDI"	"rs2954022"	-0.258974358974359	0.185897435897436	0.163588510527052	47
"Triglycerides"	"CA-125_CVDI"	"rs2972146"	-0.341637010676157	0.548042704626335	0.533037056014238	47
"Triglycerides"	"CA-125_CVDI"	"rs2976940"	-1.42926829268293	0.731707317073171	0.0507801101605083	47
"Triglycerides"	"CA-125_CVDI"	"rs3198697"	0.0303030303030303	0.752525252525252	0.96787910153774	47
"Triglycerides"	"CA-125_CVDI"	"rs3761445"	1.27586206896552	0.637931034482759	0.0455002638963584	47
"Triglycerides"	"CA-125_CVDI"	"rs38855"	0.79144385026738	0.780748663101604	0.310726577931945	47
"Triglycerides"	"CA-125_CVDI"	"rs439401"	0.379362670713202	0.230652503793627	0.100024091673604	47
"Triglycerides"	"CA-125_CVDI"	"rs442177"	0.00647249190938511	0.478964401294498	0.989218104362429	47
"Triglycerides"	"CA-125_CVDI"	"rs4587594"	-0.146974063400576	0.23342939481268	0.52893693322248	47
