"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Depressive symptoms"	"ADM_CVDI"	"rs17488531"	0.777777777777778	0.561111111111111	0.165704581505649	2
"Depressive symptoms"	"ADM_CVDI"	"rs7973260"	-0.361290322580645	0.467741935483871	0.439869387122236	2
"Depressive symptoms"	"ADM_CVDI"	"All - Inverse variance weighted"	0.105716834661821	0.560229658745656	0.850325855690727	2
"Depressive symptoms"	"AGRP_CVDI"	"rs17488531"	0.0611111111111111	0.566666666666667	0.914120123827297	2
"Depressive symptoms"	"AGRP_CVDI"	"rs7973260"	-0.725806451612903	0.47741935483871	0.128443062758629	2
"Depressive symptoms"	"AGRP_CVDI"	"All - Inverse variance weighted"	-0.399124593305466	0.387750764252296	0.303323298966591	2
"Depressive symptoms"	"CA-125_CVDI"	"rs17488531"	0.183333333333333	0.816666666666667	0.82237620599534	2
"Depressive symptoms"	"CA-125_CVDI"	"rs7973260"	0.47741935483871	0.761290322580645	0.530581466777187	2
"Depressive symptoms"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.340684214907788	0.556862160848809	0.540674908288504	2
"Depressive symptoms"	"CASP-8_CVDI"	"rs17488531"	0.266666666666667	0.677777777777778	0.693992594099858	2
"Depressive symptoms"	"CASP-8_CVDI"	"rs7973260"	-0.0903225806451613	0.506451612903226	0.858452865671871	2
"Depressive symptoms"	"CASP-8_CVDI"	"All - Inverse variance weighted"	0.0375841147071755	0.405701298044537	0.926189669818728	2
"Depressive symptoms"	"CCL20_CVDI"	"rs17488531"	1.05555555555556	0.605555555555556	0.0813127839287362	2
"Depressive symptoms"	"CCL20_CVDI"	"rs7973260"	-0.706451612903226	0.503225806451613	0.160364666866555	2
"Depressive symptoms"	"CCL20_CVDI"	"All - Inverse variance weighted"	0.0133092103848697	0.866122443693189	0.987739844798482	2
"Depressive symptoms"	"CCL3_CVDI"	"rs17488531"	0.794444444444445	0.566666666666667	0.160926957489022	2
"Depressive symptoms"	"CCL3_CVDI"	"rs7973260"	-0.103225806451613	0.474193548387097	0.827672934980801	2
"Depressive symptoms"	"CCL3_CVDI"	"All - Inverse variance weighted"	0.266482179538765	0.441805234959023	0.546397837254017	2
"Depressive symptoms"	"CCL4_CVDI"	"rs17488531"	-0.3	0.605555555555556	0.620308730144087	2
"Depressive symptoms"	"CCL4_CVDI"	"rs7973260"	0.0903225806451613	0.506451612903226	0.858452865671871	2
"Depressive symptoms"	"CCL4_CVDI"	"All - Inverse variance weighted"	-0.0703266252891105	0.388491433017973	0.856348026515579	2
"Depressive symptoms"	"CD40_CVDI"	"rs17488531"	0.211111111111111	0.605555555555556	0.727371717677557	2
"Depressive symptoms"	"CD40_CVDI"	"rs7973260"	-0.125806451612903	0.5	0.801340284110285	2
"Depressive symptoms"	"CD40_CVDI"	"All - Inverse variance weighted"	0.0107749135872628	0.385556378542728	0.977704899355694	2
"Depressive symptoms"	"CD40-L_CVDI"	"rs17488531"	-0.388888888888889	0.572222222222222	0.496750390775871	2
"Depressive symptoms"	"CD40-L_CVDI"	"rs7973260"	-0.558064516129032	0.47741935483871	0.242436300325591	2
"Depressive symptoms"	"CD40-L_CVDI"	"All - Inverse variance weighted"	-0.488632885046939	0.366584844159657	0.182553927118223	2
"Depressive symptoms"	"CHI3L1_CVDI"	"rs17488531"	-0.161111111111111	0.522222222222222	0.757693806578563	2
"Depressive symptoms"	"CHI3L1_CVDI"	"rs7973260"	-0.683870967741935	0.409677419354839	0.0950596559218765	2
"Depressive symptoms"	"CHI3L1_CVDI"	"All - Inverse variance weighted"	-0.484716770021153	0.322328691971545	0.13263376372665	2
"Depressive symptoms"	"CSF-1_CVDI"	"rs17488531"	-0.0166666666666667	0.605555555555556	0.978042646668058	2
"Depressive symptoms"	"CSF-1_CVDI"	"rs7973260"	-0.506451612903226	0.5	0.311106387442864	2
"Depressive symptoms"	"CSF-1_CVDI"	"All - Inverse variance weighted"	-0.307900085726602	0.385556378542728	0.424530268023263	2
"Depressive symptoms"	"CSTB_CVDI"	"rs17488531"	0.311111111111111	0.527777777777778	0.555543560281303	2
"Depressive symptoms"	"CSTB_CVDI"	"rs7973260"	-0.248387096774194	0.419354838709677	0.553644565800932	2
"Depressive symptoms"	"CSTB_CVDI"	"All - Inverse variance weighted"	-0.0318580427426693	0.328329450304635	0.922701999040642	2
"Depressive symptoms"	"CTSD_CVDI"	"rs17488531"	0.338888888888889	0.527777777777778	0.52080483882483	2
"Depressive symptoms"	"CTSD_CVDI"	"rs7973260"	-0.683870967741935	0.416129032258065	0.100297956194556	2
"Depressive symptoms"	"CTSD_CVDI"	"All - Inverse variance weighted"	-0.291797590693131	0.497267913612717	0.55733698459421	2
"Depressive symptoms"	"CTSL1_CVDI"	"rs17488531"	-0.483333333333333	0.566666666666667	0.393691925690234	2
"Depressive symptoms"	"CTSL1_CVDI"	"rs7973260"	-0.870967741935484	0.47741935483871	0.0681030551557019	2
"Depressive symptoms"	"CTSL1_CVDI"	"All - Inverse variance weighted"	-0.710044749560401	0.365111537013445	0.0518070243786289	2
"Depressive symptoms"	"CX3CL1_CVDI"	"rs17488531"	-0.461111111111111	0.605555555555556	0.446377650856754	2
"Depressive symptoms"	"CX3CL1_CVDI"	"rs7973260"	-0.303225806451613	0.5	0.544214904164652	2
"Depressive symptoms"	"CX3CL1_CVDI"	"All - Inverse variance weighted"	-0.367230158973606	0.385556378542728	0.340859626578466	2
"Depressive symptoms"	"CXCL1_CVDI"	"rs17488531"	0.1	0.583333333333333	0.863886790544927	2
"Depressive symptoms"	"CXCL1_CVDI"	"rs7973260"	0.232258064516129	0.490322580645161	0.635725114509718	2
"Depressive symptoms"	"CXCL1_CVDI"	"All - Inverse variance weighted"	0.177501195887045	0.375340142592774	0.636279121802705	2
"Depressive symptoms"	"CXCL16_CVDI"	"rs17488531"	-0.433333333333333	0.522222222222222	0.406659089801972	2
"Depressive symptoms"	"CXCL16_CVDI"	"rs7973260"	-0.929032258064516	0.416129032258065	0.0255780971890666	2
"Depressive symptoms"	"CXCL16_CVDI"	"All - Inverse variance weighted"	-0.736520800859751	0.325442787255106	0.0236273991655282	2
"Depressive symptoms"	"CXCL6_CVDI"	"rs17488531"	0.522222222222222	0.605555555555556	0.388475515438069	2
"Depressive symptoms"	"CXCL6_CVDI"	"rs7973260"	0.37741935483871	0.506451612903226	0.45613696322391	2
"Depressive symptoms"	"CXCL6_CVDI"	"All - Inverse variance weighted"	0.437017407361617	0.388491433017973	0.260627709135524	2
"Depressive symptoms"	"Dkk-1_CVDI"	"rs17488531"	0.183333333333333	0.572222222222222	0.748673956210688	2
"Depressive symptoms"	"Dkk-1_CVDI"	"rs7973260"	-0.354838709677419	0.47741935483871	0.457334426912636	2
"Depressive symptoms"	"Dkk-1_CVDI"	"All - Inverse variance weighted"	-0.133966688343175	0.366584844159657	0.714779072239806	2
"Depressive symptoms"	"ECP_CVDI"	"rs17488531"	0.911111111111111	0.805555555555556	0.258040578093647	2
"Depressive symptoms"	"ECP_CVDI"	"rs7973260"	-0.412903225806452	0.738709677419355	0.576194503183953	2
"Depressive symptoms"	"ECP_CVDI"	"All - Inverse variance weighted"	0.191899146758317	0.659530971537757	0.771079574972475	2
"Depressive symptoms"	"EGF_CVDI"	"rs17488531"	0.2	0.783333333333333	0.798476611229563	2
"Depressive symptoms"	"EGF_CVDI"	"rs7973260"	-0.274193548387097	0.712903225806452	0.700522394103849	2
"Depressive symptoms"	"EGF_CVDI"	"All - Inverse variance weighted"	-0.0593684305452672	0.527243599668821	0.910346480212465	2
"Depressive symptoms"	"EN-RAGE_CVDI"	"rs17488531"	-0.405555555555556	0.672222222222222	0.546305285122798	2
"Depressive symptoms"	"EN-RAGE_CVDI"	"rs7973260"	-0.261290322580645	0.503225806451613	0.603599824611128	2
"Depressive symptoms"	"EN-RAGE_CVDI"	"All - Inverse variance weighted"	-0.313101697505314	0.402851127217027	0.437032287239877	2
"Depressive symptoms"	"ESM-1_CVDI"	"rs17488531"	-0.466666666666667	0.783333333333333	0.551345804442167	2
"Depressive symptoms"	"ESM-1_CVDI"	"rs7973260"	-1.98064516129032	0.706451612903226	0.00505272574995371	2
"Depressive symptoms"	"ESM-1_CVDI"	"All - Inverse variance weighted"	-1.30157864315505	0.752967973305243	0.0838811367171637	2
"Depressive symptoms"	"FABP4_CVDI"	"rs17488531"	0.00555555555555556	0.516666666666667	0.991420761443078	2
"Depressive symptoms"	"FABP4_CVDI"	"rs7973260"	-0.587096774193548	0.406451612903226	0.148613996455212	2
"Depressive symptoms"	"FABP4_CVDI"	"All - Inverse variance weighted"	-0.360535417713171	0.319450346536724	0.259061647736733	2
"Depressive symptoms"	"FAS_CVDI"	"rs17488531"	-0.183333333333333	0.522222222222222	0.725540462699289	2
"Depressive symptoms"	"FAS_CVDI"	"rs7973260"	-0.570967741935484	0.412903225806452	0.166722365185177	2
"Depressive symptoms"	"FAS_CVDI"	"All - Inverse variance weighted"	-0.421855225274083	0.323892758511743	0.19276143737259	2
"Depressive symptoms"	"FGF-23_CVDI"	"rs17488531"	0	0.566666666666667	1	2
"Depressive symptoms"	"FGF-23_CVDI"	"rs7973260"	0.0935483870967742	0.474193548387097	0.843609281185423	2
"Depressive symptoms"	"FGF-23_CVDI"	"All - Inverse variance weighted"	0.0550202240528578	0.363662622432103	0.879743257123641	2
"Depressive symptoms"	"FS_CVDI"	"rs17488531"	0.266666666666667	0.577777777777778	0.644412333769812	2
"Depressive symptoms"	"FS_CVDI"	"rs7973260"	-0.503225806451613	0.490322580645161	0.304742757088453	2
"Depressive symptoms"	"FS_CVDI"	"All - Inverse variance weighted"	-0.180897939314107	0.379819094901798	0.633879223989319	2
"Depressive symptoms"	"GAL_CVDI"	"rs17488531"	-1.88888888888889	0.794444444444445	0.017424659983198	2
"Depressive symptoms"	"GAL_CVDI"	"rs7973260"	-1.27741935483871	0.725806451612903	0.0784078065749653	2
"Depressive symptoms"	"GAL_CVDI"	"All - Inverse variance weighted"	-1.55560297086683	0.535848346139214	0.00369529069128275	2
"Depressive symptoms"	"Gal-3_CVDI"	"rs17488531"	0.144444444444444	0.522222222222222	0.782090532523617	2
"Depressive symptoms"	"Gal-3_CVDI"	"rs7973260"	-0.638709677419355	0.412903225806452	0.121893390512243	2
"Depressive symptoms"	"Gal-3_CVDI"	"All - Inverse variance weighted"	-0.33745137977242	0.381018524020472	0.375802871606251	2
"Depressive symptoms"	"GDF-15_CVDI"	"rs17488531"	0.0111111111111111	0.516666666666667	0.982842514753419	2
"Depressive symptoms"	"GDF-15_CVDI"	"rs7973260"	-0.638709677419355	0.406451612903226	0.116083133738655	2
"Depressive symptoms"	"GDF-15_CVDI"	"All - Inverse variance weighted"	-0.390293747997568	0.319450346536724	0.221795921179785	2
"Depressive symptoms"	"HB-EGF_CVDI"	"rs17488531"	0.227777777777778	0.566666666666667	0.68771288727916	2
"Depressive symptoms"	"HB-EGF_CVDI"	"rs7973260"	-0.783870967741935	0.47741935483871	0.100612410494372	2
"Depressive symptoms"	"HB-EGF_CVDI"	"All - Inverse variance weighted"	-0.363893948806503	0.498486236439128	0.465391415477121	2
"Depressive symptoms"	"HGF_CVDI"	"rs17488531"	-0.405555555555556	0.605555555555556	0.50303325800222	2
"Depressive symptoms"	"HGF_CVDI"	"rs7973260"	-0.180645161290323	0.5	0.717882427315385	2
"Depressive symptoms"	"HGF_CVDI"	"All - Inverse variance weighted"	-0.271820487527667	0.385556378542728	0.480805005508089	2
"Depressive symptoms"	"hK11_CVDI"	"rs17488531"	-1.79444444444444	0.783333333333333	0.021976132733359	2
"Depressive symptoms"	"hK11_CVDI"	"rs7973260"	-0.351612903225806	0.706451612903226	0.618683598217534	2
"Depressive symptoms"	"hK11_CVDI"	"All - Inverse variance weighted"	-0.998767796396623	0.717583469824871	0.163968144525595	2
"Depressive symptoms"	"HSP_27_CVDI"	"rs17488531"	0.527777777777778	0.577777777777778	0.360999853018646	2
"Depressive symptoms"	"HSP_27_CVDI"	"rs7973260"	0.112903225806452	0.490322580645161	0.817887287177585	2
"Depressive symptoms"	"HSP_27_CVDI"	"All - Inverse variance weighted"	0.286597130001825	0.373847709841599	0.443310664532047	2
"Depressive symptoms"	"IL-18_CVDI"	"rs17488531"	0	0.566666666666667	1	2
"Depressive symptoms"	"IL-18_CVDI"	"rs7973260"	-0.874193548387097	0.47741935483871	0.0670884418908762	2
"Depressive symptoms"	"IL-18_CVDI"	"All - Inverse variance weighted"	-0.511279837427479	0.430755688458825	0.235252496341167	2
"Depressive symptoms"	"IL-1ra_CVDI"	"rs17488531"	0.411111111111111	0.566666666666667	0.468151357247347	2
