"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Type 2 diabetes"	"ADM_CVDI"	"rs1005752"	-0.00759493670886076	0.139240506329114	0.956500594977862	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10097617"	-0.119607843137255	0.198039215686275	0.545869973034074	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10195252"	-0.0883333333333333	0.175	0.613726075493516	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10228066"	0.0818181818181818	0.153030303030303	0.592889505397409	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10406431"	0.105084745762712	0.172881355932203	0.543291515984162	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10428126"	0.191818181818182	0.100909090909091	0.0573149940819872	118
"Type 2 diabetes"	"ADM_CVDI"	"rs1061810"	0.27	0.226	0.232208067169411	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10811660"	-0.121875	0.083125	0.142603228523146	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10842994"	0.267567567567568	0.171621621621622	0.11898333517973	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10882101"	-0.03	0.0945454545454545	0.751010141112437	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10938398"	0.109090909090909	0.234090909090909	0.641201601794511	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10954772"	-0.0146341463414634	0.290243902439024	0.959787565031603	118
"Type 2 diabetes"	"ADM_CVDI"	"rs10974438"	0.249019607843137	0.209803921568627	0.235260799770933	118
"Type 2 diabetes"	"ADM_CVDI"	"rs11257655"	0.07	0.137777777777778	0.611408098966448	118
"Type 2 diabetes"	"ADM_CVDI"	"rs11496066"	-0.376595744680851	0.295744680851064	0.202882771598216	118
"Type 2 diabetes"	"ADM_CVDI"	"rs115505614"	0.373529411764706	0.140588235294118	0.00788619513029973	118
"Type 2 diabetes"	"ADM_CVDI"	"rs11651755"	0.189041095890411	0.142465753424658	0.18453412974806	118
"Type 2 diabetes"	"ADM_CVDI"	"rs11680058"	-0.543103448275862	0.341379310344828	0.11163003635549	118
"Type 2 diabetes"	"ADM_CVDI"	"rs11708067"	-0.00786516853932584	0.139325842696629	0.954982041323893	118
