"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"rs12465701"	-0.0210970464135021	0.115074798619102	0.854536481393919	4	"pan"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"rs148339496"	0.0883301096067054	0.0483558994197292	0.067749903004532	4	"pan"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"rs4862669"	-0.121268656716418	0.0615671641791045	0.0488731104972685	4	"pan"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"rs9264664"	0.19634703196347	0.114155251141553	0.0854324415826579	4	"pan"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"All - Inverse variance weighted"	0.022823403671506	0.0621241285605612	0.713332690751754	4	"pan"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"rs11451130"	0.220858895705521	0.260736196319018	0.396962334806855	4	"pan"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"rs142444346"	0.170334030733713	0.0802250919847053	0.033736975457938	4	"pan"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"rs4894192"	0.174174174174174	0.106606606606607	0.102300260682459	4	"pan"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"rs77315662"	-0.0928633920759905	0.229596300462442	0.685871692860728	4	"pan"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"All - Inverse variance weighted"	0.156214234698591	0.0600794353234699	0.00931889364985219	4	"pan"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"rs114590746"	0.0074697222423671	0.0269780259627239	0.781870929056997	3	"pan"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"rs11672713"	0.00399315459212778	0.0462065031374786	0.931132744979333	3	"pan"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"rs62193063"	-0.010180389355242	0.0176817288801572	0.564779052623049	3	"pan"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"All - Inverse variance weighted"	-0.00405261572099892	0.0140846696634932	0.773551591311827	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Atrial fibrillation"	"rs35550815"	-0.0563307493540052	0.0501291989664083	0.261135503976144	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Atrial fibrillation"	"All - Wald ratio"	-0.0563307493540052	0.0501291989664083	0.261135503976144	1	"pan"
"CCL20_CVDI"	"CCL20"	"Atrial fibrillation"	"rs4973334"	0.0918484500574053	0.0780711825487945	0.239406878796789	2	"pan"
"CCL20_CVDI"	"CCL20"	"Atrial fibrillation"	"rs742493"	-0.110041265474553	0.0715268225584594	0.123935805672742	2	"pan"
"CCL20_CVDI"	"CCL20"	"Atrial fibrillation"	"All - Inverse variance weighted"	-0.017911467098261	0.100559231487467	0.858629853904971	2	"pan"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"rs1634517"	0.0186892599053077	0.0191876401694493	0.330043642735855	3	"pan"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"rs3184504"	0.0550724637681159	0.0971014492753623	0.570602642478956	3	"pan"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"rs4543123"	0.116531165311653	0.105691056910569	0.270216506507971	3	"pan"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"All - Inverse variance weighted"	0.0230226177366229	0.0185320301169609	0.214120388154303	3	"pan"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"rs113010081"	-0.016735679779158	0.0186335403726708	0.369106572762305	4	"pan"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"rs5743604"	0.101941747572816	0.0946601941747573	0.281514632510023	4	"pan"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"rs62257806"	0.00383386581469649	0.101597444089457	0.96989829292834	4	"pan"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"rs8064426"	0.00205151584226123	0.0234784590836563	0.930370546623838	4	"pan"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"All - Inverse variance weighted"	-0.00667609342485471	0.0142817949737224	0.640174532893671	4	"pan"
"CD40_CVDI"	"CD40"	"Atrial fibrillation"	"rs4801216"	-0.0924276169265033	0.076837416481069	0.229015581254345	2	"pan"
"CD40_CVDI"	"CD40"	"Atrial fibrillation"	"rs4810485"	-0.0253240279162512	0.0153539381854437	0.0990758188227815	2	"pan"
"CD40_CVDI"	"CD40"	"Atrial fibrillation"	"All - Inverse variance weighted"	-0.0279005621115039	0.0150562852801213	0.0638703125251375	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Atrial fibrillation"	"rs4602861"	0.212041884816754	0.146596858638743	0.148057032922612	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Atrial fibrillation"	"All - Wald ratio"	0.212041884816754	0.146596858638743	0.148057032922612	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"rs1260326"	-0.024045261669024	0.0961810466760962	0.802587348634153	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"rs28601761"	0.0209731543624161	0.0562080536912752	0.709048470342177	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"rs339969"	-0.132	0.092	0.151349055248388	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"rs4950931"	-0.0432849095760451	0.0123035873109991	0.00043469392945972	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"All - Inverse variance weighted"	-0.0416150526441284	0.0118272934741169	0.00043389417735753	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Atrial fibrillation"	"rs11579145"	-0.0199543899657925	0.0381984036488027	0.601400167839332	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Atrial fibrillation"	"All - Wald ratio"	-0.0199543899657925	0.0381984036488027	0.601400167839332	1	"pan"
"CSTB_CVDI"	"CSTB"	"Atrial fibrillation"	"rs35285321"	0.00528900642236494	0.0136003022289384	0.697358341877476	2	"pan"
"CSTB_CVDI"	"CSTB"	"Atrial fibrillation"	"rs62143212"	-0.0460176991150442	0.0755162241887906	0.542275904821567	2	"pan"
