"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"HbA1C"	"ADM_CVDI"	"rs1046896"	0.137587142857143	0.224973571428571	0.540822127667712	34
"HbA1C"	"ADM_CVDI"	"rs10774625"	0.0473272727272727	0.656665909090909	0.942544551668486	34
"HbA1C"	"ADM_CVDI"	"rs11248914"	-0.0706528571428571	0.397887142857143	0.859060613201315	34
"HbA1C"	"ADM_CVDI"	"rs11603334"	-1.09759833333333	0.603028333333333	0.0687370960271857	34
"HbA1C"	"ADM_CVDI"	"rs11708067"	-0.0280323076923077	0.496572307692308	0.954982041323893	34
"HbA1C"	"ADM_CVDI"	"rs11964178"	0.623635416666667	0.547714583333333	0.254864244395443	34
"HbA1C"	"ADM_CVDI"	"rs12368284"	-0.759208333333333	0.485893333333333	0.118170245865335	34
"HbA1C"	"ADM_CVDI"	"rs12621844"	-1.16214747474747	0.552151515151515	0.0353120387994711	34
"HbA1C"	"ADM_CVDI"	"rs13134327"	0.929070769230769	0.424489230769231	0.0286201615242364	34
"HbA1C"	"ADM_CVDI"	"rs13266634"	-0.149238666666667	0.378302666666667	0.693215313221831	34
"HbA1C"	"ADM_CVDI"	"rs1387153"	-0.15892	0.30414	0.601306569127729	34
"HbA1C"	"ADM_CVDI"	"rs17509001"	-0.749085555555556	0.428048888888889	0.0801183137276342	34
"HbA1C"	"ADM_CVDI"	"rs17533903"	0.0555306666666667	0.437304	0.898952961671851	34
"HbA1C"	"ADM_CVDI"	"rs17747324"	-0.891961333333333	0.423421333333333	0.0351559646477403	34
"HbA1C"	"ADM_CVDI"	"rs1800562"	-0.6494485	0.2980435	0.0293287487428109	34
"HbA1C"	"ADM_CVDI"	"rs2246434"	0.16714	0.32332	0.605191654376546	34
"HbA1C"	"ADM_CVDI"	"rs2383208"	-0.669342857142857	0.487132857142857	0.169427463741261	34
"HbA1C"	"ADM_CVDI"	"rs3782123"	0.532613846153846	0.460530769230769	0.247467812799137	34
"HbA1C"	"ADM_CVDI"	"rs423117"	-0.96174	0.43018	0.0253734748882648	34
"HbA1C"	"ADM_CVDI"	"rs4607517"	-0.443349677419355	0.228392258064516	0.0522368760834801	34
"HbA1C"	"ADM_CVDI"	"rs4737009"	-0.245425714285714	0.290048571428571	0.397466925422593	34
"HbA1C"	"ADM_CVDI"	"rs4745982"	0.034524	0.111792	0.757455769557939	34
"HbA1C"	"ADM_CVDI"	"rs560887"	0.481555	0.204521428571429	0.0185453753983831	34
"HbA1C"	"ADM_CVDI"	"rs579459"	2.01614181818182	0.634185454545455	0.00147730832266553	34
"HbA1C"	"ADM_CVDI"	"rs7616006"	-0.687192	0.531012	0.195624786869267	34
"HbA1C"	"ADM_CVDI"	"rs8192675"	0.179843636363636	0.5206	0.729752676723482	34
"HbA1C"	"ADM_CVDI"	"rs837763"	0.0214364705882353	0.333796470588235	0.948794906468399	34
"HbA1C"	"ADM_CVDI"	"rs855791"	-0.0826835294117647	0.31236	0.791236045636806	34
"HbA1C"	"ADM_CVDI"	"rs905358"	-0.196092666666667	0.380038	0.605867166003733	34
"HbA1C"	"ADM_CVDI"	"rs9494142"	-0.711486666666666	0.290048571428571	0.0141673704845545	34
"HbA1C"	"ADM_CVDI"	"rs9818758"	0.694133333333333	0.568321666666667	0.221944429440906	34
"HbA1C"	"ADM_CVDI"	"rs9914988"	-0.516595384615385	0.508586153846154	0.309749389068409	34
"HbA1C"	"ADM_CVDI"	"rs9935401"	1.5986101010101	0.541634343434343	0.00316279286301763	34
"HbA1C"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0693389567653194	0.0852288523396234	0.415895906480165	34
"HbA1C"	"AGRP_CVDI"	"rs1046896"	0.509444285714286	0.224973571428571	0.0235456646350829	34
"HbA1C"	"AGRP_CVDI"	"rs10774625"	-2.54975681818182	0.662581818181818	0.00011898195779071	34
"HbA1C"	"AGRP_CVDI"	"rs11248914"	-0.420198571428571	0.401605714285714	0.295424254875018	34
"HbA1C"	"AGRP_CVDI"	"rs11603334"	-0.251623333333333	0.611705	0.680817731268166	34
"HbA1C"	"AGRP_CVDI"	"rs11708067"	0.5206	0.504581538461538	0.302191107206298	34
"HbA1C"	"AGRP_CVDI"	"rs11964178"	0.591097916666667	0.558560416666667	0.289940375245953	34
