"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Age at menopause"	"rs11042731"	-0.0495687518588282	0.0330458345725521	0.133614402537716	1	"cis"
"ADM_CVDI"	"ADM"	"Age at menopause"	"All - Wald ratio"	-0.0495687518588282	0.0330458345725521	0.133614402537716	1	"cis"
"CA-125_CVDI"	"CA-125"	"Age at menopause"	"rs7257770"	0	0.06001248259638	1	1	"cis"
"CA-125_CVDI"	"CA-125"	"Age at menopause"	"All - Wald ratio"	0	0.06001248259638	1	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Age at menopause"	"rs1045485"	-0.0263681788817255	0.0395522683225883	0.504985075093846	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Age at menopause"	"All - Wald ratio"	-0.0263681788817255	0.0395522683225883	0.504985075093846	1	"cis"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"rs4973334"	0.0292138836060449	0.0584277672120899	0.617075077451974	1	"cis"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"All - Wald ratio"	0.0292138836060449	0.0584277672120899	0.617075077451974	1	"cis"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"rs1634517"	-0.00634071582877277	0.0126814316575455	0.617075077451974	1	"cis"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"All - Wald ratio"	-0.00634071582877277	0.0126814316575455	0.617075077451974	1	"cis"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"rs8064426"	0.0058001578802975	0.02320063152119	0.802587348634153	1	"cis"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"All - Wald ratio"	0.0058001578802975	0.02320063152119	0.802587348634153	1	"cis"
"CD40_CVDI"	"CD40"	"Age at menopause"	"rs4810485"	0.0507383701313363	0.0101476740262673	5.73303143758385e-07	1	"cis"
"CD40_CVDI"	"CD40"	"Age at menopause"	"All - Wald ratio"	0.0507383701313363	0.0101476740262673	5.73303143758385e-07	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"rs7541061"	0.00377190818571971	0.0113157245571591	0.738882680363527	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"All - Wald ratio"	0.00377190818571971	0.0113157245571591	0.738882680363527	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Age at menopause"	"rs11579145"	-0.014507008335727	0.029014016671454	0.617075077451974	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Age at menopause"	"All - Wald ratio"	-0.014507008335727	0.029014016671454	0.617075077451974	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs2274611"	0.0647462916561454	0.0431641944374303	0.133614402537716	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"All - Wald ratio"	0.0647462916561454	0.0431641944374303	0.133614402537716	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"rs3117604"	-0.062850052345115	0.03591431562578	0.0801183137276342	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"All - Wald ratio"	-0.062850052345115	0.03591431562578	0.0801183137276342	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Age at menopause"	"rs7898709"	0.02240888826144	0.03361333239216	0.504985075093846	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Age at menopause"	"All - Wald ratio"	0.02240888826144	0.03361333239216	0.504985075093846	1	"cis"
"EGF_CVDI"	"EGF"	"Age at menopause"	"rs10029654"	0.0582716624905308	0.0388477749936872	0.133614402537716	1	"cis"
"EGF_CVDI"	"EGF"	"Age at menopause"	"All - Wald ratio"	0.0582716624905308	0.0388477749936872	0.133614402537716	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Age at menopause"	"rs1560832"	0.0167734295457252	0.0335468590914504	0.617075077451974	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Age at menopause"	"All - Wald ratio"	0.0167734295457252	0.0335468590914504	0.617075077451974	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Age at menopause"	"rs4451015"	-0.0769321016503859	0.0576990762377894	0.182422439451736	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Age at menopause"	"All - Wald ratio"	-0.0769321016503859	0.0576990762377894	0.182422439451736	1	"cis"
"FAS_CVDI"	"FAS"	"Age at menopause"	"rs982764"	0.0207547248131037	0.0207547248131037	0.317310507862914	1	"cis"
