"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10045431"	0.0450943899772867	0.0631321459682013	0.475050524053953	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10175585"	-0.0713213111674524	0.0975975837028296	0.464920120624581	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10408351"	-0.0116107352269574	0.0972399075257685	0.904956096468146	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10737481"	0.0644919686728265	0.071578998197313	0.367593583982973	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10761659"	-0.0154420508431362	0.0623858854062702	0.804502137663216	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs10800314"	0.111113442479055	0.0775697617306614	0.152020102288261	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs11209026"	-0.0592049682195094	0.0305662859179793	0.0527530526129495	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs11236797"	-0.00899143354009898	0.0648667705392855	0.889755289255431	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs112401990"	0.0963415253705104	0.0759480637957308	0.204612841789633	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs112694524"	-0.0743480097204753	0.115239415066737	0.518822668670191	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs11548656"	-0.158471855034302	0.103143319440429	0.1244344632269	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs12446550"	-0.0157705955649473	0.0936958912976281	0.86633403299876	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs1250573"	0.0792215000905338	0.0985867556682198	0.421644529402355	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs12764283"	0.0916290481873172	0.0845198978969219	0.278315076568512	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs12936409"	0.18874296572207	0.0693201437742876	0.00647366638673411	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs131656"	-0.127503782843649	0.0904387296914253	0.158588094568376	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs140892874"	0.0627451181541208	0.0825208168719566	0.447042396414694	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs142770866"	0.0991304381829138	0.0821739158621522	0.227682872170247	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs1551399"	0.0473830277140033	0.102663226713674	0.644412333769812	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs17264332"	0.0926387718021538	0.114436129873249	0.41821391318549	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs1736161"	-0.173562932493757	0.0843483410250032	0.0396196792578424	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs1873625"	-0.00507612381653598	0.0614774995558246	0.934194404692542	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs2076756"	-0.0623682539611085	0.0639674399601113	0.329560259960621	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs2193041"	0.125651785079803	0.0777844383827355	0.106227429780004	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs2241878"	0.0999991265005247	0.0682426471388716	0.142826396462064	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs2542147"	0.199603769862107	0.0905487300367838	0.0274976617862778	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs2836882"	0.0621514398144043	0.0590948116268107	0.292926133201847	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs3024493"	-0.0389678238386794	0.0657288594869291	0.553276761702108	46
"Inflammatory bowel disease"	"ADM_CVDI"	"rs35260072"	-0.0316461469710897	0.072434514178272	0.662188800863764	46
