"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"rs12465701"	0.0502493287303414	0.192558496355965	0.794126303560679	3	"pan"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"rs148339496"	-0.113475177304965	0.0773694390715667	0.142466754827972	3	"pan"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"rs4862669"	-0.291977611940299	0.0914179104477612	0.00140375645568581	3	"pan"
"ADM_CVDI"	"ADM"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.167489892446076	0.0759656841395364	0.0274674370580914	3	"pan"
"AGRP_CVDI"	"AGRP"	"Ischemic stroke"	"rs4894192"	0.121621621621622	0.159159159159159	0.444777296742768	1	"pan"
"AGRP_CVDI"	"AGRP"	"Ischemic stroke"	"All - Wald ratio"	0.121621621621622	0.159159159159159	0.444777296742768	1	"pan"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"rs114590746"	0.0382188701138589	0.0426426861991442	0.370114716303197	3	"pan"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"rs11672713"	-0.0405019965772961	0.0792926411865374	0.60949715491811	3	"pan"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"rs62193063"	-0.0182175388462225	0.0312555813538132	0.559989473441496	3	"pan"
"CA-125_CVDI"	"CA-125"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0023502439715703	0.0240241744456838	0.922068640742632	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Ischemic stroke"	"rs35550815"	0.0351421188630491	0.0744186046511628	0.636768179585686	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Ischemic stroke"	"All - Wald ratio"	0.0351421188630491	0.0744186046511628	0.636768179585686	1	"pan"
"CCL20_CVDI"	"CCL20"	"Ischemic stroke"	"rs4973334"	-0.149253731343284	0.12743972445465	0.241529980712954	2	"pan"
"CCL20_CVDI"	"CCL20"	"Ischemic stroke"	"rs742493"	0.0116918844566713	0.110041265474553	0.915384001164131	2	"pan"
"CCL20_CVDI"	"CCL20"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0570525905144832	0.0832883288192685	0.49334327490527	2	"pan"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"rs1634517"	-0.0024919013207077	0.0291552454522801	0.931887676762172	3	"pan"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"rs3184504"	1.12898550724638	0.146376811594203	1.23018141135833e-14	3	"pan"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"rs4543123"	-0.367208672086721	0.155826558265583	0.0184469878737995	3	"pan"
"CCL3_CVDI"	"CCL3"	"Ischemic stroke"	"All - Inverse variance weighted"	0.0273969775655462	0.159217588635293	0.863380487431592	3	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"rs113010081"	-0.0555555555555556	0.0296756383712905	0.0611937350549742	4	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"rs5743604"	-0.354368932038835	0.140776699029126	0.0118277767109761	4	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"rs62257806"	-0.216613418530351	0.153993610223642	0.15953446110247	4	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"rs8064426"	0.0674720765899248	0.0387508547982676	0.0816526503109918	4	"pan"
"CCL4_CVDI"	"CCL4"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0238466611809171	0.0492350751694876	0.628142504606751	4	"pan"
"CD40_CVDI"	"CD40"	"Ischemic stroke"	"rs4801216"	-0.110244988864143	0.114699331848552	0.336469187101546	2	"pan"
"CD40_CVDI"	"CD40"	"Ischemic stroke"	"rs4810485"	-0.0725822532402792	0.0227318045862413	0.00140811501288258	2	"pan"
"CD40_CVDI"	"CD40"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.074005651088071	0.0222981128767903	0.000903663389434959	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Ischemic stroke"	"rs4602861"	0.172774869109948	0.181937172774869	0.34229506014596	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Ischemic stroke"	"All - Wald ratio"	0.172774869109948	0.181937172774869	0.34229506014596	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"rs1260326"	0.0862800565770863	0.158415841584158	0.585999172905987	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"rs28601761"	-0.00335570469798658	0.0838926174496644	0.968093126294339	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"rs339969"	0.192	0.138666666666667	0.166170104682876	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"rs4950931"	0.0120071153276015	0.0185294989623481	0.516984950280438	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Ischemic stroke"	"All - Inverse variance weighted"	0.0152289693240989	0.0178273644015001	0.392968246976918	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Ischemic stroke"	"rs11579145"	0.080957810718358	0.0581527936145952	0.163874902280053	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Ischemic stroke"	"All - Wald ratio"	0.080957810718358	0.0581527936145952	0.163874902280053	1	"pan"
"CSTB_CVDI"	"CSTB"	"Ischemic stroke"	"rs35285321"	-0.0117113713638081	0.0202115602568946	0.562292825008221	2	"pan"
"CSTB_CVDI"	"CSTB"	"Ischemic stroke"	"rs62143212"	-0.0997050147492625	0.0938053097345133	0.287830440745838	2	"pan"
"CSTB_CVDI"	"CSTB"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0156151784228277	0.0197581348082069	0.429342998117976	2	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"rs10860794"	-0.0525316455696203	0.0689873417721519	0.446377650856754	5	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"rs1260326"	0.0965189873417722	0.177215189873418	0.585999172905987	5	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"rs55861089"	-0.0558030480656507	0.0403282532239156	0.166443922186174	5	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"rs73001065"	-0.143939393939394	0.165824915824916	0.385383217219064	5	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"rs838133"	0.171428571428571	0.174603174603175	0.326189429199069	5	"pan"
"CTSD_CVDI"	"CTSD"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0452349859406361	0.0328621475554178	0.168664629411697	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs1031153"	-0.0499528746465598	0.11875589066918	0.674021689949546	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs1133330"	-0.0914634146341463	0.161585365853659	0.571368128286714	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs150370599"	0.00766283524904215	0.14176245210728	0.956892098247027	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs2274611"	-0.0432569974554707	0.083969465648855	0.606447146740021	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs35049778"	-0.136427566807314	0.157524613220816	0.386450992316402	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs6575449"	-0.0176297747306562	0.0636630754162586	0.781839172455913	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs76904798"	-0.0246575342465753	0.133333333333333	0.853282758305563	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs8176396"	0.579908675799087	0.163368848300355	0.000385685851844976	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs887945"	-0.00239808153477218	0.0701438848920863	0.972727208299008	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs9271525"	-0.337310195227766	0.169197396963124	0.0461969071388654	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"rs9497486"	-0.0329041487839771	0.150929899856938	0.827421726137527	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"Ischemic stroke"	"All - Inverse variance weighted"	-0.0166247947401641	0.043200304239108	0.700362999366148	11	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"rs2519093"	-0.740825688073395	0.155963302752294	2.0341664851374e-06	4	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"rs3732378"	0.0925925925925926	0.159041394335512	0.560437508984906	4	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"rs3775298"	0.414993306559572	0.131191432396252	0.00156010085462662	4	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"rs683544"	0.0531281032770606	0.0516385302879841	0.303551974594793	4	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Ischemic stroke"	"All - Inverse variance weighted"	0.0335572977779424	0.14718041406438	0.819645377588146	4	"pan"
