"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"rs148339496"	0.208395228884591	0.0802359767891683	0.00939655270220049	1	"cis"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"All - Wald ratio"	0.208395228884591	0.0802359767891683	0.00939655270220049	1	"cis"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"rs142444346"	-0.0314377029074381	0.0701915446216002	0.654236575462049	1	"cis"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"All - Wald ratio"	-0.0314377029074381	0.0701915446216002	0.654236575462049	1	"cis"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"rs11672713"	-0.0182402167712493	0.0814786081003993	0.822862272500336	1	"cis"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"All - Wald ratio"	-0.0182402167712493	0.0814786081003993	0.822862272500336	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Prostate cancer"	"rs35550815"	-0.00748072351421189	0.0858739018087855	0.930581781893962	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Prostate cancer"	"All - Wald ratio"	-0.00748072351421189	0.0858739018087855	0.930581781893962	1	"cis"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"rs4973334"	0.191270952927669	0.131192881745121	0.144857916259911	1	"cis"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"All - Wald ratio"	0.191270952927669	0.131192881745121	0.144857916259911	1	"cis"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"rs1634517"	0.0426047844505358	0.0326890107151757	0.192459867155697	1	"cis"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"All - Wald ratio"	0.0426047844505358	0.0326890107151757	0.192459867155697	1	"cis"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"rs8064426"	0.0611050832003647	0.0362368361066788	0.0917438406879332	1	"cis"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"All - Wald ratio"	0.0611050832003647	0.0362368361066788	0.0917438406879332	1	"cis"
"CD40_CVDI"	"CD40"	"Prostate cancer"	"rs4810485"	-0.0152619142572283	0.025229112662014	0.545223740643519	1	"cis"
"CD40_CVDI"	"CD40"	"Prostate cancer"	"All - Wald ratio"	-0.0152619142572283	0.025229112662014	0.545223740643519	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Prostate cancer"	"rs4950931"	-0.0243274533056626	0.0202886154758375	0.230501051035985	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Prostate cancer"	"All - Wald ratio"	-0.0243274533056626	0.0202886154758375	0.230501051035985	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Prostate cancer"	"rs11579145"	-0.0142978335233751	0.0653095781071836	0.826709257233852	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Prostate cancer"	"All - Wald ratio"	-0.0142978335233751	0.0653095781071836	0.826709257233852	1	"cis"
"CSTB_CVDI"	"CSTB"	"Prostate cancer"	"rs35285321"	0.00659480544012089	0.022282017378164	0.767253103220391	1	"cis"
"CSTB_CVDI"	"CSTB"	"Prostate cancer"	"All - Wald ratio"	0.00659480544012089	0.022282017378164	0.767253103220391	1	"cis"
"CTSD_CVDI"	"CTSD"	"Prostate cancer"	"rs55861089"	-0.0599540445486518	0.0439592028135991	0.172612733476157	1	"cis"
"CTSD_CVDI"	"CTSD"	"Prostate cancer"	"All - Wald ratio"	-0.0599540445486518	0.0439592028135991	0.172612733476157	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Prostate cancer"	"rs2274611"	0.227453774385072	0.0948617472434266	0.01649658498419	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Prostate cancer"	"All - Wald ratio"	0.227453774385072	0.0948617472434266	0.01649658498419	1	"cis"
