"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"rs11042731"	0.00164392569455861	0.0287686996547756	0.954431397113681	4	"pan"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"rs12465701"	0.140808825314514	0.0922540579646813	0.126931238256761	4	"pan"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"rs2048"	-0.0401848503114326	0.0366391282251297	0.272740113942454	4	"pan"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"rs9264664"	-0.0655068107816504	0.0655068107816504	0.317310507862914	4	"pan"
"ADM_CVDI"	"ADM"	"Fasting insulin"	"All - Inverse variance weighted"	-0.0115765725995484	0.024731215794181	0.639716245792056	4	"pan"
"AGRP_CVDI"	"AGRP"	"Fasting insulin"	"rs4894192"	-0.00190063481202722	0.0627209487968981	0.97582537985171	1	"pan"
"AGRP_CVDI"	"AGRP"	"Fasting insulin"	"All - Wald ratio"	-0.00190063481202722	0.0627209487968981	0.97582537985171	1	"pan"
"CA-125_CVDI"	"CA-125"	"Fasting insulin"	"rs7257770"	-0.0313470265106281	0.0507523286362551	0.536808016981021	1	"pan"
"CA-125_CVDI"	"CA-125"	"Fasting insulin"	"All - Wald ratio"	-0.0313470265106281	0.0507523286362551	0.536808016981021	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Fasting insulin"	"rs1045485"	0.0209877352921886	0.030825736210402	0.495965735328731	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Fasting insulin"	"All - Wald ratio"	0.0209877352921886	0.030825736210402	0.495965735328731	1	"pan"
"CCL20_CVDI"	"CCL20"	"Fasting insulin"	"rs4973334"	-0.159862808644218	0.0508654391140694	0.00167307472215232	2	"pan"
"CCL20_CVDI"	"CCL20"	"Fasting insulin"	"rs742493"	-0.0957637595110825	0.278585482214058	0.731034305380085	2	"pan"
"CCL20_CVDI"	"CCL20"	"Fasting insulin"	"All - Inverse variance weighted"	-0.157794867502309	0.0500382109616548	0.00161332196019902	2	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting insulin"	"rs1634517"	-0.011986360783151	0.012301791330076	0.329878332049875	3	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting insulin"	"rs3184504"	-0.00183452577508714	0.0587048248027885	0.975070165131246	3	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting insulin"	"rs4543123"	0.222976913313437	0.0651778669685431	0.000623792590960537	3	"pan"
"CCL3_CVDI"	"CCL3"	"Fasting insulin"	"All - Inverse variance weighted"	-0.00381988570844857	0.0296588496776776	0.897520551295708	3	"pan"
"CCL4_CVDI"	"CCL4"	"Fasting insulin"	"rs5743604"	0.215066978001721	0.058375322600467	0.000229412574930824	2	"pan"
"CCL4_CVDI"	"CCL4"	"Fasting insulin"	"rs8064426"	0.0170238304772732	0.01442697498074	0.238000214910401	2	"pan"
"CCL4_CVDI"	"CCL4"	"Fasting insulin"	"All - Inverse variance weighted"	0.0284238099051861	0.0461273051094575	0.537760175087132	2	"pan"
"CD40_CVDI"	"CD40"	"Fasting insulin"	"rs4801216"	-0.0606128950410194	0.0465168729384568	0.192564416267239	2	"pan"
"CD40_CVDI"	"CD40"	"Fasting insulin"	"rs4810485"	-0.00378611002435731	0.00883425672350039	0.668235141795249	2	"pan"
"CD40_CVDI"	"CD40"	"Fasting insulin"	"All - Inverse variance weighted"	-0.00576437262214885	0.0104165627941938	0.579999609503367	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting insulin"	"rs1260326"	-0.340178683329454	0.0572932519291712	2.89401045533271e-09	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting insulin"	"rs339969"	0.0219409282700422	0.0573839662447257	0.702199590874297	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting insulin"	"rs7541061"	0.00656741735374362	0.0073179793370286	0.369486364619542	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Fasting insulin"	"All - Inverse variance weighted"	0.00133101573783958	0.0306264801038429	0.965335138335539	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Fasting insulin"	"rs11579145"	0.033918854553065	0.0230936882063421	0.141900610277981	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Fasting insulin"	"All - Wald ratio"	0.033918854553065	0.0230936882063421	0.141900610277981	1	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"rs10401969"	0.0534200441296017	0.0812913715015678	0.51108906411744	4	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"rs10860794"	-0.00640922929017786	0.0280403781445281	0.819202033401183	4	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"rs1260326"	-0.38054798910431	0.0640922929017786	2.89401045533273e-09	4	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"rs838133"	-0.00803697006228652	0.0723327305605787	0.911528237909377	4	"pan"
"CTSD_CVDI"	"CTSD"	"Fasting insulin"	"All - Inverse variance weighted"	-0.0507304662435737	0.0745441314926742	0.49616087970434	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs10812614"	-0.0564992126173561	0.0432759926430812	0.191703742822855	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs1133330"	0.00385921580734795	0.0675362766285891	0.954431397113681	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs17685390"	0.008952070613933	0.0644549084203176	0.889537951249028	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs2274611"	0.0139573335051159	0.0343565132433622	0.684558919367902	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs3129757"	-0.0520525257305099	0.130131314326275	0.689156516779352	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs6512247"	0.0281293952180028	0.0676625993081689	0.677607339532538	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs6575449"	0.00495914901002988	0.0266554259289106	0.852408287000742	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"rs987037"	0.0376897125469972	0.0625097671511174	0.546547822122092	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Fasting insulin"	"All - Inverse variance weighted"	0.00115098099226971	0.0162608465114551	0.943570976152861	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting insulin"	"rs1511801"	0.0544439907445216	0.0527426160337553	0.301951240552087	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting insulin"	"rs3732378"	0.0551556768980447	0.0592923526653981	0.352250687955077	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting insulin"	"rs635634"	0.0757454370657383	0.135467800906032	0.5760663244148	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Fasting insulin"	"All - Inverse variance weighted"	0.0563957980768263	0.0378391534306715	0.136116843834545	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Fasting insulin"	"rs3117604"	-0.0138463325085088	0.0174195796074788	0.426688082619747	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Fasting insulin"	"rs7896518"	-0.0463459143179909	0.0463459143179909	0.317310507862914	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Fasting insulin"	"All - Inverse variance weighted"	-0.0178692534189516	0.0163058452110347	0.273131191419372	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs10510747"	0.0658886734836102	0.0494165051127076	0.182422439451736	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs1250559"	-0.0912937376007303	0.0649590056005197	0.159900760298068	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs1794529"	0.0382971861646376	0.0554301378698702	0.489622672771977	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs2009581"	0.0157367245974841	0.0354076303443392	0.65672128656377	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs3184504"	0.00170826286749005	0.0546644117596816	0.975070165131246	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"rs6103572"	0.0707702700529169	0.0579029482251138	0.221623602459393	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Fasting insulin"	"All - Inverse variance weighted"	0.0216618733530517	0.0204017652826358	0.288342537570853	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"rs11594179"	0.0831562413378915	0.0720687424928393	0.248563248217182	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"rs2343592"	0.0300952103016817	0.0346550906504213	0.385163873930437	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"rs7896518"	-0.0329052226758116	0.0329052226758116	0.317310507862914	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"rs7898709"	-0.00780339893762297	0.0273118962816804	0.775096962195985	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"rs8045833"	-0.0626318565400844	0.0708728902953587	0.376846878886151	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Fasting insulin"	"All - Inverse variance weighted"	-0.00351195772390261	0.016931074482867	0.835676594772754	5	"pan"
"EGF_CVDI"	"EGF"	"Fasting insulin"	"rs10029654"	0.0473475698135086	0.0318871388539956	0.137583964946946	1	"pan"
"EGF_CVDI"	"EGF"	"Fasting insulin"	"All - Wald ratio"	0.0473475698135086	0.0318871388539956	0.137583964946946	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Fasting insulin"	"rs1560832"	-0.0567409026810076	0.0292048763799304	0.0520334213607994	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Fasting insulin"	"All - Wald ratio"	-0.0567409026810076	0.0292048763799304	0.0520334213607994	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Fasting insulin"	"rs4451015"	0.00191356430054441	0.0363577217103438	0.958025455470674	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Fasting insulin"	"All - Wald ratio"	0.00191356430054441	0.0363577217103438	0.958025455470674	1	"pan"
"FABP4_CVDI"	"FABP4"	"Fasting insulin"	"rs13064760"	-0.174998541678819	0.0536662194481713	0.00111071120866263	1	"pan"
"FABP4_CVDI"	"FABP4"	"Fasting insulin"	"All - Wald ratio"	-0.174998541678819	0.0536662194481713	0.00111071120866263	1	"pan"
"FAS_CVDI"	"FAS"	"Fasting insulin"	"rs982764"	0.0123897825593161	0.0175521919590311	0.480261302753423	1	"pan"
"FAS_CVDI"	"FAS"	"Fasting insulin"	"All - Wald ratio"	0.0123897825593161	0.0175521919590311	0.480261302753423	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"rs1370593"	0.0374947507348971	0.0464934909112724	0.419982497240339	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"rs209956"	-0.00807113359071281	0.0484268015442769	0.867632334778193	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"rs4074995"	-0.0457102672292546	0.0615330520393812	0.457568175062507	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"rs4744712"	0.0700875031857956	0.0679636394528927	0.302423598900007	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Fasting insulin"	"rs6489536"	-0.0324569944823109	0.0613076562443651	0.596519838726618	7	"pan"
