"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Asthma"	"ADM_CVDI"	"rs10455025"	-0.00213975602501803	0.0855902410007211	0.980054963609524	13
"Asthma"	"ADM_CVDI"	"rs10957979"	0.0852323460812061	0.150171276428792	0.570328634657464	13
"Asthma"	"ADM_CVDI"	"rs12935657"	0.0539805862677244	0.113744806778419	0.635089022632529	13
"Asthma"	"ADM_CVDI"	"rs1663687"	0.0604908799323641	0.123353951234625	0.623861761124121	13
"Asthma"	"ADM_CVDI"	"rs167769"	0.0724176936702591	0.135618589964303	0.593354968344187	13
"Asthma"	"ADM_CVDI"	"rs17293632"	-0.0110199376101994	0.100874813508748	0.913009202110216	13
"Asthma"	"ADM_CVDI"	"rs20541"	0.067703109327984	0.101136743564025	0.503226648422554	13
"Asthma"	"ADM_CVDI"	"rs2155219"	-0.0199994095412421	0.0961876363650216	0.835290814204728	13
"Asthma"	"ADM_CVDI"	"rs2305479"	-0.149815928407064	0.0561108346093872	0.00758512469537098	13
"Asthma"	"ADM_CVDI"	"rs2325291"	0.0481449892631441	0.113036061748251	0.670161822685037	13
"Asthma"	"ADM_CVDI"	"rs3771180"	0.0654245941379564	0.0809198927495776	0.418796684420646	13
"Asthma"	"ADM_CVDI"	"rs9272346"	0.174744224091449	0.0788728793564517	0.0267245822579104	13
"Asthma"	"ADM_CVDI"	"rs992969"	-0.146697936933798	0.0790398367100205	0.0634535580564059	13
"Asthma"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0066183033704251	0.0309402991923113	0.83062067042802	13
"Asthma"	"AGRP_CVDI"	"rs10455025"	0.0834504849757031	0.0877299970257391	0.341492955343764	13
"Asthma"	"AGRP_CVDI"	"rs10957979"	-0.0081173662934482	0.152877065193274	0.957654346747982	13
"Asthma"	"AGRP_CVDI"	"rs12935657"	-0.00963939040495079	0.115672684859409	0.933586496294755	13
"Asthma"	"AGRP_CVDI"	"rs1663687"	-0.149448056303488	0.124540046919573	0.230139340443417	13
"Asthma"	"AGRP_CVDI"	"rs167769"	0.00131668533945926	0.138251960643222	0.992401214293143	13
"Asthma"	"AGRP_CVDI"	"rs17293632"	0.05425200054252	0.102570188525702	0.596857048616842	13
"Asthma"	"AGRP_CVDI"	"rs20541"	0.235707121364092	0.102808425275827	0.0218662661831088	13
"Asthma"	"AGRP_CVDI"	"rs2155219"	0.0276182322236201	0.0971399892003189	0.776169968562715	13
"Asthma"	"AGRP_CVDI"	"rs2305479"	0.0286165256507875	0.057233051301575	0.617075077451974	13
"Asthma"	"AGRP_CVDI"	"rs2325291"	0.0198859738260812	0.115129322150997	0.862865805452971	13
"Asthma"	"AGRP_CVDI"	"rs3771180"	-0.0269732975831925	0.0820676926467347	0.742404127804918	13
"Asthma"	"AGRP_CVDI"	"rs9272346"	-0.176104101321733	0.0809126952018772	0.0295200906044939	13
"Asthma"	"AGRP_CVDI"	"rs992969"	-0.0202341981977653	0.080936792791061	0.802587348634153	13
