"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"eGFR (creatinine)"	"rs12465701"	-0.0879043600562588	0.075118271320803	0.241915356714959	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (creatinine)"	"rs148339496"	0.0376101439931227	0.0295508274231678	0.203114836343131	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (creatinine)"	"rs4862669"	-0.0427549751243781	0.0388681592039801	0.271332121892765	3	"pan"
"ADM_CVDI"	"ADM"	"eGFR (creatinine)"	"All - Inverse variance weighted"	-0.000408195461491407	0.0325274383705655	0.989987397580071	3	"pan"
"AGRP_CVDI"	"AGRP"	"eGFR (creatinine)"	"rs4894192"	-0.168918918918919	0.0688188188188188	0.0141062829473795	1	"pan"
"AGRP_CVDI"	"AGRP"	"eGFR (creatinine)"	"All - Wald ratio"	-0.168918918918919	0.0688188188188188	0.0141062829473795	1	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (creatinine)"	"rs114590746"	0.0126912756545072	0.0157130079531994	0.419267732920394	2	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (creatinine)"	"rs11672713"	-0.00950751093363757	0.0332762882677315	0.775096962195985	2	"pan"
"CA-125_CVDI"	"CA-125"	"eGFR (creatinine)"	"All - Inverse variance weighted"	0.00864400836775464	0.0142085972195806	0.542945647096295	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"eGFR (creatinine)"	"rs35550815"	-0.0129198966408269	0.0301464254952627	0.668235141795249	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"eGFR (creatinine)"	"All - Wald ratio"	-0.0129198966408269	0.0301464254952627	0.668235141795249	1	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (creatinine)"	"rs4973334"	-0.0239188672024493	0.0478377344048986	0.617075077451974	2	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (creatinine)"	"rs742493"	0.0372535534158643	0.0458505272810637	0.416504786576218	2	"pan"
"CCL20_CVDI"	"CCL20"	"eGFR (creatinine)"	"All - Inverse variance weighted"	0.00796427829995415	0.0331014548484794	0.809863551690315	2	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (creatinine)"	"rs1634517"	0.00726804551873079	0.0124595066035385	0.559668927199412	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (creatinine)"	"rs3184504"	-0.199275362318841	0.0603864734299517	0.000966848284767553	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (creatinine)"	"rs4543123"	0.0395212285456188	0.0621047877145438	0.524539436435313	3	"pan"
"CCL3_CVDI"	"CCL3"	"eGFR (creatinine)"	"All - Inverse variance weighted"	0.000346506965513032	0.0288788295798947	0.990426692206362	3	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"rs113010081"	-0.0208477110651024	0.0115021854152289	0.0699089739364695	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"rs5743604"	0.040453074433657	0.0556229773462783	0.467058901715173	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"rs62257806"	-0.210330138445154	0.0825346112886049	0.0108222311173323	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"rs8064426"	-0.00189955170579743	0.0161461894992782	0.906347316282193	4	"pan"
"CCL4_CVDI"	"CCL4"	"eGFR (creatinine)"	"All - Inverse variance weighted"	-0.0153961805700374	0.0145255067852111	0.289171429599553	4	"pan"
"CD40_CVDI"	"CD40"	"eGFR (creatinine)"	"rs4801216"	0.0185597624350408	0.0463994060876021	0.689156516779352	2	"pan"
"CD40_CVDI"	"CD40"	"eGFR (creatinine)"	"rs4810485"	-0.00830840810900632	0.00913924891990695	0.363302140886898	2	"pan"
"CD40_CVDI"	"CD40"	"eGFR (creatinine)"	"All - Inverse variance weighted"	-0.00730493982101709	0.00896695932208016	0.415272272081026	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"rs1260326"	0.45968882602546	0.0589344648750589	6.1907175439174e-15	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"rs28601761"	0.167785234899329	0.0349552572706935	1.58665630395119e-06	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"rs339969"	-0.00555555555555556	0.0555555555555556	0.920344325445942	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"rs4950931"	-0.0012352999308232	0.00741179958493922	0.867632334778193	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"eGFR (creatinine)"	"All - Inverse variance weighted"	0.0124979840686218	0.037049348346086	0.735865555195233	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"eGFR (creatinine)"	"rs11579145"	-0.0118776130748765	0.0237552261497529	0.617075077451974	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"eGFR (creatinine)"	"All - Wald ratio"	-0.0118776130748765	0.0237552261497529	0.617075077451974	1	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (creatinine)"	"rs35285321"	-0.00865759979851404	0.00865759979851404	0.317310507862914	1	"pan"
"CSTB_CVDI"	"CSTB"	"eGFR (creatinine)"	"All - Wald ratio"	-0.00865759979851404	0.00865759979851404	0.317310507862914	1	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"rs10860794"	0.0131856540084388	0.0290084388185654	0.649436283726755	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"rs1260326"	0.514240506329114	0.0659282700421941	6.19071754391736e-15	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"rs55861089"	0.0293083235638921	0.0166080500195389	0.0776132094577024	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"rs73001065"	-0.13327721661055	0.066638608305275	0.0455002638963584	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"rs838133"	-0.132275132275132	0.085978835978836	0.123935805672743	5	"pan"
"CTSD_CVDI"	"CTSD"	"eGFR (creatinine)"	"All - Inverse variance weighted"	0.0355878999561705	0.0542762551140718	0.512029506262842	5	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs1031153"	0.0157084511467169	0.0431982406534716	0.716129568855565	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs1133330"	-0.0444613821138211	0.0698678861788618	0.524539436435313	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs150370599"	0.0159642401021711	0.0638569604086845	0.802587348634153	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs2274611"	0.0035340684195646	0.035340684195646	0.920344325445942	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs35049778"	0.111345522737928	0.0644631973745898	0.0841186947979135	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs6575449"	-0.0387691805419523	0.0265262814234411	0.143867728481615	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs76904798"	0.0076103500761035	0.0532724505327245	0.886403006367064	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs8176396"	0.114155251141553	0.0676475562320311	0.0915072499234822	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs887945"	-0.00999200639488409	0.0299760191846523	0.738882680363527	11	"pan"
"CTSL1_CVDI"	"CTSL1"	"eGFR (creatinine)"	"rs9271061"	0.0607249626307922	0.0794095665171898	0.444446702634924	11	"pan"
