"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"rs148339496"	-0.0438223662171035	0.0567375886524823	0.439895787832595	1	"cis"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"All - Wald ratio"	-0.0438223662171035	0.0567375886524823	0.439895787832595	1	"cis"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"rs11672713"	-0.0867303693227199	0.0559041642897889	0.120803075567785	1	"cis"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"All - Wald ratio"	-0.0867303693227199	0.0559041642897889	0.120803075567785	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Major depressive disorder"	"rs35550815"	0.0522007347774134	0.0604651162790698	0.387961636400452	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Major depressive disorder"	"All - Wald ratio"	0.0522007347774134	0.0604651162790698	0.387961636400452	1	"cis"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"rs4973334"	0.063089211044545	0.0929965556831228	0.497515739357898	1	"cis"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"All - Wald ratio"	0.063089211044545	0.0929965556831228	0.497515739357898	1	"cis"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"rs1634517"	0.0226725217674043	0.0229254921505108	0.322680001095425	1	"cis"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"All - Wald ratio"	0.0226725217674043	0.0229254921505108	0.322680001095425	1	"cis"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"rs8064426"	0.0273574961057604	0.0319124686573969	0.391297517767676	1	"cis"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"All - Wald ratio"	0.0273574961057604	0.0319124686573969	0.391297517767676	1	"cis"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"rs4810485"	-0.0348874329346979	0.0181455633100698	0.0545249507064767	1	"cis"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"All - Wald ratio"	-0.0348874329346979	0.0181455633100698	0.0545249507064767	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Major depressive disorder"	"rs4950931"	-0.0133418058068471	0.0148235991698784	0.368099911630569	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Major depressive disorder"	"All - Wald ratio"	-0.0133418058068471	0.0148235991698784	0.368099911630569	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Major depressive disorder"	"rs11579145"	-0.0405057111170566	0.0450399087799316	0.368477267648047	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Major depressive disorder"	"All - Wald ratio"	-0.0405057111170566	0.0450399087799316	0.368477267648047	1	"cis"
"CSTB_CVDI"	"CSTB"	"Major depressive disorder"	"rs35285321"	0.00472823992844443	0.016622591613147	0.776068139467838	1	"cis"
"CSTB_CVDI"	"CSTB"	"Major depressive disorder"	"All - Wald ratio"	0.00472823992844443	0.016622591613147	0.776068139467838	1	"cis"
"CTSD_CVDI"	"CTSD"	"Major depressive disorder"	"rs55861089"	0.0476025846139057	0.0330597889800703	0.1498974523227	1	"cis"
"CTSD_CVDI"	"CTSD"	"Major depressive disorder"	"All - Wald ratio"	0.0476025846139057	0.0330597889800703	0.1498974523227	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Major depressive disorder"	"rs2274611"	0.117863487634533	0.0670059372349449	0.0785773969320604	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Major depressive disorder"	"All - Wald ratio"	0.117863487634533	0.0670059372349449	0.0785773969320604	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Major depressive disorder"	"rs683544"	-0.070500096324791	0.0402184707050645	0.0796143115839042	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Major depressive disorder"	"All - Wald ratio"	-0.070500096324791	0.0402184707050645	0.0796143115839042	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Major depressive disorder"	"rs3117604"	-0.0116603176016248	0.0306986591390261	0.704070501571057	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Major depressive disorder"	"All - Wald ratio"	-0.0116603176016248	0.0306986591390261	0.704070501571057	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Major depressive disorder"	"rs35186877"	-0.0144579288282355	0.0621230398069964	0.815970649947589	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Major depressive disorder"	"All - Wald ratio"	-0.0144579288282355	0.0621230398069964	0.815970649947589	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Major depressive disorder"	"rs16850073"	-0.00776650924040817	0.0161076369149138	0.629690039479109	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Major depressive disorder"	"All - Wald ratio"	-0.00776650924040817	0.0161076369149138	0.629690039479109	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Major depressive disorder"	"rs7898709"	0.00660997853926504	0.0559225011008366	0.905910055515676	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Major depressive disorder"	"All - Wald ratio"	0.00660997853926504	0.0559225011008366	0.905910055515676	1	"cis"
"ECP_CVDI"	"ECP"	"Major depressive disorder"	"rs147307766"	0.0205607138126362	0.0373402555910543	0.581886441720925	1	"cis"
"ECP_CVDI"	"ECP"	"Major depressive disorder"	"All - Wald ratio"	0.0205607138126362	0.0373402555910543	0.581886441720925	1	"cis"
