"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"rs148339496"	0.0883301096067054	0.0483558994197292	0.067749903004532	1	"cis"
"ADM_CVDI"	"ADM"	"Atrial fibrillation"	"All - Wald ratio"	0.0883301096067054	0.0483558994197292	0.067749903004532	1	"cis"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"rs142444346"	0.170334030733713	0.0802250919847053	0.033736975457938	1	"cis"
"AGRP_CVDI"	"AGRP"	"Atrial fibrillation"	"All - Wald ratio"	0.170334030733713	0.0802250919847053	0.033736975457938	1	"cis"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"rs11672713"	0.00399315459212778	0.0462065031374786	0.931132744979333	1	"cis"
"CA-125_CVDI"	"CA-125"	"Atrial fibrillation"	"All - Wald ratio"	0.00399315459212778	0.0462065031374786	0.931132744979333	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Atrial fibrillation"	"rs35550815"	-0.0563307493540052	0.0501291989664083	0.261135503976144	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Atrial fibrillation"	"All - Wald ratio"	-0.0563307493540052	0.0501291989664083	0.261135503976144	1	"cis"
"CCL20_CVDI"	"CCL20"	"Atrial fibrillation"	"rs4973334"	0.0918484500574053	0.0780711825487945	0.239406878796789	1	"cis"
"CCL20_CVDI"	"CCL20"	"Atrial fibrillation"	"All - Wald ratio"	0.0918484500574053	0.0780711825487945	0.239406878796789	1	"cis"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"rs1634517"	0.0186892599053077	0.0191876401694493	0.330043642735855	1	"cis"
"CCL3_CVDI"	"CCL3"	"Atrial fibrillation"	"All - Wald ratio"	0.0186892599053077	0.0191876401694493	0.330043642735855	1	"cis"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"rs8064426"	0.00205151584226123	0.0234784590836563	0.930370546623838	1	"cis"
"CCL4_CVDI"	"CCL4"	"Atrial fibrillation"	"All - Wald ratio"	0.00205151584226123	0.0234784590836563	0.930370546623838	1	"cis"
"CD40_CVDI"	"CD40"	"Atrial fibrillation"	"rs4810485"	-0.0253240279162512	0.0153539381854437	0.0990758188227815	1	"cis"
"CD40_CVDI"	"CD40"	"Atrial fibrillation"	"All - Wald ratio"	-0.0253240279162512	0.0153539381854437	0.0990758188227815	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"rs4950931"	-0.0432849095760451	0.0123035873109991	0.00043469392945972	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Atrial fibrillation"	"All - Wald ratio"	-0.0432849095760451	0.0123035873109991	0.00043469392945972	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Atrial fibrillation"	"rs11579145"	-0.0199543899657925	0.0381984036488027	0.601400167839332	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Atrial fibrillation"	"All - Wald ratio"	-0.0199543899657925	0.0381984036488027	0.601400167839332	1	"cis"
"CSTB_CVDI"	"CSTB"	"Atrial fibrillation"	"rs35285321"	0.00528900642236494	0.0136003022289384	0.697358341877476	1	"cis"
"CSTB_CVDI"	"CSTB"	"Atrial fibrillation"	"All - Wald ratio"	0.00528900642236494	0.0136003022289384	0.697358341877476	1	"cis"
"CTSD_CVDI"	"CTSD"	"Atrial fibrillation"	"rs55861089"	-0.0082063305978898	0.0264947245017585	0.756762854761552	1	"cis"
"CTSD_CVDI"	"CTSD"	"Atrial fibrillation"	"All - Wald ratio"	-0.0082063305978898	0.0264947245017585	0.756762854761552	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Atrial fibrillation"	"rs2274611"	-0.0169635284139101	0.0559796437659033	0.761866768188248	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Atrial fibrillation"	"All - Wald ratio"	-0.0169635284139101	0.0559796437659033	0.761866768188248	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Atrial fibrillation"	"rs683544"	0.0238331678252234	0.0337636544190665	0.480261302753423	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Atrial fibrillation"	"All - Wald ratio"	0.0238331678252234	0.0337636544190665	0.480261302753423	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Atrial fibrillation"	"rs3117604"	-0.0201129146083275	0.0257586450247001	0.434907241180312	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Atrial fibrillation"	"All - Wald ratio"	-0.0201129146083275	0.0257586450247001	0.434907241180312	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Atrial fibrillation"	"rs35186877"	0.139927623642943	0.0512665862484922	0.0063447425702791	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Atrial fibrillation"	"All - Wald ratio"	0.139927623642943	0.0512665862484922	0.0063447425702791	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Atrial fibrillation"	"rs16850073"	0.025772219063862	0.0132651127534584	0.0520334213607994	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Atrial fibrillation"	"All - Wald ratio"	0.025772219063862	0.0132651127534584	0.0520334213607994	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Atrial fibrillation"	"rs7898709"	0.0321444297666226	0.0457948040510788	0.482727136505931	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Atrial fibrillation"	"All - Wald ratio"	0.0321444297666226	0.0457948040510788	0.482727136505931	1	"cis"
"ECP_CVDI"	"ECP"	"Atrial fibrillation"	"rs147307766"	0.0101837060702875	0.0335463258785942	0.761454421597889	1	"cis"
"ECP_CVDI"	"ECP"	"Atrial fibrillation"	"All - Wald ratio"	0.0101837060702875	0.0335463258785942	0.761454421597889	1	"cis"
"EGF_CVDI"	"EGF"	"Atrial fibrillation"	"rs2237045"	-0.0383747178329571	0.0526711813393529	0.466263860956851	1	"cis"
"EGF_CVDI"	"EGF"	"Atrial fibrillation"	"All - Wald ratio"	-0.0383747178329571	0.0526711813393529	0.466263860956851	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Atrial fibrillation"	"rs3014874"	-0.0301386377335744	0.0476190476190476	0.526791507814832	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Atrial fibrillation"	"All - Wald ratio"	-0.0301386377335744	0.0476190476190476	0.526791507814832	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Atrial fibrillation"	"rs4865884"	-0.00679245283018868	0.0573584905660377	0.90573404555763	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Atrial fibrillation"	"All - Wald ratio"	-0.00679245283018868	0.0573584905660377	0.90573404555763	1	"cis"
"FABP4_CVDI"	"FABP4"	"Atrial fibrillation"	"rs77878271"	0.0542725173210162	0.0839107005388761	0.517768518489477	1	"cis"
"FABP4_CVDI"	"FABP4"	"Atrial fibrillation"	"All - Wald ratio"	0.0542725173210162	0.0839107005388761	0.517768518489477	1	"cis"
"FAS_CVDI"	"FAS"	"Atrial fibrillation"	"rs982764"	0.00530179445350734	0.0293637846655791	0.856716443934854	1	"cis"
"FAS_CVDI"	"FAS"	"Atrial fibrillation"	"All - Wald ratio"	0.00530179445350734	0.0293637846655791	0.856716443934854	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Atrial fibrillation"	"rs6489536"	-0.206552706552707	0.101139601139601	0.0411263899535226	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Atrial fibrillation"	"All - Wald ratio"	-0.206552706552707	0.101139601139601	0.0411263899535226	1	"cis"
"FS_CVDI"	"FS"	"Atrial fibrillation"	"rs31226"	0.0892164468580295	0.0527540729247479	0.0908031034830691	1	"cis"
