"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Alzheimer"	"rs12465701"	0.238971998465669	0.368622938243191	0.516801902380435	4	"pan"
"ADM_CVDI"	"ADM"	"Alzheimer"	"rs148339496"	-0.0406189555125725	0.119277885235332	0.733449498149666	4	"pan"
"ADM_CVDI"	"ADM"	"Alzheimer"	"rs4862669"	-0.0111940298507463	0.142723880597015	0.937484918701927	4	"pan"
"ADM_CVDI"	"ADM"	"Alzheimer"	"rs9264664"	0.52054794520548	0.305936073059361	0.0888505379726643	4	"pan"
"ADM_CVDI"	"ADM"	"Alzheimer"	"All - Inverse variance weighted"	0.0284938670002493	0.0898181669128227	0.751061908373531	4	"pan"
"AGRP_CVDI"	"AGRP"	"Alzheimer"	"rs6740315"	-0.265337423312883	0.256134969325153	0.300235666663538	1	"pan"
"AGRP_CVDI"	"AGRP"	"Alzheimer"	"All - Wald ratio"	-0.265337423312883	0.256134969325153	0.300235666663538	1	"pan"
"CA-125_CVDI"	"CA-125"	"Alzheimer"	"rs114590746"	0.0068895496410182	0.0633113351221989	0.913345133117071	2	"pan"
"CA-125_CVDI"	"CA-125"	"Alzheimer"	"rs11672713"	0.0496292070735881	0.167142042213349	0.76652122862311	2	"pan"
"CA-125_CVDI"	"CA-125"	"Alzheimer"	"All - Inverse variance weighted"	0.012252379003256	0.0592061982555753	0.836053441343779	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"Alzheimer"	"rs35550815"	0.0697674418604651	0.11937984496124	0.558940744185274	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Alzheimer"	"All - Wald ratio"	0.0697674418604651	0.11937984496124	0.558940744185274	1	"pan"
"CCL20_CVDI"	"CCL20"	"Alzheimer"	"rs4973334"	-0.0241102181400689	0.183696900114811	0.895577543745231	2	"pan"
"CCL20_CVDI"	"CCL20"	"Alzheimer"	"rs742493"	0.257221458046768	0.18363136176066	0.161289125253613	2	"pan"
"CCL20_CVDI"	"CCL20"	"Alzheimer"	"All - Inverse variance weighted"	0.116605814878038	0.140665829137688	0.407129177435087	2	"pan"
"CCL3_CVDI"	"CCL3"	"Alzheimer"	"rs1634517"	-0.0503364066782955	0.0456017941689509	0.269668998650178	3	"pan"
"CCL3_CVDI"	"CCL3"	"Alzheimer"	"rs3184504"	-0.365217391304348	0.230434782608696	0.112987770277812	3	"pan"
"CCL3_CVDI"	"CCL3"	"Alzheimer"	"rs4543123"	0.113821138211382	0.24390243902439	0.640738381802541	3	"pan"
"CCL3_CVDI"	"CCL3"	"Alzheimer"	"All - Inverse variance weighted"	-0.0564744889290527	0.0471928277041782	0.231433157175948	3	"pan"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"rs113010081"	0.0153554175293306	0.0460662525879917	0.738882680363527	4	"pan"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"rs5743604"	0.0752427184466019	0.218446601941748	0.730512069509145	4	"pan"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"rs62257806"	0.0907348242811502	0.257507987220447	0.724570305680089	4	"pan"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"rs8064426"	0.0941417825393207	0.059949851834967	0.116335520284692	4	"pan"
"CCL4_CVDI"	"CCL4"	"Alzheimer"	"All - Inverse variance weighted"	0.0463078879832537	0.035679924971067	0.194332166902177	4	"pan"
