"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Triglycerides"	"rs11042731"	-0.0616883116883117	0.0344155844155844	0.0730604586484772	4	"pan"
"ADM_CVDI"	"ADM"	"Triglycerides"	"rs12465701"	0.154583812811661	0.111622554660529	0.166089247559515	4	"pan"
"ADM_CVDI"	"ADM"	"Triglycerides"	"rs2048"	0.065359477124183	0.0438842203548086	0.136392147794979	4	"pan"
"ADM_CVDI"	"ADM"	"Triglycerides"	"rs9264664"	-0.465753424657534	0.076103500761035	9.35753574836327e-10	4	"pan"
"ADM_CVDI"	"ADM"	"Triglycerides"	"All - Inverse variance weighted"	-0.0532979309864208	0.0910608708062866	0.558345990476328	4	"pan"
"AGRP_CVDI"	"AGRP"	"Triglycerides"	"rs4894192"	-0.205705705705706	0.0735735735735736	0.00517524705571358	1	"pan"
"AGRP_CVDI"	"AGRP"	"Triglycerides"	"All - Wald ratio"	-0.205705705705706	0.0735735735735736	0.00517524705571358	1	"pan"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"rs7257770"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"pan"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"All - Wald ratio"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"rs1045485"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"All - Wald ratio"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"pan"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"rs4973334"	-0.109070034443169	0.0585533869115959	0.0624981376391148	2	"pan"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"rs742493"	0.315680880330124	0.227647867950481	0.16553114089475	2	"pan"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"All - Inverse variance weighted"	-0.0827133994718922	0.102471130604607	0.419558557714018	2	"pan"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"rs1634517"	0.00299028158484924	0.0142038375280339	0.833256914830536	3	"pan"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"rs3184504"	0.143478260869565	0.0507246376811594	0.00467562658909552	3	"pan"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"rs4543123"	0.0338753387533875	0.0731707317073171	0.643390915016625	3	"pan"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"All - Inverse variance weighted"	0.013902935095847	0.0254923614200901	0.58549459288357	3	"pan"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"rs5743604"	0.0339805825242718	0.0655339805825243	0.604096542957154	2	"pan"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"rs8064426"	0.0104855254160018	0.0120811488488717	0.38543565018451	2	"pan"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"All - Inverse variance weighted"	0.0112577538147782	0.0118809503240831	0.343360333791512	2	"pan"
"CD40_CVDI"	"CD40"	"Triglycerides"	"rs4801216"	-0.0590200445434298	0.05456570155902	0.279415789265876	2	"pan"
"CD40_CVDI"	"CD40"	"Triglycerides"	"rs4810485"	0.0151545363908275	0.00757726819541376	0.0455002638963584	2	"pan"
"CD40_CVDI"	"CD40"	"Triglycerides"	"All - Inverse variance weighted"	0.0137512512073775	0.0101053887163023	0.173581961904569	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"rs1260326"	1.62376237623762	0.0480905233380481	6.50459563291962e-250	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"rs339969"	0.00666666666666667	0.0666666666666667	0.920344325445942	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"rs7541061"	-0.00459531574266232	0.00919063148532464	0.617075077451974	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"All - Inverse variance weighted"	0.051951953551222	0.210420623910443	0.804988921004308	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"rs11579145"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"All - Wald ratio"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"rs10860794"	-0.000632911392405063	0.0322784810126582	0.984356207118252	4	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"rs1260326"	1.81645569620253	0.0537974683544304	6.50459563291962e-250	4	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"rs73001065"	-1.1043771043771	0.0749158249158249	3.48570035675493e-49	4	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"rs838133"	0.261904761904762	0.0825396825396825	0.00150832555691125	4	"pan"
"CTSD_CVDI"	"CTSD"	"Triglycerides"	"All - Inverse variance weighted"	0.287490738343103	0.50203939506616	0.566884559543378	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs10812614"	0.0417853751187085	0.050332383665717	0.406432114846317	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs1133330"	0.102134146341463	0.0792682926829268	0.197585349051169	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs17685390"	-0.0198019801980198	0.074964639321075	0.791663610311364	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs2241090"	-0.0211352657004831	0.0338164251207729	0.531971058097401	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs2274611"	0.0373197625106022	0.0398642917726887	0.34918555711746	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs3129757"	-0.200934579439252	0.0710280373831776	0.00467013785317639	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs6575449"	0.00881488736532811	0.0308521057786484	0.775096962195985	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs987037"	0.0348583877995643	0.0806100217864924	0.665427150454073	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"All - Inverse variance weighted"	0.00248013106399298	0.0216482196418216	0.90878982112961	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Triglycerides"	"rs1511801"	-0.127688172043011	0.0631720430107527	0.0432511405161693	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Triglycerides"	"rs2519093"	0.155963302752294	0.0688073394495413	0.0234105961611167	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Triglycerides"	"rs3732378"	-0.0174291938997821	0.0686274509803921	0.799520083820693	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Triglycerides"	"All - Inverse variance weighted"	-0.00408652769919931	0.0829484423988305	0.960707413280269	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"rs3117600"	-0.0160886664283161	0.0182338219520915	0.377585975474249	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"rs7896518"	-0.283752860411899	0.0389016018306636	3.00622667901957e-13	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"All - Inverse variance weighted"	-0.064301142431353	0.102860637208615	0.53188655450409	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Triglycerides"	"rs10510747"	-0.113113113113113	0.0580580580580581	0.0513819637660028	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Triglycerides"	"rs1250560"	-0.0110957004160888	0.0693481276005548	0.872881074217134	6	"pan"
