"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"rs11042731"	0.0136363636363636	0.0376623376623377	0.717300494430804	4	"pan"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"rs12465701"	0.0629075565784427	0.113540467970848	0.579541853048479	4	"pan"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"rs2048"	0.096171802054155	0.0476190476190476	0.0434240809649579	4	"pan"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"rs9264664"	-0.589041095890411	0.0821917808219178	7.6845832115264e-13	4	"pan"
"ADM_CVDI"	"ADM"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0220833275321363	0.115832959843144	0.848801344731601	4	"pan"
"AGRP_CVDI"	"AGRP"	"Total cholesterol"	"rs4894192"	0.048048048048048	0.0810810810810811	0.553453837615598	1	"pan"
"AGRP_CVDI"	"AGRP"	"Total cholesterol"	"All - Wald ratio"	0.048048048048048	0.0810810810810811	0.553453837615598	1	"pan"
"CA-125_CVDI"	"CA-125"	"Total cholesterol"	"rs7257770"	-0.137971698113208	0.0642688679245283	0.0318100841925848	1	"pan"
"CA-125_CVDI"	"CA-125"	"Total cholesterol"	"All - Wald ratio"	-0.137971698113208	0.0642688679245283	0.0318100841925848	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Total cholesterol"	"rs1045485"	-0.0756476683937824	0.038860103626943	0.051574710365228	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Total cholesterol"	"All - Wald ratio"	-0.0756476683937824	0.038860103626943	0.051574710365228	1	"pan"
"CCL20_CVDI"	"CCL20"	"Total cholesterol"	"rs4973334"	0.0941446613088404	0.0642939150401837	0.143115898802514	2	"pan"
"CCL20_CVDI"	"CCL20"	"Total cholesterol"	"rs742493"	0.334938101788171	0.250343878954608	0.180925096226311	2	"pan"
"CCL20_CVDI"	"CCL20"	"Total cholesterol"	"All - Inverse variance weighted"	0.109044118712876	0.0622730127952563	0.0799346435179178	2	"pan"
"CCL3_CVDI"	"CCL3"	"Total cholesterol"	"rs1634517"	-0.00074757039621231	0.0154497881883877	0.961407742542763	3	"pan"
"CCL3_CVDI"	"CCL3"	"Total cholesterol"	"rs3184504"	-0.460869565217391	0.0536231884057971	8.35592707899864e-18	3	"pan"
"CCL3_CVDI"	"CCL3"	"Total cholesterol"	"rs4543123"	-0.00542005420054201	0.0799457994579946	0.945947542248377	3	"pan"
"CCL3_CVDI"	"CCL3"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0349955810719756	0.0851891947597382	0.681220399488516	3	"pan"
"CCL4_CVDI"	"CCL4"	"Total cholesterol"	"rs5743604"	-0.0133495145631068	0.0716019417475728	0.85209919520661	2	"pan"
"CCL4_CVDI"	"CCL4"	"Total cholesterol"	"rs8064426"	0.0196033736038295	0.0127649874629587	0.124608469802929	2	"pan"
"CCL4_CVDI"	"CCL4"	"Total cholesterol"	"All - Inverse variance weighted"	0.0185883026145168	0.0125668452058208	0.139099091239182	2	"pan"
"CD40_CVDI"	"CD40"	"Total cholesterol"	"rs4801216"	-0.022271714922049	0.0590200445434298	0.70590721025271	2	"pan"
"CD40_CVDI"	"CD40"	"Total cholesterol"	"rs4810485"	0.0213359920239282	0.00797607178464606	0.00747292501863558	2	"pan"
"CD40_CVDI"	"CD40"	"Total cholesterol"	"All - Inverse variance weighted"	0.0205538561517079	0.00790421982964207	0.00931246671358921	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Total cholesterol"	"rs1260326"	0.724186704384724	0.0509193776520509	6.670071542678e-46	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Total cholesterol"	"rs339969"	0.168	0.072	0.0196306572572907	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Total cholesterol"	"rs7541061"	0.00459531574266232	0.00993181144381856	0.643589048142027	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Total cholesterol"	"All - Inverse variance weighted"	0.0334350442060148	0.0956167653497104	0.726580641319444	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Total cholesterol"	"rs11579145"	0.0222348916761688	0.0302166476624857	0.461822562879907	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Total cholesterol"	"All - Wald ratio"	0.0222348916761688	0.0302166476624857	0.461822562879907	1	"pan"
"CTSD_CVDI"	"CTSD"	"Total cholesterol"	"rs10860794"	-0.00379746835443038	0.0354430379746835	0.914675647748153	4	"pan"
"CTSD_CVDI"	"CTSD"	"Total cholesterol"	"rs1260326"	0.810126582278481	0.0569620253164557	6.67007154267766e-46	4	"pan"
"CTSD_CVDI"	"CTSD"	"Total cholesterol"	"rs73001065"	-1.1969696969697	0.0782828282828283	8.8709658442894e-53	4	"pan"
"CTSD_CVDI"	"CTSD"	"Total cholesterol"	"rs838133"	0.53968253968254	0.0920634920634921	4.57135073310999e-09	4	"pan"
"CTSD_CVDI"	"CTSD"	"Total cholesterol"	"All - Inverse variance weighted"	0.08301432463672	0.333005059151285	0.803137642635415	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs10812614"	-0.0626780626780627	0.0550807217473884	0.255149281100581	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs1133330"	-0.0106707317073171	0.086890243902439	0.902259917132016	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs17685390"	0.104667609618105	0.082036775106082	0.202004281637937	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs2241090"	-0.0833333333333333	0.0368357487922705	0.0236791780819756	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs2274611"	0.0135708227311281	0.0432569974554707	0.753729539113066	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs3129757"	-0.125233644859813	0.0775700934579439	0.106428156427304	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs6575449"	-0.0460333006856024	0.0337904015670911	0.173097284263863	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"rs987037"	0.0689905591866376	0.0885984023238925	0.436163217536017	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0370392897632287	0.0205683373860556	0.0717357289682455	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Total cholesterol"	"rs1511801"	-0.134408602150538	0.0685483870967742	0.0499041886618631	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Total cholesterol"	"rs2519093"	-0.806192660550459	0.0722477064220183	6.49121018530095e-29	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Total cholesterol"	"rs3732378"	0.0566448801742919	0.0751633986928105	0.451075516414075	3	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Total cholesterol"	"All - Inverse variance weighted"	-0.297605798250583	0.258057411663408	0.248806055837933	3	"pan"
"CXCL1_CVDI"	"CXCL1"	"Total cholesterol"	"rs3117600"	-0.00858062209510189	0.0196639256346085	0.662572917836399	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Total cholesterol"	"rs7896518"	0.124713958810069	0.0411899313501144	0.00246359178594742	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Total cholesterol"	"All - Inverse variance weighted"	0.0161596919720247	0.0518234180163744	0.755175655097535	2	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs10510747"	-0.02002002002002	0.0630630630630631	0.750894345430481	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs1250560"	0.0013869625520111	0.0762829403606103	0.985493807229077	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs1794529"	0.17953821656051	0.0676751592356688	0.00797937753144294	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs2009581"	0.0629370629370629	0.0458430458430458	0.169789233493013	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs3184504"	0.42914979757085	0.0499325236167341	8.35592707899851e-18	6	"pan"
