"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Age at menopause"	"ADM_CVDI"	"rs1046089"	-0.466240909090909	0.187568181818182	0.0129291721727266	36
"Age at menopause"	"ADM_CVDI"	"rs10852344"	-0.3782625	0.2751	0.169131444702671	36
"Age at menopause"	"ADM_CVDI"	"rs10905065"	-0.175063636363636	0.375136363636364	0.640738381802541	36
"Age at menopause"	"ADM_CVDI"	"rs10957156"	0.710207142857143	0.356507142857143	0.0463572366230493	36
"Age at menopause"	"ADM_CVDI"	"rs11031006"	-0.342981818181818	0.273313636363636	0.20951435212	36
"Age at menopause"	"ADM_CVDI"	"rs11070315"	-0.3013	0.337325	0.371747998786804	36
"Age at menopause"	"ADM_CVDI"	"rs11668344"	-0.00287560975609756	0.101604878048781	0.977421375761222	36
"Age at menopause"	"ADM_CVDI"	"rs12196873"	0.3586125	0.35615625	0.313984489251666	36
"Age at menopause"	"ADM_CVDI"	"rs12824058"	0.218957142857143	0.317207142857143	0.490027247779391	36
"Age at menopause"	"ADM_CVDI"	"rs13040088"	-0.5109	0.33405	0.126162397742482	36
"Age at menopause"	"ADM_CVDI"	"rs1411478"	0.0816230769230769	0.341607692307692	0.811153617896822	36
"Age at menopause"	"ADM_CVDI"	"rs1635515"	-0.14934	0.26724	0.57628216259003	36
"Age at menopause"	"ADM_CVDI"	"rs16858210"	-0.485635714285714	0.342471428571429	0.156181192677705	36
"Age at menopause"	"ADM_CVDI"	"rs16991615"	0.0777068181818182	0.0964636363636364	0.420499160931281	36
"Age at menopause"	"ADM_CVDI"	"rs1713460"	0.227378571428571	0.345278571428571	0.510193396248432	36
"Age at menopause"	"ADM_CVDI"	"rs1799949"	-0.171235714285714	0.356507142857143	0.631003452466094	36
"Age at menopause"	"ADM_CVDI"	"rs1800932"	-0.233488235294118	0.319023529411765	0.464239337364205	36
"Age at menopause"	"ADM_CVDI"	"rs2004779"	0.135763636363636	0.396572727272727	0.732093273883157	36
"Age at menopause"	"ADM_CVDI"	"rs2277339"	0.305525806451613	0.21298064516129	0.151422839557677	36
"Age at menopause"	"ADM_CVDI"	"rs2283430"	0.09088125	0.25299375	0.71942804672522	36
"Age at menopause"	"ADM_CVDI"	"rs2720044"	-0.272389655172414	0.215472413793103	0.206175854627279	36
"Age at menopause"	"ADM_CVDI"	"rs349306"	0.0478434782608696	0.256304347826087	0.851921992819475	36
"Age at menopause"	"ADM_CVDI"	"rs365132"	0.081875	0.1653875	0.620565176166909	36
"Age at menopause"	"ADM_CVDI"	"rs4246511"	0.457309090909091	0.221509090909091	0.0389688062455502	36
"Age at menopause"	"ADM_CVDI"	"rs427394"	0.3537	0.329515384615385	0.283094153250568	36
"Age at menopause"	"ADM_CVDI"	"rs4693089"	-0.135585	0.21615	0.53048047751654	36
"Age at menopause"	"ADM_CVDI"	"rs4879656"	-0.501075	0.3799	0.187180640831505	36
"Age at menopause"	"ADM_CVDI"	"rs4886238"	-0.0698666666666667	0.2358	0.767003814165864	36
"Age at menopause"	"ADM_CVDI"	"rs5762534"	-0.60915	0.3537	0.0850292707808799	36
"Age at menopause"	"ADM_CVDI"	"rs6856693"	0.1621125	0.27755625	0.559172681745241	36
"Age at menopause"	"ADM_CVDI"	"rs6899676"	0.326360869565217	0.225547826086957	0.147905410893411	36
"Age at menopause"	"ADM_CVDI"	"rs704795"	-0.088425	0.25790625	0.731705934672859	36
"Age at menopause"	"ADM_CVDI"	"rs7259376"	-0.564490909090909	0.396572727272727	0.154613446268225	36
"Age at menopause"	"ADM_CVDI"	"rs763121"	-0.4323	0.265275	0.103179798263879	36
"Age at menopause"	"ADM_CVDI"	"rs8070740"	-0.30654	0.33536	0.360684005655914	36
"Age at menopause"	"ADM_CVDI"	"rs930036"	-0.0620526315789474	0.217184210526316	0.775096962195985	36
"Age at menopause"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0293208519383163	0.0439397246118046	0.504582361984535	36
"Age at menopause"	"AGRP_CVDI"	"rs1046089"	0.0732409090909091	0.191140909090909	0.701588107668829	36
"Age at menopause"	"AGRP_CVDI"	"rs10852344"	-0.36598125	0.28246875	0.195095345398433	36
"Age at menopause"	"AGRP_CVDI"	"rs10905065"	0.217936363636364	0.382281818181818	0.568614312058981	36
"Age at menopause"	"AGRP_CVDI"	"rs10957156"	0.09825	0.362121428571429	0.786146594672621	36
"Age at menopause"	"AGRP_CVDI"	"rs11031006"	0.153627272727273	0.276886363636364	0.579004987246763	36
"Age at menopause"	"AGRP_CVDI"	"rs11070315"	0.062225	0.343875	0.856404953378855	36
"Age at menopause"	"AGRP_CVDI"	"rs11668344"	0.111190243902439	0.103521951219512	0.282789483323742	36
"Age at menopause"	"AGRP_CVDI"	"rs12196873"	0.70494375	0.363525	0.052478305521458	36
"Age at menopause"	"AGRP_CVDI"	"rs12824058"	0.0842142857142857	0.322821428571429	0.79419309581406	36
"Age at menopause"	"AGRP_CVDI"	"rs13040088"	-0.76880625	0.3389625	0.023322140952495	36
"Age at menopause"	"AGRP_CVDI"	"rs1411478"	-0.0241846153846154	0.347653846153846	0.944539722344776	36
"Age at menopause"	"AGRP_CVDI"	"rs1635515"	-0.46636	0.27248	0.0869817574042038	36
"Age at menopause"	"AGRP_CVDI"	"rs16858210"	-0.106671428571429	0.348085714285714	0.759260815924473	36
"Age at menopause"	"AGRP_CVDI"	"rs16991615"	0.0321545454545455	0.09825	0.743461618132436	36
"Age at menopause"	"AGRP_CVDI"	"rs1713460"	0.269485714285714	0.3537	0.446116847721283	36
"Age at menopause"	"AGRP_CVDI"	"rs1799949"	0.575464285714286	0.359314285714286	0.109252388855187	36
"Age at menopause"	"AGRP_CVDI"	"rs1800932"	0.0161823529411765	0.323647058823529	0.960122388323255	36
"Age at menopause"	"AGRP_CVDI"	"rs2004779"	0.367990909090909	0.403718181818182	0.362029655277203	36
"Age at menopause"	"AGRP_CVDI"	"rs2277339"	-0.185090322580645	0.216783870967742	0.393215166343792	36
"Age at menopause"	"AGRP_CVDI"	"rs2283430"	-0.19895625	0.25790625	0.440452945294225	36
"Age at menopause"	"AGRP_CVDI"	"rs2720044"	0.177527586206897	0.219537931034483	0.418721113055301	36
"Age at menopause"	"AGRP_CVDI"	"rs349306"	-0.240926086956522	0.261430434782609	0.35675362903619	36
"Age at menopause"	"AGRP_CVDI"	"rs365132"	0.2603625	0.1686625	0.122663614742844	36
"Age at menopause"	"AGRP_CVDI"	"rs4246511"	0.816368181818182	0.226868181818182	0.000320149903098583	36
"Age at menopause"	"AGRP_CVDI"	"rs427394"	0.193476923076923	0.338584615384615	0.567709166197353	36
"Age at menopause"	"AGRP_CVDI"	"rs4693089"	-0.308505	0.222045	0.164717067309569	36
"Age at menopause"	"AGRP_CVDI"	"rs4879656"	-0.199775	0.38645	0.605191654376546	36
"Age at menopause"	"AGRP_CVDI"	"rs4886238"	0.286016666666667	0.24235	0.237928560143048	36
"Age at menopause"	"AGRP_CVDI"	"rs5762534"	-0.186675	0.36106875	0.605151410056409	36
"Age at menopause"	"AGRP_CVDI"	"rs6856693"	-0.2898375	0.28246875	0.304850597912484	36
"Age at menopause"	"AGRP_CVDI"	"rs6899676"	0.0119608695652174	0.230673913043478	0.958646739284484	36
"Age at menopause"	"AGRP_CVDI"	"rs704795"	0.49861875	0.26281875	0.0578020400636701	36
"Age at menopause"	"AGRP_CVDI"	"rs7259376"	0.125045454545455	0.403718181818182	0.756762854761553	36
"Age at menopause"	"AGRP_CVDI"	"rs763121"	-0.29720625	0.2701875	0.271332121892765	36
"Age at menopause"	"AGRP_CVDI"	"rs8070740"	0.34846	0.33798	0.30253718458874	36
"Age at menopause"	"AGRP_CVDI"	"rs930036"	-0.299921052631579	0.221321052631579	0.175372897048258	36
"Age at menopause"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.0470978714214964	0.0469928162506989	0.316229837939712	36
"Age at menopause"	"CA-125_CVDI"	"rs1046089"	0.0464454545454545	0.271527272727273	0.864182381362832	36
"Age at menopause"	"CA-125_CVDI"	"rs10852344"	0.13018125	0.45440625	0.774505542155765	36
"Age at menopause"	"CA-125_CVDI"	"rs10905065"	0.0607363636363636	0.560918181818182	0.913773384921869	36
"Age at menopause"	"CA-125_CVDI"	"rs10957156"	0.743892857142857	0.547392857142857	0.174154713977403	36
"Age at menopause"	"CA-125_CVDI"	"rs11031006"	0.5109	0.403718181818182	0.205696903904349	36
"Age at menopause"	"CA-125_CVDI"	"rs11070315"	-0.1965	0.4978	0.693037110067263	36
"Age at menopause"	"CA-125_CVDI"	"rs11668344"	-0.138987804878049	0.148573170731707	0.349538991650093	36
"Age at menopause"	"CA-125_CVDI"	"rs12196873"	-0.69511875	0.52809375	0.188080393193988	36
"Age at menopause"	"CA-125_CVDI"	"rs12824058"	-0.701785714285714	0.53055	0.1859180898158	36
"Age at menopause"	"CA-125_CVDI"	"rs13040088"	0.39054375	0.560025	0.485572258927468	36
"Age at menopause"	"CA-125_CVDI"	"rs1411478"	0.0967384615384616	0.571361538461538	0.865551104445266	36
"Age at menopause"	"CA-125_CVDI"	"rs1635515"	-0.14672	0.39562	0.710741118708458	36
"Age at menopause"	"CA-125_CVDI"	"rs16858210"	-0.120707142857143	0.502478571428571	0.810157024775181	36
"Age at menopause"	"CA-125_CVDI"	"rs16991615"	-0.0352806818181818	0.143802272727273	0.806191932118514	36
"Age at menopause"	"CA-125_CVDI"	"rs1713460"	-0.151585714285714	0.567042857142857	0.789217605793216	36
"Age at menopause"	"CA-125_CVDI"	"rs1799949"	0.247028571428571	0.578271428571429	0.669244974779128	36
"Age at menopause"	"CA-125_CVDI"	"rs1800932"	-0.947823529411765	0.490094117647059	0.0531177676782407	36
"Age at menopause"	"CA-125_CVDI"	"rs2004779"	-0.700254545454545	0.657381818181818	0.286777565313531	36
"Age at menopause"	"CA-125_CVDI"	"rs2277339"	0.124238709677419	0.329612903225806	0.706230771213579	36
"Age at menopause"	"CA-125_CVDI"	"rs2283430"	0.1424625	0.3684375	0.69900299643425	36
"Age at menopause"	"CA-125_CVDI"	"rs2720044"	0.491927586206897	0.345568965517241	0.154582742199048	36
"Age at menopause"	"CA-125_CVDI"	"rs349306"	-0.295604347826087	0.350282608695652	0.398723925156216	36
"Age at menopause"	"CA-125_CVDI"	"rs365132"	-0.3848125	0.24235	0.112323012909737	36
"Age at menopause"	"CA-125_CVDI"	"rs4246511"	-0.507327272727273	0.351913636363636	0.149408370963841	36
"Age at menopause"	"CA-125_CVDI"	"rs427394"	-0.0241846153846154	0.526015384615385	0.963328572698744	36
"Age at menopause"	"CA-125_CVDI"	"rs4693089"	0.068775	0.36156	0.849138783627556	36
"Age at menopause"	"CA-125_CVDI"	"rs4879656"	0.0524	0.6288	0.933586496294755	36
"Age at menopause"	"CA-125_CVDI"	"rs4886238"	0.56985	0.349333333333333	0.102837578929637	36
"Age at menopause"	"CA-125_CVDI"	"rs5762534"	0.21615	0.520725	0.678072842974744	36
"Age at menopause"	"CA-125_CVDI"	"rs6856693"	-0.23825625	0.46914375	0.611556155024162	36
"Age at menopause"	"CA-125_CVDI"	"rs6899676"	-0.100813043478261	0.355408695652174	0.7766756678658	36
"Age at menopause"	"CA-125_CVDI"	"rs704795"	0.66564375	0.3684375	0.0708142680003832	36
