"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"rs148339496"	-0.144364925854288	0.0728949065119278	0.0476526656456614	1	"cis"
"ADM_CVDI"	"ADM"	"Coronary heart disease"	"All - Wald ratio"	-0.144364925854288	0.0728949065119278	0.0476526656456614	1	"cis"
"CA-125_CVDI"	"CA-125"	"Coronary heart disease"	"rs11672713"	0.0565487735310896	0.0780969766115231	0.469014148554537	1	"cis"
"CA-125_CVDI"	"CA-125"	"Coronary heart disease"	"All - Wald ratio"	0.0565487735310896	0.0780969766115231	0.469014148554537	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Coronary heart disease"	"rs35550815"	-0.0304909560723514	0.0804072351421189	0.704534434060861	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Coronary heart disease"	"All - Wald ratio"	-0.0304909560723514	0.0804072351421189	0.704534434060861	1	"cis"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"rs4973334"	-0.131308840413318	0.110036739380023	0.232744789250859	1	"cis"
"CCL20_CVDI"	"CCL20"	"Coronary heart disease"	"All - Wald ratio"	-0.131308840413318	0.110036739380023	0.232744789250859	1	"cis"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"rs1634517"	-0.0129130326439073	0.0269768253177174	0.632172470438441	1	"cis"
"CCL3_CVDI"	"CCL3"	"Coronary heart disease"	"All - Wald ratio"	-0.0129130326439073	0.0269768253177174	0.632172470438441	1	"cis"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"rs8064426"	0.0160565306587645	0.03025096877137	0.595573040448218	1	"cis"
"CCL4_CVDI"	"CCL4"	"Coronary heart disease"	"All - Wald ratio"	0.0160565306587645	0.03025096877137	0.595573040448218	1	"cis"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"rs4810485"	-0.00924426719840479	0.0208179461615155	0.65700441341405	1	"cis"
"CD40_CVDI"	"CD40"	"Coronary heart disease"	"All - Wald ratio"	-0.00924426719840479	0.0208179461615155	0.65700441341405	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Coronary heart disease"	"rs4950931"	-0.0118114438185591	0.0174325526237771	0.498056410373105	1	"cis"
