"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Atrial fibrillation"	"ADM_CVDI"	"rs10002890"	-0.430192962542565	0.249716231555051	0.084937855973225	73
"Atrial fibrillation"	"ADM_CVDI"	"rs1009358"	-0.0325077399380805	0.160990712074303	0.839976860882794	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10428132"	0.293929712460064	0.167731629392971	0.079708324477467	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10496971"	0.536376604850214	0.313837375178317	0.0874341112732696	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10741807"	0.111111111111111	0.179698216735254	0.536364018285471	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10753933"	-0.25944170771757	0.172413793103448	0.132385301153598	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10804493"	0.021505376344086	0.209677419354839	0.918308934545483	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10821415"	-0.0121802679658952	0.12911084043849	0.924839375934204	73
"Atrial fibrillation"	"ADM_CVDI"	"rs10873298"	-0.249376558603491	0.27431421446384	0.363302140886898	73
"Atrial fibrillation"	"ADM_CVDI"	"rs11156751"	-0.228094575799722	0.180806675938804	0.207114911830897	73
"Atrial fibrillation"	"ADM_CVDI"	"rs11264280"	-0.0734966592427617	0.0824053452115813	0.372450881005205	73
"Atrial fibrillation"	"ADM_CVDI"	"rs11598047"	0.0487963565387118	0.0904359141184125	0.589494751724582	73
"Atrial fibrillation"	"ADM_CVDI"	"rs11773845"	0.140417457305503	0.0967741935483871	0.146785320227104	73
"Atrial fibrillation"	"ADM_CVDI"	"rs117984853"	0.0700325732899023	0.163680781758958	0.668752543535349	73
"Atrial fibrillation"	"ADM_CVDI"	"rs12245149"	0.270212765957447	0.217021276595745	0.213095714803262	73
"Atrial fibrillation"	"ADM_CVDI"	"rs12604076"	0.372602739726027	0.30958904109589	0.228767490506914	73
"Atrial fibrillation"	"ADM_CVDI"	"rs1278493"	0.38560411311054	0.262210796915167	0.141402507486613	73
"Atrial fibrillation"	"ADM_CVDI"	"rs140185678"	0.290536467751658	0.217600964436407	0.181817422917775	73
"Atrial fibrillation"	"ADM_CVDI"	"rs1458038"	-0.483870967741935	0.251152073732719	0.0540288121346603	73
"Atrial fibrillation"	"ADM_CVDI"	"rs146518726"	-0.0286604361370717	0.201869158878505	0.887099508947872	73
"Atrial fibrillation"	"ADM_CVDI"	"rs147301839"	0.176081730769231	0.311298076923077	0.571640525497745	73
"Atrial fibrillation"	"ADM_CVDI"	"rs1545300"	-0.145161290322581	0.218637992831541	0.506732281216824	73
"Atrial fibrillation"	"ADM_CVDI"	"rs1563304"	0.122670807453416	0.234472049689441	0.60084982743017	73
"Atrial fibrillation"	"ADM_CVDI"	"rs17042059"	0.00248200546041201	0.0379746835443038	0.947887787629249	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2031522"	0.0573394495412844	0.254587155963303	0.821804066636759	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2040862"	0.0461254612546125	0.127306273062731	0.717113780535016	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2106261"	-0.00344827586206897	0.0764367816091954	0.964017413269198	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2274115"	0.160164271047228	0.281314168377823	0.569123346283513	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2288327"	-0.043525571273123	0.149075081610446	0.770308947686611	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2738413"	0.105398457583548	0.1426735218509	0.460065657681978	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2834618"	-0.139830508474576	0.191737288135593	0.465829322474978	73
"Atrial fibrillation"	"ADM_CVDI"	"rs28387148"	0.00134952766531714	0.246963562753036	0.995639996776274	73
"Atrial fibrillation"	"ADM_CVDI"	"rs284277"	-0.303317535545024	0.253554502369668	0.231594456785143	73
"Atrial fibrillation"	"ADM_CVDI"	"rs2860482"	0.144444444444444	0.227777777777778	0.525985322047422	73
"Atrial fibrillation"	"ADM_CVDI"	"rs3176326"	0.52555910543131	0.233226837060703	0.0242323862757273	73
"Atrial fibrillation"	"ADM_CVDI"	"rs337705"	-0.26241134751773	0.186170212765957	0.158680338215289	73
"Atrial fibrillation"	"ADM_CVDI"	"rs34080181"	0.29372197309417	0.239910313901345	0.220839429378895	73
"Atrial fibrillation"	"ADM_CVDI"	"rs35005436"	-0.0441176470588235	0.236928104575163	0.852282515877721	73
"Atrial fibrillation"	"ADM_CVDI"	"rs35569628"	-0.00442477876106195	0.258849557522124	0.98636161188364	73
"Atrial fibrillation"	"ADM_CVDI"	"rs3820888"	0.169590643274854	0.149122807017544	0.255431741642875	73
"Atrial fibrillation"	"ADM_CVDI"	"rs464901"	-0.116141732283465	0.224409448818898	0.604776560090668	73
"Atrial fibrillation"	"ADM_CVDI"	"rs4963776"	-0.0690032858707557	0.153340635268346	0.65271044057584	73
"Atrial fibrillation"	"ADM_CVDI"	"rs55734480"	-0.167883211678832	0.218978102189781	0.443279727088509	73
"Atrial fibrillation"	"ADM_CVDI"	"rs55985730"	0.136101499423299	0.32641291810842	0.676706838595511	73
"Atrial fibrillation"	"ADM_CVDI"	"rs55986665"	0.0854700854700855	0.257834757834758	0.740273099777045	73
"Atrial fibrillation"	"ADM_CVDI"	"rs56201652"	0.00941619585687382	0.214689265536723	0.965016279664114	73
"Atrial fibrillation"	"ADM_CVDI"	"rs60632610"	0.223829787234043	0.122553191489362	0.0677917043374448	73
"Atrial fibrillation"	"ADM_CVDI"	"rs60902112"	0.164044943820225	0.31685393258427	0.604646317469191	73
"Atrial fibrillation"	"ADM_CVDI"	"rs62521286"	-0.198003327787022	0.193843594009983	0.307036916854007	73
"Atrial fibrillation"	"ADM_CVDI"	"rs6462079"	0.143776824034335	0.272532188841202	0.59780541790544	73
"Atrial fibrillation"	"ADM_CVDI"	"rs6560886"	-0.280392156862745	0.274509803921569	0.307051434494697	73
"Atrial fibrillation"	"ADM_CVDI"	"rs6771054"	-0.25601750547046	0.24507658643326	0.296188064115782	73
"Atrial fibrillation"	"ADM_CVDI"	"rs6891790"	-0.0438957475994513	0.152263374485597	0.773126071375193	73
"Atrial fibrillation"	"ADM_CVDI"	"rs6994744"	-0.140740740740741	0.25679012345679	0.58363908539196	73
"Atrial fibrillation"	"ADM_CVDI"	"rs71454237"	-0.0193548387096774	0.214516129032258	0.928107970110021	73
"Atrial fibrillation"	"ADM_CVDI"	"rs7225165"	0.0290076335877863	0.274809160305343	0.915934989199052	73
"Atrial fibrillation"	"ADM_CVDI"	"rs72926475"	0.191800878477306	0.226939970717423	0.398020791842541	73
"Atrial fibrillation"	"ADM_CVDI"	"rs73041705"	0.650112866817156	0.257336343115124	0.0115265819559158	73
"Atrial fibrillation"	"ADM_CVDI"	"rs73366713"	-0.156521739130435	0.161352657004831	0.332016645370841	73
"Atrial fibrillation"	"ADM_CVDI"	"rs74022964"	0.146643109540636	0.125441696113074	0.24239795679907	73
"Atrial fibrillation"	"ADM_CVDI"	"rs74500426"	0.0988056460369164	0.213897937024973	0.644132284063406	73
