"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"rs148339496"	-0.00966393374426789	0.121856866537718	0.936789540236872	1	"cis"
"ADM_CVDI"	"ADM"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.00966393374426789	0.121856866537718	0.936789540236872	1	"cis"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"rs11672713"	0.0370854896883056	0.127780946948089	0.771642529031718	1	"cis"
"CA-125_CVDI"	"CA-125"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0370854896883056	0.127780946948089	0.771642529031718	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Inflammatory bowel disease"	"rs35550815"	0.0640647045816605	0.129715762273902	0.621387206275643	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0640647045816605	0.129715762273902	0.621387206275643	1	"cis"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"rs4973334"	0.458040650554024	0.196326061997704	0.0196449514627434	1	"cis"
"CCL20_CVDI"	"CCL20"	"Inflammatory bowel disease"	"All - Wald ratio"	0.458040650554024	0.196326061997704	0.0196449514627434	1	"cis"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"rs1634517"	-0.074745570733618	0.0490904560179417	0.127856553780512	1	"cis"
"CCL3_CVDI"	"CCL3"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.074745570733618	0.0490904560179417	0.127856553780512	1	"cis"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"rs8064426"	-0.062681624576726	0.0583542284020971	0.282752154716846	1	"cis"
"CCL4_CVDI"	"CCL4"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.062681624576726	0.0583542284020971	0.282752154716846	1	"cis"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"rs4810485"	-0.14296552634303	0.0378863409770688	0.000160949049146682	1	"cis"
"CD40_CVDI"	"CD40"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.14296552634303	0.0378863409770688	0.000160949049146682	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"rs4950931"	-0.051138869563588	0.0312777942484435	0.10205121938791	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.051138869563588	0.0312777942484435	0.10205121938791	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Inflammatory bowel disease"	"rs11579145"	0.27649490926767	0.096921322690992	0.00433390380303218	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Inflammatory bowel disease"	"All - Wald ratio"	0.27649490926767	0.096921322690992	0.00433390380303218	1	"cis"
"CSTB_CVDI"	"CSTB"	"Inflammatory bowel disease"	"rs35285321"	0.01776365711238	0.0341896486588591	0.603368585966628	1	"cis"
"CSTB_CVDI"	"CSTB"	"Inflammatory bowel disease"	"All - Wald ratio"	0.01776365711238	0.0341896486588591	0.603368585966628	1	"cis"
"CTSD_CVDI"	"CTSD"	"Inflammatory bowel disease"	"rs55861089"	0.00210925027628604	0.0703399765533411	0.976077813313867	1	"cis"
"CTSD_CVDI"	"CTSD"	"Inflammatory bowel disease"	"All - Wald ratio"	0.00210925027628604	0.0703399765533411	0.976077813313867	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Inflammatory bowel disease"	"rs2274611"	0.191717949192987	0.14334181509754	0.181063415820101	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Inflammatory bowel disease"	"All - Wald ratio"	0.191717949192987	0.14334181509754	0.181063415820101	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Inflammatory bowel disease"	"rs683544"	0.18621939692788	0.0858987090367428	0.0301666630001963	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Inflammatory bowel disease"	"All - Wald ratio"	0.18621939692788	0.0858987090367428	0.0301666630001963	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Inflammatory bowel disease"	"rs3117604"	-0.0613894748638684	0.0652787579393084	0.347001968418382	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.0613894748638684	0.0652787579393084	0.347001968418382	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Inflammatory bowel disease"	"rs35186877"	-0.474669894714506	0.140530759951749	0.000730963908418244	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.474669894714506	0.140530759951749	0.000730963908418244	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Inflammatory bowel disease"	"rs16850073"	0.00852730798728863	0.0352472996020466	0.808835969237896	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Inflammatory bowel disease"	"All - Wald ratio"	0.00852730798728863	0.0352472996020466	0.808835969237896	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Inflammatory bowel disease"	"rs7898709"	-0.205646286889081	0.121092029942757	0.0894578654399538	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.205646286889081	0.121092029942757	0.0894578654399538	1	"cis"
"ECP_CVDI"	"ECP"	"Inflammatory bowel disease"	"rs147307766"	-0.135591410970193	0.0830670926517572	0.102613779542893	1	"cis"
"ECP_CVDI"	"ECP"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.135591410970193	0.0830670926517572	0.102613779542893	1	"cis"
"EGF_CVDI"	"EGF"	"Inflammatory bowel disease"	"rs2237045"	0.0571768086932318	0.132430398796087	0.665923210832949	1	"cis"
"EGF_CVDI"	"EGF"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0571768086932318	0.132430398796087	0.665923210832949	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Inflammatory bowel disease"	"rs3014874"	0.0458034832750483	0.125979505726341	0.71617252587515	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0458034832750483	0.125979505726341	0.71617252587515	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Inflammatory bowel disease"	"rs4865884"	-0.454309160026058	0.146415094339623	0.00191644271410114	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.454309160026058	0.146415094339623	0.00191644271410114	1	"cis"
"FABP4_CVDI"	"FABP4"	"Inflammatory bowel disease"	"rs77878271"	-0.187439062895629	0.210546574287914	0.373331725704569	1	"cis"
"FABP4_CVDI"	"FABP4"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.187439062895629	0.210546574287914	0.373331725704569	1	"cis"
"FAS_CVDI"	"FAS"	"Inflammatory bowel disease"	"rs982764"	-0.251218785558554	0.0738172920065253	0.000665890352931324	1	"cis"
"FAS_CVDI"	"FAS"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.251218785558554	0.0738172920065253	0.000665890352931324	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Inflammatory bowel disease"	"rs6489536"	0.116756669864471	0.254985754985755	0.647027970596445	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Inflammatory bowel disease"	"All - Wald ratio"	0.116756669864471	0.254985754985755	0.647027970596445	1	"cis"
"FS_CVDI"	"FS"	"Inflammatory bowel disease"	"rs31226"	0.129556083959763	0.13266097750194	0.328769558662212	1	"cis"
"FS_CVDI"	"FS"	"Inflammatory bowel disease"	"All - Wald ratio"	0.129556083959763	0.13266097750194	0.328769558662212	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Inflammatory bowel disease"	"rs1227734"	0.0894537225890699	0.0661425860666847	0.176235357178509	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0894537225890699	0.0661425860666847	0.176235357178509	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Inflammatory bowel disease"	"rs76480089"	0.000166992318525881	0.0511022044088176	0.997392669120062	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Inflammatory bowel disease"	"All - Wald ratio"	0.000166992318525881	0.0511022044088176	0.997392669120062	1	"cis"
"HB-EGF_CVDI"	"HB-EGF"	"Inflammatory bowel disease"	"rs182173533"	-0.252067528845205	0.265924698081932	0.343185136982682	1	"cis"
"HB-EGF_CVDI"	"HB-EGF"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.252067528845205	0.265924698081932	0.343185136982682	1	"cis"
"HGF_CVDI"	"HGF"	"Inflammatory bowel disease"	"rs5745687"	0.0294573190114085	0.167332667332667	0.860262159663499	1	"cis"
"HGF_CVDI"	"HGF"	"Inflammatory bowel disease"	"All - Wald ratio"	0.0294573190114085	0.167332667332667	0.860262159663499	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Inflammatory bowel disease"	"rs2868371"	-0.0212789595585827	0.0568678915135608	0.708268677056928	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.0212789595585827	0.0568678915135608	0.708268677056928	1	"cis"
"IL-18_CVDI"	"IL-18"	"Inflammatory bowel disease"	"rs5744249"	0.231782193142883	0.0907008703618873	0.0106048398947281	1	"cis"
"IL-18_CVDI"	"IL-18"	"Inflammatory bowel disease"	"All - Wald ratio"	0.231782193142883	0.0907008703618873	0.0106048398947281	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Inflammatory bowel disease"	"rs6734238"	-0.0602709710497627	0.0833333333333333	0.469525290141599	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.0602709710497627	0.0833333333333333	0.469525290141599	1	"cis"
"IL-27_CVDI"	"IL-27"	"Inflammatory bowel disease"	"rs4905"	-0.00772149403709423	0.0273037542662116	0.777330369663888	1	"cis"
"IL-27_CVDI"	"IL-27"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.00772149403709423	0.0273037542662116	0.777330369663888	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Inflammatory bowel disease"	"rs12126142"	-0.0187348125265143	0.0178982625078501	0.295219890557273	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.0187348125265143	0.0178982625078501	0.295219890557273	1	"cis"
"IL-8_CVDI"	"IL-8"	"Inflammatory bowel disease"	"rs7655660"	0.602886519792191	0.199893390191898	0.00256099222847846	1	"cis"
"IL-8_CVDI"	"IL-8"	"Inflammatory bowel disease"	"All - Wald ratio"	0.602886519792191	0.199893390191898	0.00256099222847846	1	"cis"
"IL16_CVDI"	"IL16"	"Inflammatory bowel disease"	"rs4778639"	-0.0062563385872911	0.0331699175967456	0.850394703616532	1	"cis"
"IL16_CVDI"	"IL16"	"Inflammatory bowel disease"	"All - Wald ratio"	-0.0062563385872911	0.0331699175967456	0.850394703616532	1	"cis"
"KIM-1_CVDI"	"KIM-1"	"Inflammatory bowel disease"	"rs6555820"	0.0147354327641206	0.0348909657320872	0.672785602702375	1	"cis"
