"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Prostate cancer"	"ADM_CVDI"	"rs10090154"	-0.0368416600033294	0.0442099920039953	0.404656761927286	71
"Prostate cancer"	"ADM_CVDI"	"rs10104918"	0.545133304525476	0.680138175439853	0.422840068556338	71
"Prostate cancer"	"ADM_CVDI"	"rs10486567"	0.0143059469821605	0.0937039527331512	0.878657135274004	71
"Prostate cancer"	"ADM_CVDI"	"rs10774740"	0.0959499408511124	0.129957514823659	0.460321378448186	71
"Prostate cancer"	"ADM_CVDI"	"rs10871102"	-0.0302139379219783	0.477612634074349	0.949559196068872	71
"Prostate cancer"	"ADM_CVDI"	"rs10924871"	0.0670865980437343	0.427100937163927	0.875186259827763	71
"Prostate cancer"	"ADM_CVDI"	"rs10993994"	0.0784454567793887	0.0491465512352797	0.110454449214406	71
"Prostate cancer"	"ADM_CVDI"	"rs111231731"	1.07836892047288	1.21280309736344	0.373920234338305	71
"Prostate cancer"	"ADM_CVDI"	"rs111239916"	-7.4204047891258	3.3469537194707	0.0266188370595722	71
"Prostate cancer"	"ADM_CVDI"	"rs11135766"	-0.0439481858337865	0.0774679885883694	0.570505151740546	71
"Prostate cancer"	"ADM_CVDI"	"rs111727104"	-0.556711213540653	5.19896439741997	0.914724581908366	71
"Prostate cancer"	"ADM_CVDI"	"rs111797017"	-0.579118148943883	0.618020742155381	0.348731330573878	71
"Prostate cancer"	"ADM_CVDI"	"rs111882852"	-0.687443965800004	1.05863637357591	0.516100920258982	71
"Prostate cancer"	"ADM_CVDI"	"rs112342381"	-1.4247773785346	1.41227933135448	0.313046789782446	71
"Prostate cancer"	"ADM_CVDI"	"rs112690319"	0.282516768737241	0.348133566637504	0.417068073927058	71
"Prostate cancer"	"ADM_CVDI"	"rs11327453"	3.28768648273208	2.32328231389238	0.157037956726453	71
"Prostate cancer"	"ADM_CVDI"	"rs114237989"	2.33377786244999	1.60149552295675	0.145047639673205	71
"Prostate cancer"	"ADM_CVDI"	"rs114996020"	-0.107866701485299	0.392988664403456	0.783717388546876	71
"Prostate cancer"	"ADM_CVDI"	"rs115220575"	0.150495177681403	0.635963492782704	0.812935138276955	71
"Prostate cancer"	"ADM_CVDI"	"rs115727679"	-0.665657104881849	1.95557201843358	0.733562869394758	71
"Prostate cancer"	"ADM_CVDI"	"rs11651755"	-0.0688430378736481	0.0518817097018797	0.18453412974806	71
"Prostate cancer"	"ADM_CVDI"	"rs117143212"	1.33808704204573	1.54856159331202	0.387541837751966	71
"Prostate cancer"	"ADM_CVDI"	"rs11923751"	0.74309036866155	0.262854354287742	0.00469857087871924	71
"Prostate cancer"	"ADM_CVDI"	"rs12071839"	0.470839349613912	2.98736356869322	0.874763865340735	71
"Prostate cancer"	"ADM_CVDI"	"rs12285347"	-0.112279255681	0.151907228274294	0.459827797596796	71
"Prostate cancer"	"ADM_CVDI"	"rs12437980"	0.218472434831001	0.163854326123251	0.182422439451736	71
"Prostate cancer"	"ADM_CVDI"	"rs12646476"	6.07312453679559	5.79863303230765	0.294944048694807	71
"Prostate cancer"	"ADM_CVDI"	"rs12795301"	-0.042547292032183	0.06884056238915	0.536538717940085	71
"Prostate cancer"	"ADM_CVDI"	"rs13250634"	1.08538350217077	1.42908827785818	0.447557298702989	71
"Prostate cancer"	"ADM_CVDI"	"rs13383056"	-0.981594472790403	1.42873725062706	0.492059801531107	71
"Prostate cancer"	"ADM_CVDI"	"rs138213197"	-0.000901750783829527	0.0679781360117644	0.98941612745591	71
"Prostate cancer"	"ADM_CVDI"	"rs138423778"	-0.177162227289983	0.870195013071772	0.83867460472817	71
"Prostate cancer"	"ADM_CVDI"	"rs138561972"	-0.0996581292869244	0.878146994296378	0.909644594166345	71
"Prostate cancer"	"ADM_CVDI"	"rs145616016"	-4.32509222896585	5.63042960847316	0.442389874351905	71
"Prostate cancer"	"ADM_CVDI"	"rs145618150"	2.32805640548091	1.94796556376974	0.232039386701996	71
"Prostate cancer"	"ADM_CVDI"	"rs146310536"	0.731320706552392	1.1538998884046	0.526223255960304	71
"Prostate cancer"	"ADM_CVDI"	"rs147152497"	0.00544577563404388	0.00758393270326295	0.472715665037811	71
"Prostate cancer"	"ADM_CVDI"	"rs148169480"	0.593065889062802	0.822702030489504	0.470986004634845	71
"Prostate cancer"	"ADM_CVDI"	"rs149944638"	-0.117770510508675	0.515704432694561	0.819359982671521	71
"Prostate cancer"	"ADM_CVDI"	"rs180981887"	0.0103332819239705	0.0181839891343824	0.569856633752621	71
"Prostate cancer"	"ADM_CVDI"	"rs181437476"	0.0982731462943571	0.178104288271264	0.581103854022527	71
"Prostate cancer"	"ADM_CVDI"	"rs189988491"	14.1520131843542	17.7202558248537	0.424502195702352	71
"Prostate cancer"	"ADM_CVDI"	"rs190014181"	0.00407189061241432	0.00666623839338219	0.541316876502099	71
"Prostate cancer"	"ADM_CVDI"	"rs190033422"	-0.0467760055797092	0.281491319292179	0.868021509768761	71
"Prostate cancer"	"ADM_CVDI"	"rs191184349"	0.00687624740589222	0.0105104806918945	0.512965130459636	71
"Prostate cancer"	"ADM_CVDI"	"rs191590587"	2.17728305217944	1.86347439472069	0.242645548121839	71
"Prostate cancer"	"ADM_CVDI"	"rs1990613"	-0.0823560827454024	0.131021040731322	0.529629670287596	71
"Prostate cancer"	"ADM_CVDI"	"rs201299818"	0.00172677274807249	1.15175742296435	0.998803771721297	71
"Prostate cancer"	"ADM_CVDI"	"rs201772339"	-0.405033472350757	0.697691189019627	0.561554550297568	71
"Prostate cancer"	"ADM_CVDI"	"rs2260801"	-0.251449325976112	0.155060417685269	0.10488439018766	71
"Prostate cancer"	"ADM_CVDI"	"rs2814811"	0.0062894169553247	0.161952486599611	0.969021978610789	71
"Prostate cancer"	"ADM_CVDI"	"rs318997"	-0.175607014914889	2.73166467645383	0.948742728273802	71
"Prostate cancer"	"ADM_CVDI"	"rs324037"	0.379398334676336	0.485999194198227	0.435004666940653	71
"Prostate cancer"	"ADM_CVDI"	"rs4527381"	0.0922018511294727	0.0913152948686124	0.312634854896532	71
"Prostate cancer"	"ADM_CVDI"	"rs4646284"	0.109902067464635	0.0723612622415669	0.128813603174428	71
"Prostate cancer"	"ADM_CVDI"	"rs531744907"	0.394945577931521	0.927323403692769	0.670181861979341	71
"Prostate cancer"	"ADM_CVDI"	"rs554699156"	0.196570472605604	6.61229611041405	0.976283964873271	71
"Prostate cancer"	"ADM_CVDI"	"rs57091959"	0.605015829866233	0.978523319354429	0.536381062818693	71
"Prostate cancer"	"ADM_CVDI"	"rs57439022"	4.85874929861326	1.82646833167291	0.0078097025539649	71
"Prostate cancer"	"ADM_CVDI"	"rs5759167"	-0.0378348054116818	0.0658847473548252	0.565793614513956	71
"Prostate cancer"	"ADM_CVDI"	"rs62295839"	-0.0287772969263633	0.0946330341232332	0.761056607515364	71
"Prostate cancer"	"ADM_CVDI"	"rs6501436"	-0.00326810201707257	0.0686301423585239	0.962019851444415	71
"Prostate cancer"	"ADM_CVDI"	"rs6579000"	0.0127310534643621	0.0751738395038527	0.865517543813486	71
"Prostate cancer"	"ADM_CVDI"	"rs7255"	0.276657971701842	0.145386587169845	0.0570519477960036	71
"Prostate cancer"	"ADM_CVDI"	"rs73728412"	1.76374154402759	6.37095102602273	0.781902066095241	71
"Prostate cancer"	"ADM_CVDI"	"rs7547950"	-0.437580204143635	1.84645242618952	0.812668983413633	71
"Prostate cancer"	"ADM_CVDI"	"rs76765083"	0.0423441165202546	0.0752784293693415	0.57377540363273	71
"Prostate cancer"	"ADM_CVDI"	"rs7679673"	0.00378515462356637	0.0955751542450509	0.968408869978467	71
"Prostate cancer"	"ADM_CVDI"	"rs77559646"	-0.128986755030007	0.114690193511903	0.260735791832084	71
"Prostate cancer"	"ADM_CVDI"	"rs79909092"	-0.558104575896613	0.530059119821407	0.292382218243097	71
"Prostate cancer"	"ADM_CVDI"	"rs9838836"	1.03509450572903	1.35567145531264	0.445147958634665	71
"Prostate cancer"	"ADM_CVDI"	"All - Inverse variance weighted"	0.00536406776048234	0.00423263472422825	0.205043837300985	71
"Prostate cancer"	"AGRP_CVDI"	"rs10090154"	-0.0458473991152544	0.044755794374415	0.305650988197024	71
"Prostate cancer"	"AGRP_CVDI"	"rs10104918"	0.468170300462545	0.680138175439853	0.491235005762702	71
"Prostate cancer"	"AGRP_CVDI"	"rs10486567"	-0.0128753522839444	0.0944192500822592	0.891533819083154	71
