"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Waist-hip ratio"	"ADM_CVDI"	"rs10049088"	-0.3	0.358620689655172	0.402852048826046	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10195252"	-0.16358024691358	0.324074074074074	0.613726075493516	145
"Waist-hip ratio"	"ADM_CVDI"	"rs1045241"	0.0702702702702703	0.610810810810811	0.90841005018873	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10462028"	-0.947089947089947	0.613756613756614	0.12280567822217	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10463416"	-0.635036496350365	0.781021897810219	0.416169834930393	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10487278"	-0.100977198697068	0.586319218241042	0.863262828091102	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10502148"	-0.456521739130435	0.469565217391304	0.330940007555672	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10803236"	-0.844660194174757	1.09708737864078	0.441352389120707	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10817896"	-0.80952380952381	0.896825396825397	0.366709096880455	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10820747"	-0.453874538745387	0.47970479704797	0.344070122928884	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10859557"	-0.478632478632479	0.888888888888889	0.590258451314772	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10919388"	0.129129129129129	0.354354354354354	0.715554273578518	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10923724"	-0.0230547550432277	0.29971181556196	0.938684739206775	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10933"	0.0136986301369863	0.470319634703196	0.976763929240338	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10963067"	2.60765550239234	0.923444976076555	0.00474529257712186	145
"Waist-hip ratio"	"ADM_CVDI"	"rs10992414"	-0.309417040358744	0.600896860986547	0.606605169574225	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11048456"	-0.169590643274854	0.327485380116959	0.604557945714291	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11134029"	1.25874125874126	0.783216783216783	0.108023033771844	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11187533"	-0.975	0.81875	0.23371652249574	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11205773"	-0.304812834224599	0.946524064171123	0.747427014162106	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11592754"	-0.669767441860465	0.697674418604651	0.337055214933676	145
"Waist-hip ratio"	"ADM_CVDI"	"rs11724804"	1.83529411764706	0.652941176470588	0.00494168338205321	145
