"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Insulin secretion"	"ADM_CVDI"	"rs11187144"	0.0191666666666667	0.0866666666666667	0.824972644890565	2
"Insulin secretion"	"ADM_CVDI"	"rs2206734"	0.014375	0.080625	0.858491640144805	2
"Insulin secretion"	"ADM_CVDI"	"All - Inverse variance weighted"	0.0165980097576086	0.059030910029266	0.778576261346171	2
"Insulin secretion"	"AGRP_CVDI"	"rs11187144"	-0.0833333333333333	0.0883333333333333	0.345478272628554	2
"Insulin secretion"	"AGRP_CVDI"	"rs2206734"	0.04	0.0825	0.627783826989789	2
"Insulin secretion"	"AGRP_CVDI"	"All - Inverse variance weighted"	-0.0174601891904739	0.0615230308504064	0.776564239566394	2
"Insulin secretion"	"CA-125_CVDI"	"rs11187144"	-0.134166666666667	0.125	0.283121584448675	2
"Insulin secretion"	"CA-125_CVDI"	"rs2206734"	-0.12125	0.11625	0.296943312737658	2
"Insulin secretion"	"CA-125_CVDI"	"All - Inverse variance weighted"	-0.127240468657837	0.0851265802598587	0.134987328092484	2
"Insulin secretion"	"CASP-8_CVDI"	"rs11187144"	0.0758333333333333	0.105	0.47015786285767	2
"Insulin secretion"	"CASP-8_CVDI"	"rs2206734"	0.08	0.099375	0.420801533381951	2
"Insulin secretion"	"CASP-8_CVDI"	"All - Inverse variance weighted"	0.0780312587608635	0.0721754066060958	0.279637679388107	2
"Insulin secretion"	"CCL20_CVDI"	"rs11187144"	-0.00166666666666667	0.0933333333333333	0.985752818602644	2
"Insulin secretion"	"CCL20_CVDI"	"rs2206734"	-0.04625	0.0875	0.59710278471826	2
"Insulin secretion"	"CCL20_CVDI"	"All - Inverse variance weighted"	-0.0253950103950104	0.0638345053622574	0.690758629913029	2
"Insulin secretion"	"CCL3_CVDI"	"rs11187144"	-0.185	0.0875	0.0344908717639674	2
"Insulin secretion"	"CCL3_CVDI"	"rs2206734"	0.005625	0.081875	0.945226595295987	2
"Insulin secretion"	"CCL3_CVDI"	"All - Inverse variance weighted"	-0.0833637550665107	0.0951024863306221	0.38072156181311	2
"Insulin secretion"	"CCL4_CVDI"	"rs11187144"	-0.19	0.0941666666666667	0.0436226070612879	2
"Insulin secretion"	"CCL4_CVDI"	"rs2206734"	-0.060625	0.0875	0.488399207384847	2
"Insulin secretion"	"CCL4_CVDI"	"All - Inverse variance weighted"	-0.120571178658485	0.0645135065562747	0.0616326598782924	2
"Insulin secretion"	"CD40_CVDI"	"rs11187144"	-0.000833333333333333	0.0933333333333333	0.992876125359064	2
"Insulin secretion"	"CD40_CVDI"	"rs2206734"	0.091875	0.086875	0.290258843181794	2
"Insulin secretion"	"CD40_CVDI"	"All - Inverse variance weighted"	0.0488390666670226	0.0635906117331071	0.442473387321994	2
"Insulin secretion"	"CD40-L_CVDI"	"rs11187144"	0.114166666666667	0.0883333333333333	0.19620037121561	2
"Insulin secretion"	"CD40-L_CVDI"	"rs2206734"	-0.075	0.0825	0.363302140886898	2
"Insulin secretion"	"CD40-L_CVDI"	"All - Inverse variance weighted"	0.0131315063934971	0.0943630270475828	0.889324155481168	2
"Insulin secretion"	"CHI3L1_CVDI"	"rs11187144"	0.0375	0.08	0.639248343034235	2
"Insulin secretion"	"CHI3L1_CVDI"	"rs2206734"	-0.0125	0.0725	0.863112229226665	2
"Insulin secretion"	"CHI3L1_CVDI"	"All - Inverse variance weighted"	0.0100469168900804	0.0537215539791088	0.851646238179803	2
"Insulin secretion"	"CSF-1_CVDI"	"rs11187144"	0.0641666666666667	0.0933333333333333	0.491767700760523	2
"Insulin secretion"	"CSF-1_CVDI"	"rs2206734"	0.05625	0.0875	0.520316800507367	2
"Insulin secretion"	"CSF-1_CVDI"	"All - Inverse variance weighted"	0.0599532224532225	0.0638345053622574	0.347629234925568	2
"Insulin secretion"	"CSTB_CVDI"	"rs11187144"	0.0666666666666667	0.0816666666666667	0.414313404333337	2
