"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"rs11042731"	-0.103896103896104	0.149350649350649	0.486646683566024	1	"cis"
"ADM_CVDI"	"ADM"	"Insulin secretion"	"All - Wald ratio"	-0.103896103896104	0.149350649350649	0.486646683566024	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Insulin secretion"	"rs1045485"	-0.00295336787564767	0.16580310880829	0.98578843278456	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Insulin secretion"	"All - Wald ratio"	-0.00295336787564767	0.16580310880829	0.98578843278456	1	"cis"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"rs4973334"	-0.114810562571757	0.26406429391504	0.663720229645602	1	"cis"
"CCL20_CVDI"	"CCL20"	"Insulin secretion"	"All - Wald ratio"	-0.114810562571757	0.26406429391504	0.663720229645602	1	"cis"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"rs1634517"	-0.0244206329429355	0.0598056316969848	0.683028970338516	1	"cis"
"CCL3_CVDI"	"CCL3"	"Insulin secretion"	"All - Wald ratio"	-0.0244206329429355	0.0598056316969848	0.683028970338516	1	"cis"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"rs8064426"	-0.054707089126966	0.0729427855026214	0.453254704753736	1	"cis"
"CCL4_CVDI"	"CCL4"	"Insulin secretion"	"All - Wald ratio"	-0.054707089126966	0.0729427855026214	0.453254704753736	1	"cis"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"rs4810485"	-0.0119641076769691	0.0438683948155533	0.785062868547559	1	"cis"
"CD40_CVDI"	"CD40"	"Insulin secretion"	"All - Wald ratio"	-0.0119641076769691	0.0438683948155533	0.785062868547559	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"rs7541061"	0.038541357841684	0.0355766380077083	0.278660494899244	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Insulin secretion"	"All - Wald ratio"	0.038541357841684	0.0355766380077083	0.278660494899244	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Insulin secretion"	"rs11579145"	-0.0048460661345496	0.119726339794755	0.967713488729813	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Insulin secretion"	"All - Wald ratio"	-0.0048460661345496	0.119726339794755	0.967713488729813	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"rs2274611"	0.322307039864292	0.169635284139101	0.0574331196320036	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Insulin secretion"	"All - Wald ratio"	0.322307039864292	0.169635284139101	0.0574331196320036	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"rs3117604"	0.130557515878617	0.0952717007762879	0.170571316384161	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Insulin secretion"	"All - Wald ratio"	0.130557515878617	0.0952717007762879	0.170571316384161	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"rs7898709"	-0.215763980625275	0.145310435931308	0.137583964946946	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Insulin secretion"	"All - Wald ratio"	-0.215763980625275	0.145310435931308	0.137583964946946	1	"cis"
"EGF_CVDI"	"EGF"	"Insulin secretion"	"rs10029654"	-0.137404580152672	0.16030534351145	0.391365938307552	1	"cis"
"EGF_CVDI"	"EGF"	"Insulin secretion"	"All - Wald ratio"	-0.137404580152672	0.16030534351145	0.391365938307552	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Insulin secretion"	"rs1560832"	-0.0856954515491101	0.14502307185234	0.554581334468169	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Insulin secretion"	"All - Wald ratio"	-0.0856954515491101	0.14502307185234	0.554581334468169	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Insulin secretion"	"rs4451015"	-0.090702947845805	0.18140589569161	0.617075077451974	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Insulin secretion"	"All - Wald ratio"	-0.090702947845805	0.18140589569161	0.617075077451974	1	"cis"
"FAS_CVDI"	"FAS"	"Insulin secretion"	"rs982764"	0.00897226753670473	0.0856443719412724	0.916564739252532	1	"cis"
"FAS_CVDI"	"FAS"	"Insulin secretion"	"All - Wald ratio"	0.00897226753670473	0.0856443719412724	0.916564739252532	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"rs6489536"	0.0797720797720798	0.313390313390313	0.799074192526507	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"Insulin secretion"	"All - Wald ratio"	0.0797720797720798	0.313390313390313	0.799074192526507	1	"cis"
"FS_CVDI"	"FS"	"Insulin secretion"	"rs31226"	0.124127230411171	0.155159038013964	0.423710797166793	1	"cis"
"FS_CVDI"	"FS"	"Insulin secretion"	"All - Wald ratio"	0.124127230411171	0.155159038013964	0.423710797166793	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Insulin secretion"	"rs1054564"	0.0872885979268958	0.0927441352973268	0.346614432503051	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"Insulin secretion"	"All - Wald ratio"	0.0872885979268958	0.0927441352973268	0.346614432503051	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"Insulin secretion"	"rs17741681"	0.05005005005005	0.0583917250583917	0.391365938307552	1	"cis"
