"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Primary biliary cirrhosis"	"rs4253238"	-0.194775437511981	0.298400979540904	0.513929999398906	3	"pan"
"ADM_CVDI"	"ADM"	"Primary biliary cirrhosis"	"rs7104093"	0.0649499402948309	0.231561247517135	0.779103829397753	3	"pan"
"ADM_CVDI"	"ADM"	"Primary biliary cirrhosis"	"rs7558405"	0.309358579875423	0.584737454151511	0.596766933697508	3	"pan"
"ADM_CVDI"	"ADM"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	-0.00217548952991792	0.174594973382373	0.990058450366467	3	"pan"
"AGRP_CVDI"	"AGRP"	"Primary biliary cirrhosis"	"rs6740315"	1.20899970162532	0.49740260409004	0.01507276424542	1	"pan"
"AGRP_CVDI"	"AGRP"	"Primary biliary cirrhosis"	"All - Wald ratio"	1.20899970162532	0.49740260409004	0.01507276424542	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Primary biliary cirrhosis"	"rs17468277"	0.0712722155804056	0.246922259731876	0.772855101368212	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Primary biliary cirrhosis"	"All - Wald ratio"	0.0712722155804056	0.246922259731876	0.772855101368212	1	"pan"
"CCL20_CVDI"	"CCL20"	"Primary biliary cirrhosis"	"rs2063021"	0.950134924716152	0.36463185722956	0.0091676676018605	2	"pan"
"CCL20_CVDI"	"CCL20"	"Primary biliary cirrhosis"	"rs742493"	0.829346375440977	0.33477834816381	0.0132380607828935	2	"pan"
"CCL20_CVDI"	"CCL20"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	0.884594307869654	0.246603787116828	0.000334366429121027	2	"pan"
"CCL3_CVDI"	"CCL3"	"Primary biliary cirrhosis"	"rs1634508"	-0.0997848802743955	0.0953135023024512	0.295140016995417	3	"pan"
"CCL3_CVDI"	"CCL3"	"Primary biliary cirrhosis"	"rs4543123"	0.27496887896697	0.515676485726238	0.593881482011437	3	"pan"
"CCL3_CVDI"	"CCL3"	"Primary biliary cirrhosis"	"rs653178"	2.46108607049242	0.535418080955932	4.29505099582872e-06	3	"pan"
"CCL3_CVDI"	"CCL3"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	-0.011633163454423	0.30960907250547	0.970027564472553	3	"pan"
"CCL4_CVDI"	"CCL4"	"Primary biliary cirrhosis"	"rs4833095"	0.250322788758946	0.486354868833738	0.606768510932857	2	"pan"
"CCL4_CVDI"	"CCL4"	"Primary biliary cirrhosis"	"rs8064426"	0.015094315725751	0.115506824607567	0.896029249597783	2	"pan"
"CCL4_CVDI"	"CCL4"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	0.0276537092301505	0.112380939140667	0.805627139673946	2	"pan"
"CD40_CVDI"	"CD40"	"Primary biliary cirrhosis"	"rs4801216"	0.222702522346204	0.361785781254833	0.538181916416726	2	"pan"
"CD40_CVDI"	"CD40"	"Primary biliary cirrhosis"	"rs4810485"	-0.184059164075825	0.0776360832977169	0.0177499186995554	2	"pan"
"CD40_CVDI"	"CD40"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	-0.166152607529885	0.0834449301713712	0.0464627725322766	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Primary biliary cirrhosis"	"rs1260326"	1.5599484284883	0.429536207905843	0.000281555796453535	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Primary biliary cirrhosis"	"rs339969"	0.198514833250008	0.433579402925473	0.647059376385405	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Primary biliary cirrhosis"	"rs7541061"	-0.160430484836749	0.0630105172413169	0.0108936914643391	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	-0.117652447587825	0.175877428723075	0.503530124184807	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Primary biliary cirrhosis"	"rs11579145"	0.223607258570589	0.189124055205337	0.237074336782325	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Primary biliary cirrhosis"	"All - Wald ratio"	0.223607258570589	0.189124055205337	0.237074336782325	1	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"rs10401969"	0.365995996896116	0.583022015125382	0.530163312237535	4	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"rs10860794"	-0.0648564332376551	0.221716392801295	0.76988922903153	4	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"rs1260326"	1.74506889072979	0.480509650299733	0.000281555796453535	4	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"rs838133"	0.201885276313883	0.50708695244206	0.690536181520637	4	"pan"
"CTSD_CVDI"	"CTSD"	"Primary biliary cirrhosis"	"All - Inverse variance weighted"	0.257123494651579	0.352510605940407	0.465753099538531	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Primary biliary cirrhosis"	"rs1133330"	-0.290867192268171	0.512389092555515	0.570260025336875	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Primary biliary cirrhosis"	"rs17685390"	-1.12872800853684	0.48302056742	0.0194489884878698	8	"pan"
