"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"HbA1C"	"rs11042731"	0.032430113106256	0.0274408649360628	0.237277851868278	1	"cis"
"ADM_CVDI"	"ADM"	"HbA1C"	"All - Wald ratio"	0.032430113106256	0.0274408649360628	0.237277851868278	1	"cis"
"CA-125_CVDI"	"CA-125"	"HbA1C"	"rs7257770"	-0.0815459665552809	0.0419055661464638	0.0516612330214306	1	"cis"
"CA-125_CVDI"	"CA-125"	"HbA1C"	"All - Wald ratio"	-0.0815459665552809	0.0419055661464638	0.0516612330214306	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"HbA1C"	"rs1045485"	0.00199052906271958	0.0268721423467143	0.940951444465206	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"HbA1C"	"All - Wald ratio"	0.00199052906271958	0.0268721423467143	0.940951444465206	1	"cis"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"rs4973334"	0	0.0463123667692449	1	1	"cis"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"All - Wald ratio"	0	0.0463123667692449	1	1	"cis"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"rs1634517"	-0.00478659493028755	0.0105305088466326	0.649436283726755	1	"cis"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"All - Wald ratio"	-0.00478659493028755	0.0105305088466326	0.649436283726755	1	"cis"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"rs8064426"	0.00788135167983568	0.0113841746486515	0.488744120386507	1	"cis"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"All - Wald ratio"	0.00788135167983568	0.0113841746486515	0.488744120386507	1	"cis"
"CD40_CVDI"	"CD40"	"HbA1C"	"rs4810485"	0.0107246451195779	0.00689441471972864	0.119813814205544	1	"cis"
"CD40_CVDI"	"CD40"	"HbA1C"	"All - Wald ratio"	0.0107246451195779	0.00689441471972864	0.119813814205544	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"rs7541061"	-0.00227792534304701	0.00654903536126017	0.727970796961297	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"All - Wald ratio"	-0.00227792534304701	0.00654903536126017	0.727970796961297	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"HbA1C"	"rs11579145"	0.0240928916770449	0.0208074973574478	0.246906995624742	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"HbA1C"	"All - Wald ratio"	0.0240928916770449	0.0208074973574478	0.246906995624742	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"HbA1C"	"rs2274611"	0.00814614311079048	0.0293261151988457	0.78118295086715	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"HbA1C"	"All - Wald ratio"	0.00814614311079048	0.0293261151988457	0.78118295086715	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"HbA1C"	"rs3117604"	-0.0122002434084118	0.0149114086102811	0.41325337549364	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"HbA1C"	"All - Wald ratio"	-0.0122002434084118	0.0149114086102811	0.41325337549364	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"HbA1C"	"rs7898709"	0.000845821464343635	0.0245288224659654	0.972492190799539	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"HbA1C"	"All - Wald ratio"	0.000845821464343635	0.0245288224659654	0.972492190799539	1	"cis"
"EGF_CVDI"	"EGF"	"HbA1C"	"rs10029654"	-0.0806468167968257	0.0278598094389034	0.00379476516759274	1	"cis"
"EGF_CVDI"	"EGF"	"HbA1C"	"All - Wald ratio"	-0.0806468167968257	0.0278598094389034	0.00379476516759274	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"HbA1C"	"rs1560832"	0.00506489267112563	0.0253244633556282	0.841480581121794	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"HbA1C"	"All - Wald ratio"	0.00506489267112563	0.0253244633556282	0.841480581121794	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"HbA1C"	"rs4451015"	-0.0116151809253176	0.0319417475446234	0.716129568855565	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"HbA1C"	"All - Wald ratio"	-0.0116151809253176	0.0319417475446234	0.716129568855565	1	"cis"
"FAS_CVDI"	"FAS"	"HbA1C"	"rs982764"	0.00156677042864959	0.0164510895008207	0.924125711867492	1	"cis"
"FAS_CVDI"	"FAS"	"HbA1C"	"All - Wald ratio"	0.00156677042864959	0.0164510895008207	0.924125711867492	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"HbA1C"	"rs6489536"	0.00273626858336808	0.0547253716673617	0.960122388323255	1	"cis"
"FGF-23_CVDI"	"FGF-23"	"HbA1C"	"All - Wald ratio"	0.00273626858336808	0.0547253716673617	0.960122388323255	1	"cis"
"FS_CVDI"	"FS"	"HbA1C"	"rs31226"	-0.0417254424163561	0.0268234986962289	0.119813814205544	1	"cis"
"FS_CVDI"	"FS"	"HbA1C"	"All - Wald ratio"	-0.0417254424163561	0.0268234986962289	0.119813814205544	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"HbA1C"	"rs1054564"	0.0392974743356055	0.0136231244363432	0.00391892118188704	1	"cis"
"GDF-15_CVDI"	"GDF-15"	"HbA1C"	"All - Wald ratio"	0.0392974743356055	0.0136231244363432	0.00391892118188704	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"HbA1C"	"rs17741681"	-0.00608881387470195	0.00993438053240845	0.539940330191881	1	"cis"
"Gal-3_CVDI"	"Gal-3"	"HbA1C"	"All - Wald ratio"	-0.00608881387470195	0.00993438053240845	0.539940330191881	1	"cis"
"HGF_CVDI"	"HGF"	"HbA1C"	"rs5745687"	0.0211083576431252	0.0335814780686083	0.529629670287596	1	"cis"
"HGF_CVDI"	"HGF"	"HbA1C"	"All - Wald ratio"	0.0211083576431252	0.0335814780686083	0.529629670287596	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"HbA1C"	"rs2868371"	-0.00840271454735081	0.0117638003662911	0.475050524053953	1	"cis"
"HSP_27_CVDI"	"HSP_27"	"HbA1C"	"All - Wald ratio"	-0.00840271454735081	0.0117638003662911	0.475050524053953	1	"cis"
"IL-18_CVDI"	"IL-18"	"HbA1C"	"rs5744258"	-0.0132962197429008	0.0177282929905343	0.453254704753736	1	"cis"
"IL-18_CVDI"	"IL-18"	"HbA1C"	"All - Wald ratio"	-0.0132962197429008	0.0177282929905343	0.453254704753736	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"HbA1C"	"rs6734238"	0.00941598306629605	0.0169487695193329	0.578514721507944	1	"cis"
"IL-1ra_CVDI"	"IL-1ra"	"HbA1C"	"All - Wald ratio"	0.00941598306629605	0.0169487695193329	0.578514721507944	1	"cis"
"IL-27_CVDI"	"IL-27"	"HbA1C"	"rs4905"	0.000570072872985427	0.00598576516634698	0.924125711867492	1	"cis"
"IL-27_CVDI"	"IL-27"	"HbA1C"	"All - Wald ratio"	0.000570072872985427	0.00598576516634698	0.924125711867492	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"HbA1C"	"rs4129267"	-0.00803791419823996	0.00321516567929599	0.0124193306515523	1	"cis"
"IL-6RA_CVDI"	"IL-6RA"	"HbA1C"	"All - Wald ratio"	-0.00803791419823996	0.00321516567929599	0.0124193306515523	1	"cis"
"IL-8_CVDI"	"IL-8"	"HbA1C"	"rs7655660"	-0.0624586851156653	0.0563152078911736	0.267390966262006	1	"cis"
"IL-8_CVDI"	"IL-8"	"HbA1C"	"All - Wald ratio"	-0.0624586851156653	0.0563152078911736	0.267390966262006	1	"cis"
