"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"rs148339496"	0.00322453282838326	0.0870406189555126	0.970448089487667	4	"pan"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"rs4862669"	0.218299404679282	0.111007462686567	0.0492375253394255	4	"pan"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"rs6734769"	-0.0267034947096292	0.152715271527153	0.861191172960299	4	"pan"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"rs9264664"	-1.12934502441347	0.216133942161339	1.73958484793044e-07	4	"pan"
"ADM_CVDI"	"ADM"	"Schizophrenia"	"All - Inverse variance weighted"	-0.0258798774931894	0.193043922742477	0.893353453225182	4	"pan"
"AGRP_CVDI"	"AGRP"	"Schizophrenia"	"rs4894192"	-0.066061026196503	0.190690690690691	0.729019384673651	1	"pan"
"AGRP_CVDI"	"AGRP"	"Schizophrenia"	"All - Wald ratio"	-0.066061026196503	0.190690690690691	0.729019384673651	1	"pan"
"CA-125_CVDI"	"CA-125"	"Schizophrenia"	"rs11672713"	-0.0758764759790559	0.0907016543069025	0.402845516762661	2	"pan"
"CA-125_CVDI"	"CA-125"	"Schizophrenia"	"rs62193063"	-0.00463766002369336	0.0351848544382925	0.895135827540385	2	"pan"
"CA-125_CVDI"	"CA-125"	"Schizophrenia"	"All - Inverse variance weighted"	-0.0139555679972373	0.0328031893178251	0.670520859280525	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"Schizophrenia"	"rs35550815"	-0.0217114353723412	0.0930232558139535	0.815452420219568	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Schizophrenia"	"All - Wald ratio"	-0.0217114353723412	0.0930232558139535	0.815452420219568	1	"pan"
"CCL20_CVDI"	"CCL20"	"Schizophrenia"	"rs4973334"	-0.259502011589313	0.140068886337543	0.0639290704815932	2	"pan"
