"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Fasting glucose"	"ADM_CVDI"	"rs10974438"	0.488147627368421	0.411273985263158	0.235260799770933	16
"Fasting glucose"	"ADM_CVDI"	"rs11195502"	0.0959822331428571	0.375582651428571	0.798294040471984	16
"Fasting glucose"	"ADM_CVDI"	"rs11558471"	-0.123395449655172	0.271973644137931	0.650042100820665	16
"Fasting glucose"	"ADM_CVDI"	"rs11603334"	-0.80332956	0.441354975652174	0.0687370960271857	16
"Fasting glucose"	"ADM_CVDI"	"rs11605924"	0.199172618181818	0.331954363636364	0.548506235500147	16
"Fasting glucose"	"ADM_CVDI"	"rs11708067"	-0.0232368054545455	0.411623410909091	0.954982041323893	16
"Fasting glucose"	"ADM_CVDI"	"rs1514895"	0.087635952	0.405316278	0.828819213786263	16
"Fasting glucose"	"ADM_CVDI"	"rs2191349"	0.114761365714286	0.263429498571429	0.663095357905568	16
"Fasting glucose"	"ADM_CVDI"	"rs2727270"	0.539900061428571	0.38340729	0.159082731015139	16
"Fasting glucose"	"ADM_CVDI"	"rs2908282"	-0.288696560625	0.155188665	0.0628439253459835	16
"Fasting glucose"	"ADM_CVDI"	"rs4869272"	-0.098590446	0.394361784	0.802587348634153	16
"Fasting glucose"	"ADM_CVDI"	"rs560887"	0.266405065352113	0.113145008450704	0.0185453753983831	16
"Fasting glucose"	"ADM_CVDI"	"rs6113722"	-0.464261888571429	0.431224525714286	0.281653237272865	16
"Fasting glucose"	"ADM_CVDI"	"rs7173964"	-0.416270772	0.368801298	0.25901897778585	16
"Fasting glucose"	"ADM_CVDI"	"rs780093"	0.06618340125	0.23506518375	0.778285977975897	16
"Fasting glucose"	"ADM_CVDI"	"rs983309"	0.185009232	0.382190124	0.628331625886907	16
"Fasting glucose"	"ADM_CVDI"	"All - Inverse variance weighted"	0.0437598849236063	0.0728768323758033	0.548197314467343	16
"Fasting glucose"	"AGRP_CVDI"	"rs10974438"	0.403586621052632	0.418961349473684	0.335395612496906	16
"Fasting glucose"	"AGRP_CVDI"	"rs11195502"	-0.171098763428571	0.381842362285714	0.654090098238621	16
"Fasting glucose"	"AGRP_CVDI"	"rs11558471"	-0.123395449655172	0.277010193103448	0.6559913014064	16
"Fasting glucose"	"AGRP_CVDI"	"rs11603334"	-0.184162507826087	0.447705406956522	0.680817731268166	16
"Fasting glucose"	"AGRP_CVDI"	"rs11605924"	-0.308717558181818	0.338593450909091	0.361892593456348	16
"Fasting glucose"	"AGRP_CVDI"	"rs11708067"	0.431540672727273	0.418262498181818	0.302191107206298	16
"Fasting glucose"	"AGRP_CVDI"	"rs1514895"	-0.010954494	0.412619274	0.978819712169529	16
"Fasting glucose"	"AGRP_CVDI"	"rs2191349"	0.213873454285714	0.268645924285714	0.425964321792677	16
"Fasting glucose"	"AGRP_CVDI"	"rs2727270"	-0.451220824285714	0.388623715714286	0.245611878073166	16
"Fasting glucose"	"AGRP_CVDI"	"rs2908282"	-0.35373886875	0.15747085125	0.0246798823233017	16
"Fasting glucose"	"AGRP_CVDI"	"rs4869272"	0.525815712	0.40166478	0.190503558311904	16
"Fasting glucose"	"AGRP_CVDI"	"rs560887"	0.258176337464789	0.115202190422535	0.025021448575603	16
"Fasting glucose"	"AGRP_CVDI"	"rs6113722"	-0.537291848571429	0.439918568571429	0.221955848382721	16
"Fasting glucose"	"AGRP_CVDI"	"rs7173964"	0.080332956	0.372452796	0.829232300767293	16
"Fasting glucose"	"AGRP_CVDI"	"rs780093"	-0.47697692625	0.23734737	0.044471911695019	16
"Fasting glucose"	"AGRP_CVDI"	"rs983309"	0.628057656	0.387058788	0.104666061597463	16
"Fasting glucose"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.001128209019746	0.0857393900171687	0.98950127145475	16
"Fasting glucose"	"CA-125_CVDI"	"rs10974438"	-0.261370383157895	0.58423968	0.654609072682014	16
"Fasting glucose"	"CA-125_CVDI"	"rs11195502"	0.116847936	0.542508274285714	0.829467463683656	16
"Fasting glucose"	"CA-125_CVDI"	"rs11558471"	-0.191388860689655	0.397887368275862	0.630507502249952	16
"Fasting glucose"	"CA-125_CVDI"	"rs11603334"	0.508034504347826	0.631867914782609	0.421385366512135	16
"Fasting glucose"	"CA-125_CVDI"	"rs11605924"	0.833205452727273	0.484653370909091	0.0855819504743656	16
"Fasting glucose"	"CA-125_CVDI"	"rs11708067"	-0.989224003636364	0.614115572727273	0.1072209640703	16
"Fasting glucose"	"CA-125_CVDI"	"rs1514895"	-0.52946721	0.591542676	0.370754091111684	16
"Fasting glucose"	"CA-125_CVDI"	"rs2191349"	0.813762411428572	0.386015502857143	0.0350216392634119	16
"Fasting glucose"	"CA-125_CVDI"	"rs2727270"	-0.422530482857143	0.524250784285714	0.420260061198275	16
"Fasting glucose"	"CA-125_CVDI"	"rs2908282"	0.259028139375	0.229359718125	0.258748852647854	16
"Fasting glucose"	"CA-125_CVDI"	"rs4869272"	1.018767942	0.573285186	0.0755567128940643	16
"Fasting glucose"	"CA-125_CVDI"	"rs560887"	-0.0555439132394366	0.16663173971831	0.738882680363527	16
"Fasting glucose"	"CA-125_CVDI"	"rs6113722"	-1.11631510285714	0.598150148571429	0.0620023315338909	16
"Fasting glucose"	"CA-125_CVDI"	"rs7173964"	-0.916525998	0.533118708	0.0855819504743656	16
"Fasting glucose"	"CA-125_CVDI"	"rs780093"	-0.16431741	0.337763565	0.626622284221623	16
"Fasting glucose"	"CA-125_CVDI"	"rs983309"	0.272645184	0.550159032	0.620194138657218	16
"Fasting glucose"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.0194133371976472	0.119657318943485	0.871115981257238	16
"Fasting glucose"	"CASP-8_CVDI"	"rs10974438"	0.638051229473684	0.503522355789474	0.205092518143828	16
"Fasting glucose"	"CASP-8_CVDI"	"rs11195502"	-0.502863438857143	0.461132033142857	0.275493949381897	16
"Fasting glucose"	"CASP-8_CVDI"	"rs11558471"	0.00503654896551724	0.329893957241379	0.987819029529059	16
"Fasting glucose"	"CASP-8_CVDI"	"rs11603334"	-0.114307763478261	0.542961876521739	0.833256914830536	16
"Fasting glucose"	"CASP-8_CVDI"	"rs11605924"	-0.398345236363636	0.404984323636364	0.325308999731375	16
"Fasting glucose"	"CASP-8_CVDI"	"rs11708067"	0.461416565454546	0.497931545454545	0.354099629463961	16
"Fasting glucose"	"CASP-8_CVDI"	"rs1514895"	0.233695872	0.489300732	0.632926430816655	16
"Fasting glucose"	"CASP-8_CVDI"	"rs2191349"	0.357325161428571	0.320810181428571	0.265355926695558	16
"Fasting glucose"	"CASP-8_CVDI"	"rs2727270"	-0.0521642571428571	0.477302952857143	0.9129727813132	16
"Fasting glucose"	"CASP-8_CVDI"	"rs2908282"	-0.00684655875	0.185998179375	0.97063664735699	16
"Fasting glucose"	"CASP-8_CVDI"	"rs4869272"	-0.452785752	0.478346238	0.34386054418064	16
"Fasting glucose"	"CASP-8_CVDI"	"rs560887"	0.066858414084507	0.137831192112676	0.627623409779307	16
"Fasting glucose"	"CASP-8_CVDI"	"rs6113722"	-0.719866748571429	0.528597805714286	0.173247720376461	16
"Fasting glucose"	"CASP-8_CVDI"	"rs7173964"	0.74855709	0.449134254	0.0955807045456294	16
"Fasting glucose"	"CASP-8_CVDI"	"rs780093"	-0.16203522375	0.2875554675	0.573099862895206	16
"Fasting glucose"	"CASP-8_CVDI"	"rs983309"	0.3042915	0.469826076	0.517199450818068	16
"Fasting glucose"	"CASP-8_CVDI"	"All - Inverse variance weighted"	0.0333366016319911	0.0788807600917721	0.672572395231389	16
"Fasting glucose"	"CCL20_CVDI"	"rs10974438"	0.242151972631579	0.445867124210526	0.587058578578781	16
"Fasting glucose"	"CCL20_CVDI"	"rs11195502"	0.342197526857143	0.404794635428571	0.397909410228383	16
"Fasting glucose"	"CCL20_CVDI"	"rs11558471"	-0.0906578813793103	0.294638114482759	0.75831647352629	16
"Fasting glucose"	"CCL20_CVDI"	"rs11603334"	1.13672720347826	0.479457563478261	0.0177467072998718	16
"Fasting glucose"	"CCL20_CVDI"	"rs11605924"	0.570961505454545	0.361830256363636	0.114569825166652	16
"Fasting glucose"	"CCL20_CVDI"	"rs11708067"	-0.431540672727273	0.448138390909091	0.335566110230856	16
"Fasting glucose"	"CCL20_CVDI"	"rs1514895"	-0.102241944	0.43817976	0.815502576593791	16
"Fasting glucose"	"CCL20_CVDI"	"rs2191349"	0.0599888957142857	0.286903414285714	0.8343772713561	16
"Fasting glucose"	"CCL20_CVDI"	"rs2727270"	-1.03806871714286	0.41992227	0.0134340842314831	16
"Fasting glucose"	"CCL20_CVDI"	"rs2908282"	-0.051349190625	0.165458503125	0.756298745303894	16
"Fasting glucose"	"CCL20_CVDI"	"rs4869272"	-0.083984454	0.423573768	0.842829236049693	16
"Fasting glucose"	"CCL20_CVDI"	"rs560887"	0.077144323943662	0.123430918309859	0.531971058097401	16
"Fasting glucose"	"CCL20_CVDI"	"rs6113722"	-0.40166478	0.464261888571429	0.386946290293211	16
"Fasting glucose"	"CCL20_CVDI"	"rs7173964"	0.259256358	0.398013282	0.5148037045873	16
"Fasting glucose"	"CCL20_CVDI"	"rs780093"	-0.34917449625	0.25332267375	0.168086495435629	16
"Fasting glucose"	"CCL20_CVDI"	"rs983309"	0.160665912	0.411402108	0.696142795038037	16
"Fasting glucose"	"CCL20_CVDI"	"All - Inverse variance weighted"	0.00852728675085108	0.0812572318005429	0.916421926182014	16
"Fasting glucose"	"CCL3_CVDI"	"rs10974438"	-0.134528873684211	0.415117667368421	0.745881954511451	16
"Fasting glucose"	"CCL3_CVDI"	"rs11195502"	0.164839052571429	0.379755792	0.664240562311863	16
"Fasting glucose"	"CCL3_CVDI"	"rs11558471"	-0.385295995862069	0.277010193103448	0.164252995736297	16
"Fasting glucose"	"CCL3_CVDI"	"rs11603334"	-0.377850662608696	0.447705406956522	0.398685258344385	16
"Fasting glucose"	"CCL3_CVDI"	"rs11605924"	-0.325315276363636	0.338593450909091	0.33666062732208	16
"Fasting glucose"	"CCL3_CVDI"	"rs11708067"	-0.826566365454546	0.418262498181818	0.0481332081474505	16
"Fasting glucose"	"CCL3_CVDI"	"rs1514895"	-0.277513848	0.408967776	0.497409451259859	16
"Fasting glucose"	"CCL3_CVDI"	"rs2191349"	0.216481667142857	0.268645924285714	0.420343620956996	16
"Fasting glucose"	"CCL3_CVDI"	"rs2727270"	-0.5477247	0.386015502857143	0.155922655948555	16
"Fasting glucose"	"CCL3_CVDI"	"rs2908282"	0.00228218625	0.156329758125	0.988352463924111	16
"Fasting glucose"	"CCL3_CVDI"	"rs4869272"	-0.142408422	0.398013282	0.720494363806918	16
"Fasting glucose"	"CCL3_CVDI"	"rs560887"	-0.079201505915493	0.115202190422535	0.491767700760523	16
"Fasting glucose"	"CCL3_CVDI"	"rs6113722"	-0.789419091428571	0.43817976	0.0716103606175433	16
"Fasting glucose"	"CCL3_CVDI"	"rs7173964"	0.306725832	0.372452796	0.410206998692259	16
"Fasting glucose"	"CCL3_CVDI"	"rs780093"	-0.14377773375	0.23734737	0.54466800447112	16
"Fasting glucose"	"CCL3_CVDI"	"rs983309"	0.421139436	0.387058788	0.276572896217917	16
"Fasting glucose"	"CCL3_CVDI"	"All - Inverse variance weighted"	-0.107527315960589	0.0657715393538504	0.102078217259071	16
"Fasting glucose"	"CCL4_CVDI"	"rs10974438"	0.311338250526316	0.445867124210526	0.485004691630451	16
"Fasting glucose"	"CCL4_CVDI"	"rs11195502"	-0.0208657028571429	0.404794635428571	0.95889013568839	16
"Fasting glucose"	"CCL4_CVDI"	"rs11558471"	-0.307229486896552	0.294638114482759	0.297071023255831	16
"Fasting glucose"	"CCL4_CVDI"	"rs11603334"	0.371500231304348	0.479457563478261	0.438437497441613	16
"Fasting glucose"	"CCL4_CVDI"	"rs11605924"	-0.179255356363636	0.361830256363636	0.620308730144087	16
"Fasting glucose"	"CCL4_CVDI"	"rs11708067"	-0.192533530909091	0.448138390909091	0.667465080121267	16
"Fasting glucose"	"CCL4_CVDI"	"rs1514895"	-0.624406158	0.43817976	0.154157201104144	16
"Fasting glucose"	"CCL4_CVDI"	"rs2191349"	0.370366225714286	0.286903414285714	0.196735202701569	16
"Fasting glucose"	"CCL4_CVDI"	"rs2727270"	-0.594672531428572	0.41992227	0.156731864214125	16
"Fasting glucose"	"CCL4_CVDI"	"rs2908282"	0.261310325625	0.16659959625	0.116766087184862	16
"Fasting glucose"	"CCL4_CVDI"	"rs4869272"	0.704739114	0.427225266	0.0990303728064986	16
"Fasting glucose"	"CCL4_CVDI"	"rs560887"	-0.0802300969014085	0.123430918309859	0.515692221611729	16
"Fasting glucose"	"CCL4_CVDI"	"rs6113722"	-0.238216774285714	0.466000697142857	0.609215198723985	16
"Fasting glucose"	"CCL4_CVDI"	"rs7173964"	0.317680326	0.40166478	0.428997043039048	16
"Fasting glucose"	"CCL4_CVDI"	"rs780093"	-0.01597530375	0.25332267375	0.949716287133228	16
"Fasting glucose"	"CCL4_CVDI"	"rs983309"	0.759511584	0.41383644	0.0664621221886315	16
"Fasting glucose"	"CCL4_CVDI"	"All - Inverse variance weighted"	0.0402469238637531	0.0767416049761583	0.599967498404451	16
"Fasting glucose"	"CD40_CVDI"	"rs10974438"	0.15759096631579	0.442023442105263	0.721449874774551	16
"Fasting glucose"	"CD40_CVDI"	"rs11195502"	0.340110956571429	0.402708065142857	0.398356781733575	16
"Fasting glucose"	"CD40_CVDI"	"rs11558471"	0.196425409655172	0.29211984	0.501320304248941	16
"Fasting glucose"	"CD40_CVDI"	"rs11603334"	0.104782116521739	0.476282347826087	0.825871154703571	16
"Fasting glucose"	"CD40_CVDI"	"rs11605924"	-0.169296725454545	0.358510712727273	0.636768179585685	16
"Fasting glucose"	"CD40_CVDI"	"rs11708067"	0.195853074545455	0.444818847272727	0.659720921592182	16
"Fasting glucose"	"CD40_CVDI"	"rs1514895"	0.025560486	0.434528262	0.95309266714744	16
"Fasting glucose"	"CD40_CVDI"	"rs2191349"	0.286903414285714	0.284295201428571	0.312891043961832	16
"Fasting glucose"	"CD40_CVDI"	"rs2727270"	0.451220824285714	0.417314057142857	0.279585922134227	16
"Fasting glucose"	"CD40_CVDI"	"rs2908282"	-0.044502631875	0.165458503125	0.787956218399387	16
"Fasting glucose"	"CD40_CVDI"	"rs4869272"	-0.124150932	0.423573768	0.769443081123541	16
"Fasting glucose"	"CD40_CVDI"	"rs560887"	0.100801916619718	0.122402327323944	0.410206998692259	16
"Fasting glucose"	"CD40_CVDI"	"rs6113722"	-0.577284445714286	0.460784271428571	0.210267512574762	16
"Fasting glucose"	"CD40_CVDI"	"rs7173964"	0.489300732	0.398013282	0.218937685698941	16
"Fasting glucose"	"CD40_CVDI"	"rs780093"	0.28527328125	0.2510404875	0.255804407976616	16
"Fasting glucose"	"CD40_CVDI"	"rs983309"	0.138756924	0.408967776	0.734394503436344	16
