"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Body fat %"	"rs11042731"	0.0272727272727273	0.0422077922077922	0.518179726334666	1	"cis"
"ADM_CVDI"	"ADM"	"Body fat %"	"All - Wald ratio"	0.0272727272727273	0.0422077922077922	0.518179726334666	1	"cis"
"CA-125_CVDI"	"CA-125"	"Body fat %"	"rs7257770"	-0.017688679245283	0.0683962264150943	0.795927918181723	1	"cis"
"CA-125_CVDI"	"CA-125"	"Body fat %"	"All - Wald ratio"	-0.017688679245283	0.0683962264150943	0.795927918181723	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Body fat %"	"rs1045485"	0.0538860103626943	0.0440414507772021	0.22112980236164	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Body fat %"	"All - Wald ratio"	0.0538860103626943	0.0440414507772021	0.22112980236164	1	"cis"
"CCL20_CVDI"	"CCL20"	"Body fat %"	"rs4973334"	-0.0585533869115959	0.0769230769230769	0.446541183638091	1	"cis"
"CCL20_CVDI"	"CCL20"	"Body fat %"	"All - Wald ratio"	-0.0585533869115959	0.0769230769230769	0.446541183638091	1	"cis"
"CCL3_CVDI"	"CCL3"	"Body fat %"	"rs1634517"	0.0149514079242462	0.0181908796411662	0.411123676903952	1	"cis"
"CCL3_CVDI"	"CCL3"	"Body fat %"	"All - Wald ratio"	0.0149514079242462	0.0181908796411662	0.411123676903952	1	"cis"
"CCL4_CVDI"	"CCL4"	"Body fat %"	"rs8064426"	-0.0218828356507864	0.0164121267380898	0.182422439451736	1	"cis"
"CCL4_CVDI"	"CCL4"	"Body fat %"	"All - Wald ratio"	-0.0218828356507864	0.0164121267380898	0.182422439451736	1	"cis"
"CD40_CVDI"	"CD40"	"Body fat %"	"rs4810485"	-0.00418743768693918	0.0103688933200399	0.686325854518709	1	"cis"
"CD40_CVDI"	"CD40"	"Body fat %"	"All - Wald ratio"	-0.00418743768693918	0.0103688933200399	0.686325854518709	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Body fat %"	"rs7541061"	-0.00103765194189149	0.00993181144381856	0.916790334119391	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Body fat %"	"All - Wald ratio"	-0.00103765194189149	0.00993181144381856	0.916790334119391	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Body fat %"	"rs11579145"	0.0228050171037628	0.0307867730900798	0.458850651929467	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Body fat %"	"All - Wald ratio"	0.0228050171037628	0.0307867730900798	0.458850651929467	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Body fat %"	"rs2274611"	-0.0330788804071247	0.0458015267175573	0.47015786285767	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Body fat %"	"All - Wald ratio"	-0.0330788804071247	0.0458015267175573	0.47015786285767	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Body fat %"	"rs3117604"	-0.0204657727593507	0.0239943542695836	0.393691925690234	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Body fat %"	"All - Wald ratio"	-0.0204657727593507	0.0239943542695836	0.393691925690234	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Body fat %"	"rs16850073"	-0.0794011749099867	0.0341102899374645	0.0199239066611274	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Body fat %"	"All - Wald ratio"	-0.0794011749099867	0.0341102899374645	0.0199239066611274	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Body fat %"	"rs7898709"	-0.00968736239542052	0.0369881109643329	0.793394868265903	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Body fat %"	"All - Wald ratio"	-0.00968736239542052	0.0369881109643329	0.793394868265903	1	"cis"
