"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"rs12465701"	0.0652090525508247	0.111238971998466	0.557736487733999	4	"pan"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"rs148339496"	0.0631850419084462	0.0457769181173437	0.167499930257487	4	"pan"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"rs4862669"	0.0326492537313433	0.0587686567164179	0.578514721507944	4	"pan"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"rs9264664"	-0.334855403348554	0.101978691019787	0.00102496789247071	4	"pan"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.0134327241749581	0.0682018389986807	0.84386239733354	4	"pan"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"rs142444346"	0.0205612870644254	0.0577158935141765	0.721653350299566	3	"pan"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"rs4894192"	0.114114114114114	0.102102102102102	0.263717761833697	3	"pan"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"rs77315662"	0.102487189101362	0.113735783027122	0.36753573715696	3	"pan"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.0528941326119077	0.0459592430937031	0.249776603057825	3	"pan"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"rs114590746"	0.0152295307854087	0.0232069040539561	0.511663282695868	3	"pan"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"rs11672713"	-0.0062749572162008	0.0422133485453508	0.88183088335287	3	"pan"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"rs62193063"	0.00392927308447937	0.0167887122700482	0.814951943236324	3	"pan"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.00648649575316442	0.012946863898055	0.616364766181284	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Type 2 diabetes"	"rs35550815"	-0.0170542635658915	0.048062015503876	0.722710426810277	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Type 2 diabetes"	"All - Wald ratio"	-0.0170542635658915	0.048062015503876	0.722710426810277	1	"pan"
"CCL20_CVDI"	"CCL20"	"Type 2 diabetes"	"rs4973334"	0.0562571756601607	0.0746268656716418	0.450941606478325	2	"pan"
"CCL20_CVDI"	"CCL20"	"Type 2 diabetes"	"rs742493"	0.199449793672627	0.0687757909215956	0.00373162660076807	2	"pan"
"CCL20_CVDI"	"CCL20"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.133686279160784	0.0713583209703133	0.0610062077596774	2	"pan"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"rs1634517"	0.0231746822825816	0.018440069773237	0.208841729101425	3	"pan"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"rs3184504"	0.260869565217391	0.0898550724637681	0.00369340230208358	3	"pan"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"rs4543123"	0.051490514905149	0.101626016260163	0.612388722768152	3	"pan"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.0333537204324536	0.0326674038641476	0.307250072021971	3	"pan"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"rs113010081"	0.05175983436853	0.0172532781228433	0.00269979606326019	4	"pan"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"rs5743604"	0.0169902912621359	0.0922330097087379	0.853848301985592	4	"pan"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"rs62257806"	0.281150159744409	0.0894568690095847	0.00167307472215232	4	"pan"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"rs8064426"	0.0132208798723501	0.0223387280601778	0.553959921746379	4	"pan"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"All - Inverse variance weighted"	0.0423674380115509	0.0233882944651416	0.0700665137584628	4	"pan"
"CD40_CVDI"	"CD40"	"Type 2 diabetes"	"rs4801216"	-0.0679287305122494	0.0723830734966592	0.348007273695853	2	"pan"
"CD40_CVDI"	"CD40"	"Type 2 diabetes"	"rs4810485"	-0.0121635094715852	0.0145563310069791	0.403370718001094	2	"pan"
"CD40_CVDI"	"CD40"	"Type 2 diabetes"	"All - Inverse variance weighted"	-0.0143310911322433	0.0142706265092308	0.315264392555948	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"rs1260326"	-0.947666195190948	0.0919377652050919	6.50444047399782e-25	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"rs28601761"	-0.0251677852348993	0.0545302013422819	0.644412333769811	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"rs339969"	-0.426666666666667	0.0866666666666667	8.51939445561657e-07	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"rs4950931"	0.00963533946042099	0.011710643344204	0.410630376179832	4	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"All - Inverse variance weighted"	-0.0135952289391914	0.0741349759320187	0.854496088718706	4	"pan"
"CSF-1_CVDI"	"CSF-1"	"Type 2 diabetes"	"rs11579145"	0.0524515393386545	0.0359179019384265	0.144202845553275	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Type 2 diabetes"	"All - Wald ratio"	0.0524515393386545	0.0359179019384265	0.144202845553275	1	"pan"
"CSTB_CVDI"	"CSTB"	"Type 2 diabetes"	"rs35285321"	-0.00717793728749528	0.0126558367963733	0.570602642478956	1	"pan"
"CSTB_CVDI"	"CSTB"	"Type 2 diabetes"	"All - Wald ratio"	-0.00717793728749528	0.0126558367963733	0.570602642478956	1	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs10860794"	-0.0632911392405063	0.0443037974683544	0.153127451019669	5	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs1260326"	-1.06012658227848	0.102848101265823	6.50444047399782e-25	5	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs55861089"	0.00539273153575616	0.0257913247362251	0.8343772713561	5	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs73001065"	0.757575757575758	0.101010101010101	6.38178334582179e-14	5	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs838133"	-0.00634920634920635	0.104761904761905	0.95167294673366	5	"pan"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"All - Inverse variance weighted"	-0.0220726342463853	0.133400362913127	0.868580691080065	5	"pan"
