"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Age at menopause"	"rs11042731"	-0.0495687518588282	0.0330458345725521	0.133614402537716	4	"pan"
"ADM_CVDI"	"ADM"	"Age at menopause"	"rs2048"	0.0237584431567368	0.0475168863134736	0.617075077451974	4	"pan"
"ADM_CVDI"	"ADM"	"Age at menopause"	"rs6734769"	0.0839778634351985	0.0763435122138168	0.271332121892765	4	"pan"
"ADM_CVDI"	"ADM"	"Age at menopause"	"rs9264664"	-0.309836135413883	0.116188550780206	0.00766076113517947	4	"pan"
"ADM_CVDI"	"ADM"	"Age at menopause"	"All - Inverse variance weighted"	-0.0270598871162074	0.0447695004235914	0.545559903965348	4	"pan"
"AGRP_CVDI"	"AGRP"	"Age at menopause"	"rs4894192"	-0.0382061450763741	0.0764122901527482	0.617075077451974	1	"pan"
"AGRP_CVDI"	"AGRP"	"Age at menopause"	"All - Wald ratio"	-0.0382061450763741	0.0764122901527482	0.617075077451974	1	"pan"
"CA-125_CVDI"	"CA-125"	"Age at menopause"	"rs7257770"	0	0.06001248259638	1	1	"pan"
"CA-125_CVDI"	"CA-125"	"Age at menopause"	"All - Wald ratio"	0	0.06001248259638	1	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Age at menopause"	"rs1045485"	-0.0263681788817255	0.0395522683225883	0.504985075093846	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Age at menopause"	"All - Wald ratio"	-0.0263681788817255	0.0395522683225883	0.504985075093846	1	"pan"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"rs2268189"	-0.126055943627782	0.072031967787304	0.0801183137276341	2	"pan"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"rs4973334"	0.0292138836060449	0.0584277672120899	0.617075077451974	2	"pan"
"CCL20_CVDI"	"CCL20"	"Age at menopause"	"All - Inverse variance weighted"	-0.0324038322624115	0.0759646574967099	0.669696500538565	2	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"rs1634517"	-0.00634071582877277	0.0126814316575455	0.617075077451974	3	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"rs3184504"	-0.0737544713648265	0.0737544713648265	0.317310507862914	3	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"rs4543123"	0.0344787162884351	0.0689574325768703	0.617075077451974	3	"pan"
"CCL3_CVDI"	"CCL3"	"Age at menopause"	"All - Inverse variance weighted"	-0.00691669716220615	0.01229768199276	0.573816887131666	3	"pan"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"rs5743604"	0.0308802094913412	0.0617604189826824	0.617075077451974	2	"pan"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"rs8064426"	0.0058001578802975	0.02320063152119	0.802587348634153	2	"pan"
"CCL4_CVDI"	"CCL4"	"Age at menopause"	"All - Inverse variance weighted"	0.00890169811772112	0.0217187452133309	0.681906852239081	2	"pan"
"CD40_CVDI"	"CD40"	"Age at menopause"	"rs4801216"	0	0.0566710303360025	1	2	"pan"
"CD40_CVDI"	"CD40"	"Age at menopause"	"rs4810485"	0.0507383701313363	0.0101476740262673	5.73303143758385e-07	2	"pan"
"CD40_CVDI"	"CD40"	"Age at menopause"	"All - Inverse variance weighted"	0.0491620627985393	0.0099887996049421	8.57874194804002e-07	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"rs1260326"	0.467876667710391	0.0719810258015987	8.03200116771824e-11	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"rs339969"	-0.101781170483461	0.0678541136556404	0.133614402537716	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"rs7541061"	0.00377190818571971	0.0113157245571591	0.738882680363527	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Age at menopause"	"All - Inverse variance weighted"	0.0118800351022054	0.0514104293482677	0.817250943477447	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"Age at menopause"	"rs11579145"	-0.014507008335727	0.029014016671454	0.617075077451974	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"Age at menopause"	"All - Wald ratio"	-0.014507008335727	0.029014016671454	0.617075077451974	1	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"rs10401969"	0.140065830940542	0.093377220627028	0.133614402537716	4	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"rs10860794"	0	0.0322092311656521	1	4	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"rs1260326"	0.523400006441846	0.0805230779141302	8.03200116771824e-11	4	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"rs838133"	0.201946766832263	0.0807787067329052	0.0124193306515523	4	"pan"
"CTSD_CVDI"	"CTSD"	"Age at menopause"	"All - Inverse variance weighted"	0.0921552591459369	0.0968183539087638	0.341179823824287	4	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs10812614"	-0.0966582815607413	0.0483291407803706	0.0455002638963584	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs1133330"	0.0775771116489791	0.0775771116489791	0.317310507862914	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs17685390"	0	0.0719810258015987	1	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs2241090"	-0.0153655148676722	0.0307310297353444	0.617075077451974	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs2274611"	0.0647462916561454	0.0431641944374303	0.133614402537716	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs6575449"	0.01246096602393	0.0373828980717901	0.738882680363527	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs9271366"	-0.024050371097226	0.0962014843889041	0.802587348634153	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"rs987037"	-0.0184787891219064	0.0923939456095321	0.841480581121794	8	"pan"
"CTSL1_CVDI"	"CTSL1"	"Age at menopause"	"All - Inverse variance weighted"	-0.00176259742383872	0.0181961622484954	0.922832461959695	8	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Age at menopause"	"rs1511801"	-0.0342006621248187	0.0684013242496375	0.617075077451974	2	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Age at menopause"	"rs3732378"	0.166309102097158	0.0831545510485789	0.0455002638963584	2	"pan"
"CX3CL1_CVDI"	"CX3CL1"	"Age at menopause"	"All - Inverse variance weighted"	0.0467187943129409	0.0983726725321784	0.634846570181045	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"rs3117604"	-0.062850052345115	0.03591431562578	0.0801183137276342	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"rs7896518"	0.0582272142353893	0.0582272142353893	0.317310507862914	2	"pan"
"CXCL1_CVDI"	"CXCL1"	"Age at menopause"	"All - Inverse variance weighted"	-0.0294821376458352	0.0540987816119903	0.585775109016658	2	"pan"
