"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Breast cancer"	"rs148339496"	0.243713733075435	0.127659574468085	0.0562503652819669	1	"cis"
"ADM_CVDI"	"ADM"	"Breast cancer"	"All - Wald ratio"	0.243713733075435	0.127659574468085	0.0562503652819669	1	"cis"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"rs11672713"	0.00570450656018254	0.144894466628637	0.968595335113122	1	"cis"
"CA-125_CVDI"	"CA-125"	"Breast cancer"	"All - Wald ratio"	0.00570450656018254	0.144894466628637	0.968595335113122	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Breast cancer"	"rs35550815"	-0.488372093023256	0.135400516795866	0.000309912555019679	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Breast cancer"	"All - Wald ratio"	-0.488372093023256	0.135400516795866	0.000309912555019679	1	"cis"
"CCL20_CVDI"	"CCL20"	"Breast cancer"	"rs4973334"	-0.291618828932262	0.205510907003444	0.155900644795184	1	"cis"
"CCL20_CVDI"	"CCL20"	"Breast cancer"	"All - Wald ratio"	-0.291618828932262	0.205510907003444	0.155900644795184	1	"cis"
"CCL3_CVDI"	"CCL3"	"Breast cancer"	"rs1634517"	-0.0600548218290556	0.0513331672065786	0.242040041651939	1	"cis"
"CCL3_CVDI"	"CCL3"	"Breast cancer"	"All - Wald ratio"	-0.0600548218290556	0.0513331672065786	0.242040041651939	1	"cis"
"CCL4_CVDI"	"CCL4"	"Breast cancer"	"rs8064426"	0.0551629815363574	0.063596991110098	0.385731912510717	1	"cis"
"CCL4_CVDI"	"CCL4"	"Breast cancer"	"All - Wald ratio"	0.0551629815363574	0.063596991110098	0.385731912510717	1	"cis"
"CD40_CVDI"	"CD40"	"Breast cancer"	"rs4810485"	-0.0466600199401795	0.0402791625124626	0.246694377465737	1	"cis"
"CD40_CVDI"	"CD40"	"Breast cancer"	"All - Wald ratio"	-0.0466600199401795	0.0402791625124626	0.246694377465737	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Breast cancer"	"rs4950931"	0.0209012748295286	0.0315742662318411	0.50798927481078	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Breast cancer"	"All - Wald ratio"	0.0209012748295286	0.0315742662318411	0.50798927481078	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Breast cancer"	"rs11579145"	0.222919042189282	0.100342075256556	0.0263109648046493	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Breast cancer"	"All - Wald ratio"	0.222919042189282	0.100342075256556	0.0263109648046493	1	"cis"
"CSTB_CVDI"	"CSTB"	"Breast cancer"	"rs35285321"	0.0557234605213449	0.0353230071779373	0.114671301195313	1	"cis"
"CSTB_CVDI"	"CSTB"	"Breast cancer"	"All - Wald ratio"	0.0557234605213449	0.0353230071779373	0.114671301195313	1	"cis"
"CTSD_CVDI"	"CTSD"	"Breast cancer"	"rs55861089"	0.00844079718640094	0.0722157092614303	0.906952677216038	1	"cis"
"CTSD_CVDI"	"CTSD"	"Breast cancer"	"All - Wald ratio"	0.00844079718640094	0.0722157092614303	0.906952677216038	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Breast cancer"	"rs2274611"	0.290924512298558	0.149279050042409	0.0513117117029246	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Breast cancer"	"All - Wald ratio"	0.290924512298558	0.149279050042409	0.0513117117029246	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Breast cancer"	"rs683544"	-0.00744786494538232	0.0908639523336644	0.934672785839012	1	"cis"
