"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"rs12465701"	-0.0418119465603694	0.13885692366705	0.763326561630157	4	"pan"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"rs148339496"	-0.0438223662171035	0.0567375886524823	0.439895787832595	4	"pan"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"rs4862669"	-0.096975524086944	0.0736940298507463	0.18820054753449	4	"pan"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"rs9264664"	-0.37895692015998	0.127853881278539	0.00303683599986442	4	"pan"
"ADM_CVDI"	"ADM"	"Major depressive disorder"	"All - Inverse variance weighted"	-0.093483687089658	0.0568454113032704	0.100067851582584	4	"pan"
"AGRP_CVDI"	"AGRP"	"Major depressive disorder"	"rs4894192"	0.0434805272075896	0.126126126126126	0.73029099735664	2	"pan"
"AGRP_CVDI"	"AGRP"	"Major depressive disorder"	"rs77315662"	-0.0107522669757128	0.167979002624672	0.948962591279161	2	"pan"
"AGRP_CVDI"	"AGRP"	"Major depressive disorder"	"All - Inverse variance weighted"	0.023928585858081	0.100859996984064	0.812466297951294	2	"pan"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"rs114590746"	0.0187105486187632	0.0323446225252012	0.562943615084136	3	"pan"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"rs11672713"	-0.0867303693227199	0.0559041642897889	0.120803075567785	3	"pan"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"rs62193063"	0.013751680168674	0.0230398285408109	0.55059714253088	3	"pan"
"CA-125_CVDI"	"CA-125"	"Major depressive disorder"	"All - Inverse variance weighted"	0.00507625869893789	0.0218476474417427	0.816267680008299	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Major depressive disorder"	"rs35550815"	0.0522007347774134	0.0604651162790698	0.387961636400452	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Major depressive disorder"	"All - Wald ratio"	0.0522007347774134	0.0604651162790698	0.387961636400452	1	"pan"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"rs4973334"	0.063089211044545	0.0929965556831228	0.497515739357898	2	"pan"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"rs742493"	0.0412789009328359	0.0845942228335626	0.625575628902604	2	"pan"
"CCL20_CVDI"	"CCL20"	"Major depressive disorder"	"All - Inverse variance weighted"	0.0511544519785292	0.0625772699929895	0.41366526289292	2	"pan"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"rs1634517"	0.0226725217674043	0.0229254921505108	0.322680001095425	3	"pan"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"rs3184504"	-0.18846650920658	0.128985507246377	0.143975695080621	3	"pan"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"rs4543123"	-0.0297775547897995	0.144986449864499	0.837273964011097	3	"pan"
"CCL3_CVDI"	"CCL3"	"Major depressive disorder"	"All - Inverse variance weighted"	0.015118663818227	0.0258930317555474	0.559294802071608	3	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"rs113010081"	0.024150292691259	0.0217391304347826	0.266605599569036	4	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"rs5743604"	-0.00121353155744293	0.128640776699029	0.992473275132765	4	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"rs62257806"	0.178257050589367	0.120766773162939	0.139932125886754	4	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"rs8064426"	0.0273574961057604	0.0319124686573969	0.391297517767676	4	"pan"
"CCL4_CVDI"	"CCL4"	"Major depressive disorder"	"All - Inverse variance weighted"	0.0279256970318858	0.0176037759245595	0.112660617303113	4	"pan"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"rs4801216"	-0.174790290716305	0.0902004454342984	0.052647806993909	2	"pan"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"rs4810485"	-0.0348874329346979	0.0181455633100698	0.0545249507064767	2	"pan"
"CD40_CVDI"	"CD40"	"Major depressive disorder"	"All - Inverse variance weighted"	-0.0403289618891809	0.0270494956343191	0.135979317204813	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Major depressive disorder"	"rs4602861"	-0.0510155200093384	0.134816753926702	0.705128728337272	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Major depressive disorder"	"All - Wald ratio"	-0.0510155200093384	0.134816753926702	0.705128728337272	1	"pan"
