"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Alzheimer"	"ADM_CVDI"	"rs10792832"	0.0778720123361604	0.0801850424055513	0.331471673255633	13
"Alzheimer"	"ADM_CVDI"	"rs10808026"	-0.103374012921752	0.0976310122038765	0.289680155734686	13
"Alzheimer"	"ADM_CVDI"	"rs11218343"	0.0585836114200964	0.100111234705228	0.558423205236604	13
"Alzheimer"	"ADM_CVDI"	"rs12590654"	-0.0974093264248705	0.126424870466321	0.441008215382072	13
"Alzheimer"	"ADM_CVDI"	"rs12972970"	-0.0182442196531792	0.0128251445086705	0.154870937132495	13
"Alzheimer"	"ADM_CVDI"	"rs1752684"	0.0661907852044127	0.0798182998053212	0.406952608509977	13
"Alzheimer"	"ADM_CVDI"	"rs4147929"	-0.113501483679525	0.105341246290801	0.281272673239648	13
"Alzheimer"	"ADM_CVDI"	"rs4663105"	0.029940119760479	0.0620577027762657	0.629481948305175	13
"Alzheimer"	"ADM_CVDI"	"rs72924659"	-0.0445859872611465	0.0877565463552725	0.611408098966448	13
"Alzheimer"	"ADM_CVDI"	"rs7982"	-0.0835714285714286	0.0728571428571429	0.251357310325029	13
"Alzheimer"	"ADM_CVDI"	"rs8093731"	-0.0953389830508475	0.0915906127770535	0.297910234024991	13
"Alzheimer"	"ADM_CVDI"	"rs9272561"	-0.1125	0.0933823529411765	0.228309709648814	13
"Alzheimer"	"ADM_CVDI"	"rs9381563"	-0.103305785123967	0.12396694214876	0.404656761927286	13
"Alzheimer"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0202570361669866	0.0114509731545494	0.0768900176770315	13
"Alzheimer"	"AGRP_CVDI"	"rs10792832"	0.121048573631457	0.0817270624518119	0.138571382015302	13
"Alzheimer"	"AGRP_CVDI"	"rs10808026"	0.162957645369706	0.0997846374730797	0.10244932816635	13
"Alzheimer"	"AGRP_CVDI"	"rs11218343"	0.0163144234334446	0.103077493511309	0.87424138239213	13
"Alzheimer"	"AGRP_CVDI"	"rs12590654"	0.130569948186529	0.129533678756477	0.313454462232057	13
"Alzheimer"	"AGRP_CVDI"	"rs12972970"	0.0560874277456647	0.0130057803468208	1.61418882457361e-05	13
"Alzheimer"	"AGRP_CVDI"	"rs1752684"	0.0622972096041532	0.081765087605451	0.446116847721283	13
"Alzheimer"	"AGRP_CVDI"	"rs4147929"	-0.0385756676557863	0.107566765578635	0.719878866902262	13
"Alzheimer"	"AGRP_CVDI"	"rs4663105"	0.0217746325530757	0.0631464344039194	0.730223992825289	13
"Alzheimer"	"AGRP_CVDI"	"rs72924659"	-0.00495399858457183	0.089171974522293	0.955695871316436	13
"Alzheimer"	"AGRP_CVDI"	"rs7982"	0.00928571428571428	0.075	0.90146609092812	13
"Alzheimer"	"AGRP_CVDI"	"rs8093731"	0.0668187744458931	0.0940352020860495	0.47734954651993	13
"Alzheimer"	"AGRP_CVDI"	"rs9272561"	0.219117647058824	0.0948529411764706	0.0208838627923049	13
"Alzheimer"	"AGRP_CVDI"	"rs9381563"	-0.0258264462809917	0.127066115702479	0.838938045419268	13
"Alzheimer"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.0565690973196986	0.0116308455583184	1.15203796056832e-06	13
"Alzheimer"	"CA-125_CVDI"	"rs10792832"	0.0377794911333847	0.117964533538936	0.748770152949488	13
"Alzheimer"	"CA-125_CVDI"	"rs10808026"	0.08183776022972	0.165111270638909	0.62013983547718	13
"Alzheimer"	"CA-125_CVDI"	"rs11218343"	-0.0203930292918057	0.154616240266963	0.895067751316943	13
"Alzheimer"	"CA-125_CVDI"	"rs12590654"	0.0715025906735751	0.204145077720207	0.726148228777383	13
"Alzheimer"	"CA-125_CVDI"	"rs12972970"	0.0147218208092486	0.0186958092485549	0.431024565026294	13
"Alzheimer"	"CA-125_CVDI"	"rs1752684"	-0.131732641142116	0.119402985074627	0.269913894421559	13
"Alzheimer"	"CA-125_CVDI"	"rs4147929"	-0.224777448071217	0.163946587537092	0.170362261427728	13
"Alzheimer"	"CA-125_CVDI"	"rs4663105"	-0.139357648339684	0.103429504627109	0.177861605879233	13
"Alzheimer"	"CA-125_CVDI"	"rs72924659"	-0.183297947629158	0.147204529370134	0.213061069497465	13
"Alzheimer"	"CA-125_CVDI"	"rs7982"	-0.0885714285714286	0.107857142857143	0.411536882470893	13
"Alzheimer"	"CA-125_CVDI"	"rs8093731"	0.120436766623207	0.148956975228162	0.418783289348414	13
"Alzheimer"	"CA-125_CVDI"	"rs9272561"	0.116176470588235	0.139705882352941	0.405646649320384	13
"Alzheimer"	"CA-125_CVDI"	"rs9381563"	0.0216942148760331	0.203512396694215	0.91510712403162	13
"Alzheimer"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.00398429084670347	0.0169304174978875	0.813950059057074	13
"Alzheimer"	"CASP-8_CVDI"	"rs10792832"	0.0454895913646877	0.0979182729375482	0.6422416196621	13
"Alzheimer"	"CASP-8_CVDI"	"rs10808026"	0.0157932519741565	0.108399138549892	0.884161881120823	13
"Alzheimer"	"CASP-8_CVDI"	"rs11218343"	-0.039302929180571	0.110863922877271	0.722952927090933	13
"Alzheimer"	"CASP-8_CVDI"	"rs12590654"	-0.044559585492228	0.139896373056995	0.750091649800551	13
"Alzheimer"	"CASP-8_CVDI"	"rs12972970"	-0.0273663294797688	0.0154443641618497	0.0764062068858814	13
"Alzheimer"	"CASP-8_CVDI"	"rs1752684"	0.0214146658014276	0.0960415314730694	0.823556541436208	13
"Alzheimer"	"CASP-8_CVDI"	"rs4147929"	-0.0400593471810089	0.120919881305638	0.740426695160644	13
"Alzheimer"	"CASP-8_CVDI"	"rs4663105"	0.152966793685357	0.0685900925421884	0.0257369069894604	13
