"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Coronary heart disease"	"ADM_CVDI"	"rs10840293"	-1.02167635340132	0.191907007347297	1.01616312422809e-07	39
"Coronary heart disease"	"ADM_CVDI"	"rs11065979"	0.00145866153217807	0.148783476282163	0.992177727654004	39
"Coronary heart disease"	"ADM_CVDI"	"rs11191416"	-0.0378553672601547	0.20063344647882	0.850344219267564	39
"Coronary heart disease"	"ADM_CVDI"	"rs11556924"	0.176383855365239	0.158469870054707	0.265689756817922	39
"Coronary heart disease"	"ADM_CVDI"	"rs115654617"	-0.211105146322708	0.110993427448022	0.0571762815968996	39
"Coronary heart disease"	"ADM_CVDI"	"rs11838776"	-0.182306099232856	0.166263162500365	0.272863860044447	39
"Coronary heart disease"	"ADM_CVDI"	"rs1199338"	-0.126365563345834	0.187510190771238	0.50036659904388	39
"Coronary heart disease"	"ADM_CVDI"	"rs12202017"	0.0374178677802224	0.169128762366605	0.824906392167609	39
"Coronary heart disease"	"ADM_CVDI"	"rs1412444"	0.0808238041070466	0.158654133987906	0.610448075861918	39
"Coronary heart disease"	"ADM_CVDI"	"rs1429137"	0.0359976601520901	0.217485863418878	0.868536880336029	39
"Coronary heart disease"	"ADM_CVDI"	"rs16986953"	-0.365194927195867	0.224283701268201	0.103467170568587	39
"Coronary heart disease"	"ADM_CVDI"	"rs17087335"	-0.209005332104536	0.230399578697913	0.36433125706583	39
"Coronary heart disease"	"ADM_CVDI"	"rs17678683"	-0.144757354280971	0.185248921912012	0.434555062073565	39
"Coronary heart disease"	"ADM_CVDI"	"rs180803"	-0.24485554628212	0.25977902201489	0.345909491757463	39
"Coronary heart disease"	"ADM_CVDI"	"rs1870634"	0.0658952529059807	0.141015841218799	0.6402926105915	39
"Coronary heart disease"	"ADM_CVDI"	"rs2107595"	-0.396376762242049	0.190696724102704	0.0376567593402502	39
"Coronary heart disease"	"ADM_CVDI"	"rs2128739"	-0.248608251353619	0.170822847555861	0.145570414599435	39
