"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Total cholesterol"	"ADM_CVDI"	"rs10468017"	-0.231766612641815	0.178282009724473	0.193600969171221	58
"Total cholesterol"	"ADM_CVDI"	"rs10832962"	-0.412698412698413	0.352380952380952	0.241529980712954	58
"Total cholesterol"	"ADM_CVDI"	"rs10900221"	0.298039215686275	0.458823529411765	0.515968304698277	58
"Total cholesterol"	"ADM_CVDI"	"rs10904908"	0.852	0.408	0.0367766150409725	58
"Total cholesterol"	"ADM_CVDI"	"rs11153594"	0.224137931034483	0.355172413793103	0.527996088739292	58
"Total cholesterol"	"ADM_CVDI"	"rs11563251"	-0.440217391304348	0.448369565217391	0.326189429199069	58
"Total cholesterol"	"ADM_CVDI"	"rs11591147"	-0.0637533672553128	0.117629452259802	0.587829023334691	58
"Total cholesterol"	"ADM_CVDI"	"rs11694172"	0.23826714801444	0.436823104693141	0.585440934568927	58
"Total cholesterol"	"ADM_CVDI"	"rs11753995"	0.0204498977505112	0.286298568507157	0.943056670967043	58
"Total cholesterol"	"ADM_CVDI"	"rs11802413"	-0.0348432055749129	0.362369337979094	0.92339838633312	58
"Total cholesterol"	"ADM_CVDI"	"rs12321904"	0.373873873873874	0.45045045045045	0.406538783656137	58
"Total cholesterol"	"ADM_CVDI"	"rs12670798"	-0.752747252747253	0.324175824175824	0.0202311104247243	58
"Total cholesterol"	"ADM_CVDI"	"rs12916"	-0.033625730994152	0.152046783625731	0.824972644890565	58
"Total cholesterol"	"ADM_CVDI"	"rs13315871"	0.028169014084507	0.504225352112676	0.95544861888747	58
"Total cholesterol"	"ADM_CVDI"	"rs138777"	-0.785046728971963	0.490654205607477	0.109598583399116	58
"Total cholesterol"	"ADM_CVDI"	"rs1535"	0.472837022132797	0.211267605633803	0.0252148451313644	58
"Total cholesterol"	"ADM_CVDI"	"rs17526895"	-0.019047619047619	0.464285714285714	0.967275454483993	58
"Total cholesterol"	"ADM_CVDI"	"rs1883025"	0.307004470938897	0.175856929955291	0.0808521928418444	58
"Total cholesterol"	"ADM_CVDI"	"rs1997243"	0.981927710843373	0.412650602409639	0.017333224823245	58
"Total cholesterol"	"ADM_CVDI"	"rs2000999"	-0.194489465153971	0.19935170178282	0.329257888010891	58
"Total cholesterol"	"ADM_CVDI"	"rs2073547"	0.429824561403509	0.269736842105263	0.111048979533399	58
"Total cholesterol"	"ADM_CVDI"	"rs2187375"	-0.0255009107468124	0.245901639344262	0.917404487375225	58
"Total cholesterol"	"ADM_CVDI"	"rs2235367"	-0.61624649859944	0.288515406162465	0.0326857451559947	58
"Total cholesterol"	"ADM_CVDI"	"rs2244608"	0.686900958466454	0.338658146964856	0.0425294465281811	58
"Total cholesterol"	"ADM_CVDI"	"rs2255141"	0.0477707006369427	0.356687898089172	0.893459057077764	58
"Total cholesterol"	"ADM_CVDI"	"rs2287623"	-0.487179487179487	0.373626373626374	0.192260325453947	58
"Total cholesterol"	"ADM_CVDI"	"rs247616"	0.250501002004008	0.216432865731463	0.247105949099061	58
"Total cholesterol"	"ADM_CVDI"	"rs2642438"	-0.245945945945946	0.308108108108108	0.424727971873664	58
"Total cholesterol"	"ADM_CVDI"	"rs2886232"	0.0251396648044693	0.472067039106145	0.957529181966427	58
"Total cholesterol"	"ADM_CVDI"	"rs2980860"	-0.165775401069519	0.17825311942959	0.352371084490516	58
"Total cholesterol"	"ADM_CVDI"	"rs314253"	-0.158798283261803	0.446351931330472	0.722013393707254	58
"Total cholesterol"	"ADM_CVDI"	"rs3757354"	-0.028735632183908	0.344827586206897	0.933586496294755	58
"Total cholesterol"	"ADM_CVDI"	"rs3780181"	0.18552036199095	0.461538461538462	0.68771288727916	58
"Total cholesterol"	"ADM_CVDI"	"rs4253772"	0.813664596273292	0.521739130434783	0.11887245375002	58
"Total cholesterol"	"ADM_CVDI"	"rs4530754"	0.0087719298245614	0.43859649122807	0.984043372566196	58
"Total cholesterol"	"ADM_CVDI"	"rs4738684"	-0.535714285714286	0.270408163265306	0.047576464057908	58
"Total cholesterol"	"ADM_CVDI"	"rs4752805"	-0.972111553784861	0.466135458167331	0.0370266508173513	58
"Total cholesterol"	"ADM_CVDI"	"rs4820091"	0.42560553633218	0.42560553633218	0.317310507862914	58
"Total cholesterol"	"ADM_CVDI"	"rs4988235"	0.0779220779220779	0.425324675324675	0.85463630287726	58
"Total cholesterol"	"ADM_CVDI"	"rs515135"	-0.00161550888529887	0.105815831987076	0.987819029529059	58
"Total cholesterol"	"ADM_CVDI"	"rs558971"	-0.761306532663317	0.261306532663317	0.00357445866254816	58
"Total cholesterol"	"ADM_CVDI"	"rs579459"	0.687096774193548	0.216129032258065	0.00147730832266553	58
"Total cholesterol"	"ADM_CVDI"	"rs646776"	-0.129716981132075	0.0966981132075472	0.179770040387914	58
"Total cholesterol"	"ADM_CVDI"	"rs6504872"	-0.348	0.404	0.389025407805054	58
"Total cholesterol"	"ADM_CVDI"	"rs6511720"	0.0129659643435981	0.0918422474338196	0.887730533640355	58
"Total cholesterol"	"ADM_CVDI"	"rs6544713"	-0.104786545924968	0.142302716688228	0.461509428341635	58
"Total cholesterol"	"ADM_CVDI"	"rs6573778"	-0.847908745247148	0.399239543726236	0.0336860743063997	58
"Total cholesterol"	"ADM_CVDI"	"rs6603981"	-0.433048433048433	0.361823361823362	0.231364872169695	58
"Total cholesterol"	"ADM_CVDI"	"rs6818397"	-0.401574803149606	0.448818897637795	0.37092777927468	58
"Total cholesterol"	"ADM_CVDI"	"rs6882076"	-0.309055118110236	0.206692913385827	0.134852314630141	58
"Total cholesterol"	"ADM_CVDI"	"rs7412"	-0.105995717344754	0.0519271948608137	0.0412272644025804	58
"Total cholesterol"	"ADM_CVDI"	"rs7616006"	-0.419047619047619	0.323809523809524	0.195624786869267	58
"Total cholesterol"	"ADM_CVDI"	"rs7640978"	0.0984042553191489	0.50531914893617	0.845598968188816	58
"Total cholesterol"	"ADM_CVDI"	"rs7832643"	0.273356401384083	0.359861591695502	0.44748452032444	58
"Total cholesterol"	"ADM_CVDI"	"rs9376090"	-1.0511811023622	0.452755905511811	0.0202469865803382	58
"Total cholesterol"	"ADM_CVDI"	"rs9391858"	-0.248484848484848	0.288888888888889	0.389711951127036	58
"Total cholesterol"	"ADM_CVDI"	"rs9987289"	-0.0285035629453682	0.204275534441805	0.889027492331461	58
"Total cholesterol"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0617781987894423	0.0354177816822481	0.081111898528359	58
"Total cholesterol"	"AGRP_CVDI"	"rs10468017"	0.435980551053485	0.181523500810373	0.0163152625683591	58
"Total cholesterol"	"AGRP_CVDI"	"rs10832962"	0.13015873015873	0.358730158730159	0.716730491719857	58
"Total cholesterol"	"AGRP_CVDI"	"rs10900221"	0.258823529411765	0.466666666666667	0.579153341366051	58
"Total cholesterol"	"AGRP_CVDI"	"rs10904908"	-0.156	0.412	0.704954637454775	58
"Total cholesterol"	"AGRP_CVDI"	"rs11153594"	-0.251724137931034	0.362068965517241	0.486906102086823	58
"Total cholesterol"	"AGRP_CVDI"	"rs11563251"	0.35054347826087	0.453804347826087	0.439844936292111	58
"Total cholesterol"	"AGRP_CVDI"	"rs11591147"	-0.0703382220891949	0.119425321759952	0.555879767591163	58
"Total cholesterol"	"AGRP_CVDI"	"rs11694172"	-0.0794223826714801	0.444043321299639	0.858046227151526	58
"Total cholesterol"	"AGRP_CVDI"	"rs11753995"	0.302658486707566	0.292433537832311	0.300685240525945	58
