"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"rs12465701"	-0.468805649114879	0.256727633781811	0.0678379473899369	4	"pan"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"rs148339496"	-0.190578995754638	0.156112417640885	0.222169137689018	4	"pan"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"rs4862669"	0.092820250495971	0.133479121168735	0.486809966197371	4	"pan"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"rs9264664"	-1.58843250113003	0.251476459801152	2.67681174409792e-10	4	"pan"
"ADM_CVDI"	"ADM"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	-0.271883832872797	0.304877214604889	0.372510106818338	4	"pan"
"AGRP_CVDI"	"AGRP"	"Rheumatoid Arthritis"	"rs4894192"	-0.297336746188884	0.308662952662538	0.335394191340124	1	"pan"
"AGRP_CVDI"	"AGRP"	"Rheumatoid Arthritis"	"All - Wald ratio"	-0.297336746188884	0.308662952662538	0.335394191340124	1	"pan"
"CA-125_CVDI"	"CA-125"	"Rheumatoid Arthritis"	"rs114590746"	0.00728866187069512	0.0781732251276844	0.925715027816911	2	"pan"
"CA-125_CVDI"	"CA-125"	"Rheumatoid Arthritis"	"rs11672713"	-0.232869335540532	0.180657878096475	0.197395525882244	2	"pan"
"CA-125_CVDI"	"CA-125"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	-0.0305869983787937	0.0875304351457853	0.726755894015367	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"Rheumatoid Arthritis"	"rs35550815"	-0.152758667914958	0.153649019594397	0.320122933760908	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Rheumatoid Arthritis"	"All - Wald ratio"	-0.152758667914958	0.153649019594397	0.320122933760908	1	"pan"
"CCL20_CVDI"	"CCL20"	"Rheumatoid Arthritis"	"rs4973334"	0	0.17578643065539	1	2	"pan"
"CCL20_CVDI"	"CCL20"	"Rheumatoid Arthritis"	"rs742493"	-0.42555298293045	0.218243891413633	0.0511884657239784	2	"pan"
"CCL20_CVDI"	"CCL20"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	-0.167448684381166	0.207892340467852	0.4205550573714	2	"pan"
"CCL3_CVDI"	"CCL3"	"Rheumatoid Arthritis"	"rs1634517"	0.121580274531353	0.0423598738147217	0.00410243956265363	3	"pan"
"CCL3_CVDI"	"CCL3"	"Rheumatoid Arthritis"	"rs3184504"	1.11537740776998	0.231641363870641	1.47122769680172e-06	3	"pan"
"CCL3_CVDI"	"CCL3"	"Rheumatoid Arthritis"	"rs4543123"	0.136183412649072	0.222626053725337	0.540727179396661	3	"pan"
"CCL3_CVDI"	"CCL3"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	0.153144111388055	0.122245222712312	0.210292508404535	3	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"rs113010081"	-0.226066705325059	0.0470490407477652	1.54816215182575e-06	4	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"rs5743604"	0.245178486863101	0.239833055544096	0.306644547612838	4	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"rs62257806"	-0.194627523863953	0.259370869129751	0.45302399006826	4	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"rs8064426"	0.0694306074417794	0.0818661116970438	0.396382566565088	4	"pan"
"CCL4_CVDI"	"CCL4"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	-0.142759842230767	0.0811499429739505	0.0785417395605517	4	"pan"
"CD40_CVDI"	"CD40"	"Rheumatoid Arthritis"	"rs4801216"	-0.110805466070914	0.257108924014709	0.66649235293593	2	"pan"
"CD40_CVDI"	"CD40"	"Rheumatoid Arthritis"	"rs4810485"	0.277691061482568	0.0395843250079673	2.29657403998373e-12	2	"pan"
"CD40_CVDI"	"CD40"	"Rheumatoid Arthritis"	"All - Inverse variance weighted"	0.268695564840976	0.0584277352722904	4.24997941893789e-06	2	"pan"
