"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"rs148339496"	0.0631850419084462	0.0457769181173437	0.167499930257487	1	"cis"
"ADM_CVDI"	"ADM"	"Type 2 diabetes"	"All - Wald ratio"	0.0631850419084462	0.0457769181173437	0.167499930257487	1	"cis"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"rs142444346"	0.0205612870644254	0.0577158935141765	0.721653350299566	1	"cis"
"AGRP_CVDI"	"AGRP"	"Type 2 diabetes"	"All - Wald ratio"	0.0205612870644254	0.0577158935141765	0.721653350299566	1	"cis"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"rs11672713"	-0.0062749572162008	0.0422133485453508	0.88183088335287	1	"cis"
"CA-125_CVDI"	"CA-125"	"Type 2 diabetes"	"All - Wald ratio"	-0.0062749572162008	0.0422133485453508	0.88183088335287	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Type 2 diabetes"	"rs35550815"	-0.0170542635658915	0.048062015503876	0.722710426810277	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Type 2 diabetes"	"All - Wald ratio"	-0.0170542635658915	0.048062015503876	0.722710426810277	1	"cis"
"CCL20_CVDI"	"CCL20"	"Type 2 diabetes"	"rs4973334"	0.0562571756601607	0.0746268656716418	0.450941606478325	1	"cis"
"CCL20_CVDI"	"CCL20"	"Type 2 diabetes"	"All - Wald ratio"	0.0562571756601607	0.0746268656716418	0.450941606478325	1	"cis"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"rs1634517"	0.0231746822825816	0.018440069773237	0.208841729101425	1	"cis"
"CCL3_CVDI"	"CCL3"	"Type 2 diabetes"	"All - Wald ratio"	0.0231746822825816	0.018440069773237	0.208841729101425	1	"cis"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"rs8064426"	0.0132208798723501	0.0223387280601778	0.553959921746379	1	"cis"
"CCL4_CVDI"	"CCL4"	"Type 2 diabetes"	"All - Wald ratio"	0.0132208798723501	0.0223387280601778	0.553959921746379	1	"cis"
"CD40_CVDI"	"CD40"	"Type 2 diabetes"	"rs4810485"	-0.0121635094715852	0.0145563310069791	0.403370718001094	1	"cis"
"CD40_CVDI"	"CD40"	"Type 2 diabetes"	"All - Wald ratio"	-0.0121635094715852	0.0145563310069791	0.403370718001094	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"rs4950931"	0.00963533946042099	0.011710643344204	0.410630376179832	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Type 2 diabetes"	"All - Wald ratio"	0.00963533946042099	0.011710643344204	0.410630376179832	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Type 2 diabetes"	"rs11579145"	0.0524515393386545	0.0359179019384265	0.144202845553275	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Type 2 diabetes"	"All - Wald ratio"	0.0524515393386545	0.0359179019384265	0.144202845553275	1	"cis"
"CSTB_CVDI"	"CSTB"	"Type 2 diabetes"	"rs35285321"	-0.00717793728749528	0.0126558367963733	0.570602642478956	1	"cis"
"CSTB_CVDI"	"CSTB"	"Type 2 diabetes"	"All - Wald ratio"	-0.00717793728749528	0.0126558367963733	0.570602642478956	1	"cis"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"rs55861089"	0.00539273153575616	0.0257913247362251	0.8343772713561	1	"cis"
"CTSD_CVDI"	"CTSD"	"Type 2 diabetes"	"All - Wald ratio"	0.00539273153575616	0.0257913247362251	0.8343772713561	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Type 2 diabetes"	"rs2274611"	0.0687022900763359	0.0542832909245123	0.205647371232819	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Type 2 diabetes"	"All - Wald ratio"	0.0687022900763359	0.0542832909245123	0.205647371232819	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Type 2 diabetes"	"rs683544"	0.0645481628599801	0.0322740814299901	0.0455002638963584	1	"cis"
"CX3CL1_CVDI"	"CX3CL1"	"Type 2 diabetes"	"All - Wald ratio"	0.0645481628599801	0.0322740814299901	0.0455002638963584	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Type 2 diabetes"	"rs3117604"	0.0137614678899083	0.0243472124206069	0.571925908937658	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Type 2 diabetes"	"All - Wald ratio"	0.0137614678899083	0.0243472124206069	0.571925908937658	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Type 2 diabetes"	"rs35186877"	0.1145958986731	0.0464414957780458	0.0136047882992671	1	"cis"
"CXCL16_CVDI"	"CXCL16"	"Type 2 diabetes"	"All - Wald ratio"	0.1145958986731	0.0464414957780458	0.0136047882992671	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Type 2 diabetes"	"rs16850073"	0.00416903543680121	0.0125071063104036	0.738882680363527	1	"cis"
"CXCL6_CVDI"	"CXCL6"	"Type 2 diabetes"	"All - Wald ratio"	0.00416903543680121	0.0125071063104036	0.738882680363527	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Type 2 diabetes"	"rs7898709"	-0.0435931307793923	0.0440334654337296	0.322174119021662	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Type 2 diabetes"	"All - Wald ratio"	-0.0435931307793923	0.0440334654337296	0.322174119021662	1	"cis"
"ECP_CVDI"	"ECP"	"Type 2 diabetes"	"rs147307766"	-0.0319488817891374	0.0299520766773163	0.286122384391018	1	"cis"
"ECP_CVDI"	"ECP"	"Type 2 diabetes"	"All - Wald ratio"	-0.0319488817891374	0.0299520766773163	0.286122384391018	1	"cis"
"EGF_CVDI"	"EGF"	"Type 2 diabetes"	"rs2237045"	0.150489089541008	0.0504138449962378	0.00283509147709255	1	"cis"
"EGF_CVDI"	"EGF"	"Type 2 diabetes"	"All - Wald ratio"	0.150489089541008	0.0504138449962378	0.00283509147709255	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Type 2 diabetes"	"rs3014874"	0.0723327305605787	0.0440024110910187	0.10021016220299	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Type 2 diabetes"	"All - Wald ratio"	0.0723327305605787	0.0440024110910187	0.10021016220299	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Type 2 diabetes"	"rs4865884"	-0.0256603773584906	0.0543396226415094	0.636768179585686	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Type 2 diabetes"	"All - Wald ratio"	-0.0256603773584906	0.0543396226415094	0.636768179585686	1	"cis"
"FABP4_CVDI"	"FABP4"	"Type 2 diabetes"	"rs77878271"	0.238645111624326	0.0808314087759815	0.00315333635265912	1	"cis"
"FABP4_CVDI"	"FABP4"	"Type 2 diabetes"	"All - Wald ratio"	0.238645111624326	0.0808314087759815	0.00315333635265912	1	"cis"
