"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Depressive symptoms"	"rs148339496"	0.0193423597678917	0.0322372662798195	0.548506235500147	3	"pan"
"ADM_CVDI"	"ADM"	"Depressive symptoms"	"rs4862669"	-0.083955223880597	0.0373134328358209	0.0244489453100894	3	"pan"
"ADM_CVDI"	"ADM"	"Depressive symptoms"	"rs9264664"	-0.076103500761035	0.076103500761035	0.317310507862914	3	"pan"
"ADM_CVDI"	"ADM"	"Depressive symptoms"	"All - Inverse variance weighted"	-0.0295865396030521	0.0359887198029285	0.411016616495904	3	"pan"
"AGRP_CVDI"	"AGRP"	"Depressive symptoms"	"rs4894192"	-0.045045045045045	0.0600600600600601	0.453254704753736	1	"pan"
"AGRP_CVDI"	"AGRP"	"Depressive symptoms"	"All - Wald ratio"	-0.045045045045045	0.0600600600600601	0.453254704753736	1	"pan"
"CA-125_CVDI"	"CA-125"	"Depressive symptoms"	"rs11672713"	0.0342270393610953	0.0285225328009127	0.230139340443417	2	"pan"
"CA-125_CVDI"	"CA-125"	"Depressive symptoms"	"rs62193063"	0.00893016610108948	0.0107161993213074	0.404656761927286	2	"pan"
"CA-125_CVDI"	"CA-125"	"Depressive symptoms"	"All - Inverse variance weighted"	0.0120593167215653	0.0100315467149587	0.229309555378564	2	"pan"
"CASP-8_CVDI"	"CASP-8"	"Depressive symptoms"	"rs35550815"	-0.0310077519379845	0.0258397932816537	0.230139340443417	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Depressive symptoms"	"All - Wald ratio"	-0.0310077519379845	0.0258397932816537	0.230139340443417	1	"pan"
"CCL20_CVDI"	"CCL20"	"Depressive symptoms"	"rs4973334"	0.0114810562571757	0.0459242250287026	0.802587348634153	2	"pan"
"CCL20_CVDI"	"CCL20"	"Depressive symptoms"	"rs742493"	-0.0137551581843191	0.0412654745529574	0.738882680363527	2	"pan"
"CCL20_CVDI"	"CCL20"	"Depressive symptoms"	"All - Inverse variance weighted"	-0.00248164235653827	0.0306944192812077	0.935561281309416	2	"pan"
"CCL3_CVDI"	"CCL3"	"Depressive symptoms"	"rs1634517"	0.0074757039621231	0.0124595066035385	0.548506235500147	3	"pan"
"CCL3_CVDI"	"CCL3"	"Depressive symptoms"	"rs3184504"	-0.0434782608695652	0.0579710144927536	0.453254704753736	3	"pan"
"CCL3_CVDI"	"CCL3"	"Depressive symptoms"	"rs4543123"	-0.0542005420054201	0.0542005420054201	0.317310507862914	3	"pan"
"CCL3_CVDI"	"CCL3"	"Depressive symptoms"	"All - Inverse variance weighted"	0.00236855511400408	0.0118848755864153	0.842034699462286	3	"pan"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"rs113010081"	0.010351966873706	0.0120772946859903	0.391365938307552	4	"pan"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"rs5743604"	-0.0606796116504854	0.0485436893203883	0.21129954733371	4	"pan"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"rs62257806"	-0.012779552715655	0.0575079872204473	0.824140895741885	4	"pan"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"rs8064426"	-0.0113973102347846	0.0136767722817415	0.404656761927286	4	"pan"
"CCL4_CVDI"	"CCL4"	"Depressive symptoms"	"All - Inverse variance weighted"	-0.00151395306749992	0.00881143484323435	0.8635815102195	4	"pan"
"CD40_CVDI"	"CD40"	"Depressive symptoms"	"rs4801216"	-0.066815144766147	0.0334075723830735	0.0455002638963584	2	"pan"
"CD40_CVDI"	"CD40"	"Depressive symptoms"	"rs4810485"	-0.00398803589232303	0.00797607178464606	0.617075077451974	2	"pan"
"CD40_CVDI"	"CD40"	"Depressive symptoms"	"All - Inverse variance weighted"	-0.00737616254297323	0.0141910816979488	0.603220747114042	2	"pan"
"CD40-L_CVDI"	"CD40-L"	"Depressive symptoms"	"rs4602861"	-0.0261780104712042	0.0523560209424084	0.617075077451974	1	"pan"
"CD40-L_CVDI"	"CD40-L"	"Depressive symptoms"	"All - Wald ratio"	-0.0261780104712042	0.0523560209424084	0.617075077451974	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"Depressive symptoms"	"rs1260326"	0.0707213578500707	0.0565770862800566	0.21129954733371	4	"pan"
