"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"rs11042731"	0.0753246753246753	0.012987012987013	6.63149195665233e-09	4	"pan"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"rs12465701"	-0.0383582662063675	0.0326045262754124	0.239406878796789	4	"pan"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"rs4862669"	0	0.0186567164179104	1	4	"pan"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"rs9264664"	-0.378995433789954	0.0289193302891933	3.0719485480141e-39	4	"pan"
"ADM_CVDI"	"ADM"	"Waist-hip ratio"	"All - Inverse variance weighted"	-0.00389905748953604	0.07934775738607	0.960808643553265	4	"pan"
"AGRP_CVDI"	"AGRP"	"Waist-hip ratio"	"rs142444346"	0.0285693672895173	0.0205973594978717	0.165429480566618	3	"pan"
"AGRP_CVDI"	"AGRP"	"Waist-hip ratio"	"rs4894192"	0.00750750750750751	0.0285285285285285	0.7924288824046	3	"pan"
"AGRP_CVDI"	"AGRP"	"Waist-hip ratio"	"rs77315662"	0.0519935008123984	0.0551181102362205	0.345522026134197	3	"pan"
"AGRP_CVDI"	"AGRP"	"Waist-hip ratio"	"All - Inverse variance weighted"	0.0239286706422206	0.0159822238578517	0.13433984060325	3	"pan"
"CA-125_CVDI"	"CA-125"	"Waist-hip ratio"	"rs114590746"	0.0135615345565306	0.00645442019000653	0.0356301181216517	3	"pan"
"CA-125_CVDI"	"CA-125"	"Waist-hip ratio"	"rs11672713"	0.0279520821448945	0.0125499144324016	0.0259290520986791	3	"pan"
"CA-125_CVDI"	"CA-125"	"Waist-hip ratio"	"rs62193063"	0.00464368637256653	0.00464368637256653	0.317310507862914	3	"pan"
"CA-125_CVDI"	"CA-125"	"Waist-hip ratio"	"All - Inverse variance weighted"	0.00936240610373353	0.00487701812347826	0.0548959490679765	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Waist-hip ratio"	"rs35550815"	-0.0377260981912145	0.0149870801033592	0.0118277767109761	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Waist-hip ratio"	"All - Wald ratio"	-0.0377260981912145	0.0149870801033592	0.0118277767109761	1	"pan"
"CCL20_CVDI"	"CCL20"	"Waist-hip ratio"	"rs4973334"	0.0252583237657865	0.0206659012629162	0.221623602459393	2	"pan"
"CCL20_CVDI"	"CCL20"	"Waist-hip ratio"	"rs742493"	0.031636863823934	0.0213204951856946	0.13784315525934	2	"pan"
"CCL20_CVDI"	"CCL20"	"Waist-hip ratio"	"All - Inverse variance weighted"	0.0283481725711879	0.0148390212936972	0.0560842774101813	2	"pan"
"CCL3_CVDI"	"CCL3"	"Waist-hip ratio"	"rs1634517"	0.00423623224520309	0.00523299277348617	0.41821391318549	3	"pan"
"CCL3_CVDI"	"CCL3"	"Waist-hip ratio"	"rs3184504"	0.115942028985507	0.0246376811594203	2.52770265339801e-06	3	"pan"
"CCL3_CVDI"	"CCL3"	"Waist-hip ratio"	"rs4543123"	-0.056910569105691	0.029810298102981	0.0562503652819669	3	"pan"
"CCL3_CVDI"	"CCL3"	"Waist-hip ratio"	"All - Inverse variance weighted"	0.00716868467092161	0.0176307639562315	0.684301128678681	3	"pan"
