"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Triglycerides"	"rs11042731"	-0.0616883116883117	0.0344155844155844	0.0730604586484772	1	"cis"
"ADM_CVDI"	"ADM"	"Triglycerides"	"All - Wald ratio"	-0.0616883116883117	0.0344155844155844	0.0730604586484772	1	"cis"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"rs7257770"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"cis"
"CA-125_CVDI"	"CA-125"	"Triglycerides"	"All - Wald ratio"	-0.0418632075471698	0.058372641509434	0.473268148347127	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"rs1045485"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"cis"
"CASP-8_CVDI"	"CASP-8"	"Triglycerides"	"All - Wald ratio"	-0.0305699481865285	0.0352331606217617	0.38558757617446	1	"cis"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"rs4973334"	-0.109070034443169	0.0585533869115959	0.0624981376391148	1	"cis"
"CCL20_CVDI"	"CCL20"	"Triglycerides"	"All - Wald ratio"	-0.109070034443169	0.0585533869115959	0.0624981376391148	1	"cis"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"rs1634517"	0.00299028158484924	0.0142038375280339	0.833256914830536	1	"cis"
"CCL3_CVDI"	"CCL3"	"Triglycerides"	"All - Wald ratio"	0.00299028158484924	0.0142038375280339	0.833256914830536	1	"cis"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"rs8064426"	0.0104855254160018	0.0120811488488717	0.38543565018451	1	"cis"
"CCL4_CVDI"	"CCL4"	"Triglycerides"	"All - Wald ratio"	0.0104855254160018	0.0120811488488717	0.38543565018451	1	"cis"
"CD40_CVDI"	"CD40"	"Triglycerides"	"rs4810485"	0.0151545363908275	0.00757726819541376	0.0455002638963584	1	"cis"
"CD40_CVDI"	"CD40"	"Triglycerides"	"All - Wald ratio"	0.0151545363908275	0.00757726819541376	0.0455002638963584	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"rs7541061"	-0.00459531574266232	0.00919063148532464	0.617075077451974	1	"cis"
"CHI3L1_CVDI"	"CHI3L1"	"Triglycerides"	"All - Wald ratio"	-0.00459531574266232	0.00919063148532464	0.617075077451974	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"rs11579145"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"cis"
"CSF-1_CVDI"	"CSF-1"	"Triglycerides"	"All - Wald ratio"	0.0438996579247434	0.0273660205245154	0.1086773200701	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"rs2274611"	0.0373197625106022	0.0398642917726887	0.34918555711746	1	"cis"
"CTSL1_CVDI"	"CTSL1"	"Triglycerides"	"All - Wald ratio"	0.0373197625106022	0.0398642917726887	0.34918555711746	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"rs3117600"	-0.0160886664283161	0.0182338219520915	0.377585975474249	1	"cis"
"CXCL1_CVDI"	"CXCL1"	"Triglycerides"	"All - Wald ratio"	-0.0160886664283161	0.0182338219520915	0.377585975474249	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Triglycerides"	"rs7898709"	-0.00572435050638485	0.0325847644209599	0.860548746080912	1	"cis"
"Dkk-1_CVDI"	"Dkk-1"	"Triglycerides"	"All - Wald ratio"	-0.00572435050638485	0.0325847644209599	0.860548746080912	1	"cis"
"EGF_CVDI"	"EGF"	"Triglycerides"	"rs10029654"	-0.0236641221374046	0.0374045801526718	0.526960228463328	1	"cis"
"EGF_CVDI"	"EGF"	"Triglycerides"	"All - Wald ratio"	-0.0236641221374046	0.0374045801526718	0.526960228463328	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Triglycerides"	"rs1560832"	-0.00593276203032301	0.034278180619644	0.862590963908731	1	"cis"
"EN-RAGE_CVDI"	"EN-RAGE"	"Triglycerides"	"All - Wald ratio"	-0.00593276203032301	0.034278180619644	0.862590963908731	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Triglycerides"	"rs4451015"	0.0166288737717309	0.0423280423280423	0.694424996831734	1	"cis"
"ESM-1_CVDI"	"ESM-1"	"Triglycerides"	"All - Wald ratio"	0.0166288737717309	0.0423280423280423	0.694424996831734	1	"cis"
"FAS_CVDI"	"FAS"	"Triglycerides"	"rs982764"	0.016721044045677	0.0207993474714519	0.421442272706332	1	"cis"
"FAS_CVDI"	"FAS"	"Triglycerides"	"All - Wald ratio"	0.016721044045677	0.0207993474714519	0.421442272706332	1	"cis"
