"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"2-h glucose"	"rs16846391"	0.054278767	0.162836301	0.73888268	1	"pan"
"ADM_CVDI"	"ADM"	"2-h glucose"	"All - Wald ratio"	0.054278767	0.162836301	0.73888268	1	"pan"
"AGRP_CVDI"	"AGRP"	"2-h glucose"	"rs6740315"	0.09434633	0.145148201	0.515692222	1	"pan"
"AGRP_CVDI"	"AGRP"	"2-h glucose"	"All - Wald ratio"	0.09434633	0.145148201	0.515692222	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"2-h glucose"	"rs17468277"	-0.003690976	0.069718437	0.957778776	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"2-h glucose"	"All - Wald ratio"	-0.003690976	0.069718437	0.957778776	1	"pan"
"CCL20_CVDI"	"CCL20"	"2-h glucose"	"rs12694756"	-0.128832436	0.110427803	0.243345009	1	"pan"
"CCL20_CVDI"	"CCL20"	"2-h glucose"	"All - Wald ratio"	-0.128832436	0.110427803	0.243345009	1	"pan"
"CCL3_CVDI"	"CCL3"	"2-h glucose"	"rs3184504"	0.091436354	0.125724987	0.467058902	1	"pan"
"CCL3_CVDI"	"CCL3"	"2-h glucose"	"All - Wald ratio"	0.091436354	0.125724987	0.467058902	1	"pan"
"CD40_CVDI"	"CD40"	"2-h glucose"	"rs4810485"	-0.000629024	0.020443273	0.975453579	1	"pan"
"CD40_CVDI"	"CD40"	"2-h glucose"	"All - Wald ratio"	-0.000629024	0.020443273	0.975453579	1	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"2-h glucose"	"rs1260326"	0.658128358	0.122701897	8.16e-08	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"2-h glucose"	"rs7556099"	0.008424626	0.015211129	0.579684139	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"2-h glucose"	"All - Inverse variance weighted"	0.018258218	0.079323529	0.817956524	2	"pan"
"CSF-1_CVDI"	"CSF-1"	"2-h glucose"	"rs11577194"	0.094109613	0.051760287	0.069036348	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"2-h glucose"	"All - Wald ratio"	0.094109613	0.051760287	0.069036348	1	"pan"
"CTSD_CVDI"	"CTSD"	"2-h glucose"	"rs10401969"	-0.068011032	0.159174755	0.669180695	2	"pan"
"CTSD_CVDI"	"CTSD"	"2-h glucose"	"rs1260326"	0.736229033	0.13726304	8.16e-08	2	"pan"
"CTSD_CVDI"	"CTSD"	"2-h glucose"	"All - Inverse variance weighted"	0.393232769	0.397749796	0.322837573	2	"pan"
"CTSL1_CVDI"	"CTSL1"	"2-h glucose"	"rs273266"	-0.119563153	0.06217284	0.05447039	2	"pan"
"CTSL1_CVDI"	"CTSL1"	"2-h glucose"	"rs9271366"	0.027579987	0.11926481	0.817120588	2	"pan"
"CTSL1_CVDI"	"CTSL1"	"2-h glucose"	"All - Inverse variance weighted"	-0.088120912	0.06031497	0.144012071	2	"pan"
