"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Insulin sensitivity by OGTT"	"rs11042731"	-0.0272727272727273	0.0844155844155844	0.746636986614261	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin sensitivity by OGTT"	"rs12465701"	-0.207134637514384	0.203298810893748	0.308265673268148	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin sensitivity by OGTT"	"rs2048"	0.0718954248366013	0.102707749766573	0.483927304446146	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin sensitivity by OGTT"	"rs9264664"	0.0182648401826484	0.182648401826484	0.920344325445942	4	"pan"
"ADM_CVDI"	"ADM"	"Insulin sensitivity by OGTT"	"All - Inverse variance weighted"	-0.00510178402944186	0.058793121044411	0.930850211703431	4	"pan"
"AGRP_CVDI"	"AGRP"	"Insulin sensitivity by OGTT"	"rs4894192"	-0.15015015015015	0.18018018018018	0.404656761927286	1	"pan"
"AGRP_CVDI"	"AGRP"	"Insulin sensitivity by OGTT"	"All - Wald ratio"	-0.15015015015015	0.18018018018018	0.404656761927286	1	"pan"
"CA-125_CVDI"	"CA-125"	"Insulin sensitivity by OGTT"	"rs7257770"	-0.13561320754717	0.117924528301887	0.250143871274301	1	"pan"
"CA-125_CVDI"	"CA-125"	"Insulin sensitivity by OGTT"	"All - Wald ratio"	-0.13561320754717	0.117924528301887	0.250143871274301	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Insulin sensitivity by OGTT"	"rs1045485"	-0.16580310880829	0.0932642487046632	0.0754403596268004	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Insulin sensitivity by OGTT"	"All - Wald ratio"	-0.16580310880829	0.0932642487046632	0.0754403596268004	1	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin sensitivity by OGTT"	"rs4973334"	0.0585533869115959	0.137772675086108	0.670836674740339	2	"pan"
"CCL20_CVDI"	"CCL20"	"Insulin sensitivity by OGTT"	"rs742493"	0.0515818431911967	0.178817056396149	0.772993467640966	2	"pan"
